"","Subject","Matching","Identity","Session","RT_ms","RT_sec","ACC"
"1",105,"Matching","Self","3",714,0.714,1
"2",105,"Matching","Self","3",712,0.712,1
"3",105,"Matching","Self","3",622,0.622,1
"4",105,"Matching","Self","3",706,0.706,1
"5",105,"Matching","Self","3",715,0.715,1
"6",105,"Matching","Self","3",696,0.696,1
"7",105,"Matching","Self","3",577,0.577,1
"8",105,"Matching","Self","3",655,0.655,1
"9",105,"Matching","Self","3",750,0.75,1
"10",105,"Matching","Self","3",629,0.629,0
"11",105,"Matching","Self","3",645,0.645,1
"12",105,"Matching","Self","3",829,0.829,1
"13",105,"Matching","Self","3",826,0.826,1
"14",105,"Matching","Self","3",616,0.616,1
"15",105,"Matching","Self","3",629,0.629,1
"16",105,"Matching","Self","3",616,0.616,1
"17",105,"Matching","Self","3",592,0.592,1
"18",105,"Matching","Self","3",1003,1.003,1
"19",105,"Matching","Self","3",704,0.704,1
"20",105,"Matching","Self","3",691,0.691,1
"21",105,"Matching","Self","3",544,0.544,1
"22",105,"Matching","Self","3",572,0.572,1
"23",105,"Matching","Self","3",740,0.74,1
"24",105,"Matching","Self","3",642,0.642,1
"25",105,"Matching","Self","3",601,0.601,1
"26",105,"Matching","Self","3",666,0.666,1
"27",105,"Matching","Self","3",982,0.982,1
"28",105,"Matching","Self","3",611,0.611,1
"29",105,"Matching","Self","3",710,0.71,1
"30",105,"Matching","Self","3",641,0.641,1
"31",105,"Matching","Self","3",676,0.676,1
"32",105,"Matching","Self","3",465,0.465,1
"33",105,"Matching","Self","3",546,0.546,1
"34",105,"Matching","Self","3",945,0.945,1
"35",105,"Matching","Self","3",590,0.59,1
"36",105,"Matching","Self","3",648,0.648,1
"37",105,"Matching","Self","3",711,0.711,1
"38",105,"Matching","Self","3",814,0.814,1
"39",105,"Matching","Self","3",681,0.681,1
"40",105,"Matching","Self","3",642,0.642,1
"41",105,"Matching","Self","3",700,0.7,1
"42",105,"Matching","Self","3",724,0.724,1
"43",105,"Matching","Self","3",692,0.692,1
"44",105,"Matching","Self","3",726,0.726,1
"45",105,"Matching","Self","3",721,0.721,1
"46",105,"Matching","Self","3",616,0.616,1
"47",105,"Matching","Self","3",650,0.65,1
"48",105,"Matching","Self","3",747,0.747,1
"49",105,"Matching","Self","3",655,0.655,0
"50",105,"Matching","Self","3",733,0.733,1
"51",105,"Matching","Self","3",615,0.615,1
"52",105,"Matching","Self","3",661,0.661,1
"53",105,"Matching","Self","3",687,0.687,1
"54",105,"Matching","Self","3",671,0.671,1
"55",105,"Matching","Self","3",796,0.796,1
"56",105,"Matching","Self","3",671,0.671,1
"57",105,"Matching","Self","3",569,0.569,1
"58",105,"Matching","Self","3",610,0.61,1
"59",105,"Matching","Self","3",789,0.789,1
"60",105,"Matching","Friend","3",901,0.901,0
"61",105,"Matching","Friend","3",796,0.796,1
"62",105,"Matching","Friend","3",973,0.973,1
"63",105,"Matching","Friend","3",1046,1.046,0
"64",105,"Matching","Friend","3",957,0.957,1
"65",105,"Matching","Friend","3",714,0.714,0
"66",105,"Matching","Friend","3",709,0.709,0
"67",105,"Matching","Friend","3",628,0.628,1
"68",105,"Matching","Friend","3",667,0.667,0
"69",105,"Matching","Friend","3",891,0.891,0
"70",105,"Matching","Friend","3",634,0.634,1
"71",105,"Matching","Friend","3",632,0.632,1
"72",105,"Matching","Friend","3",821,0.821,1
"73",105,"Matching","Friend","3",837,0.837,1
"74",105,"Matching","Friend","3",835,0.835,1
"75",105,"Matching","Friend","3",843,0.843,0
"76",105,"Matching","Friend","3",707,0.707,1
"77",105,"Matching","Friend","3",840,0.84,1
"78",105,"Matching","Friend","3",444,0.444,1
"79",105,"Matching","Friend","3",681,0.681,0
"80",105,"Matching","Friend","3",681,0.681,1
"81",105,"Matching","Friend","3",659,0.659,1
"82",105,"Matching","Friend","3",754,0.754,1
"83",105,"Matching","Friend","3",610,0.61,1
"84",105,"Matching","Friend","3",642,0.642,1
"85",105,"Matching","Friend","3",879,0.879,1
"86",105,"Matching","Friend","3",881,0.881,1
"87",105,"Matching","Friend","3",974,0.974,1
"88",105,"Matching","Friend","3",1058,1.058,1
"89",105,"Matching","Friend","3",871,0.871,1
"90",105,"Matching","Friend","3",671,0.671,1
"91",105,"Matching","Friend","3",975,0.975,1
"92",105,"Matching","Friend","3",801,0.801,1
"93",105,"Matching","Friend","3",561,0.561,1
"94",105,"Matching","Friend","3",741,0.741,1
"95",105,"Matching","Friend","3",767,0.767,1
"96",105,"Matching","Friend","3",847,0.847,1
"97",105,"Matching","Friend","3",923,0.923,1
"98",105,"Matching","Friend","3",636,0.636,1
"99",105,"Matching","Friend","3",614,0.614,1
"100",105,"Matching","Friend","3",706,0.706,1
"101",105,"Matching","Friend","3",748,0.748,1
"102",105,"Matching","Friend","3",737,0.737,1
"103",105,"Matching","Friend","3",913,0.913,1
"104",105,"Matching","Friend","3",976,0.976,1
"105",105,"Matching","Friend","3",655,0.655,1
"106",105,"Matching","Friend","3",811,0.811,1
"107",105,"Matching","Friend","3",883,0.883,0
"108",105,"Matching","Friend","3",651,0.651,1
"109",105,"Matching","Friend","3",672,0.672,1
"110",105,"Matching","Friend","3",710,0.71,1
"111",105,"Matching","Friend","3",687,0.687,0
"112",105,"Matching","Friend","3",708,0.708,1
"113",105,"Matching","Friend","3",662,0.662,1
"114",105,"Matching","Friend","3",670,0.67,1
"115",105,"Matching","Friend","3",756,0.756,0
"116",105,"Matching","Friend","3",698,0.698,1
"117",105,"Matching","Friend","3",682,0.682,1
"118",105,"Matching","Friend","3",726,0.726,1
"119",105,"Matching","Friend","3",711,0.711,1
"120",105,"Matching","Friend","3",723,0.723,1
"121",105,"Matching","Stranger","3",710,0.71,0
"122",105,"Matching","Stranger","3",854,0.854,0
"123",105,"Matching","Stranger","3",980,0.98,1
"124",105,"Matching","Stranger","3",507,0.507,1
"125",105,"Matching","Stranger","3",843,0.843,1
"126",105,"Matching","Stranger","3",662,0.662,0
"127",105,"Matching","Stranger","3",661,0.661,1
"128",105,"Matching","Stranger","3",866,0.866,1
"129",105,"Matching","Stranger","3",601,0.601,1
"130",105,"Matching","Stranger","3",783,0.783,1
"131",105,"Matching","Stranger","3",963,0.963,1
"132",105,"Matching","Stranger","3",621,0.621,1
"133",105,"Matching","Stranger","3",949,0.949,1
"134",105,"Matching","Stranger","3",762,0.762,1
