"","Subject","Block","Trial","Gender","Age","Handedness","First_Language","Matching","Origin_Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","English_Identity","Standarlized_Identity"
"1",1,0,1,"Male",26,"r","Hungarian","Mismatch","You","TRAINING","Self","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","None",NA,3,NA,"You","Stranger"
"2",1,0,2,"Male",26,"r","Hungarian","Mismatch","They","TRAINING","We","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.650140804,1,1650.140804,"They","Group-Stranger"
"3",1,0,3,"Male",26,"r","Hungarian","Match","They","TRAINING","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.333477565,0,1333.477565,"They","Group-Stranger"
"4",1,0,4,"Male",26,"r","Hungarian","Mismatch","We","TRAINING","Self","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.699915001,1,1699.915001,"We","Group-Self"
"5",1,0,5,"Male",26,"r","Hungarian","Mismatch","Self","TRAINING","We","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.200134309,0,1200.134309,"Self","Self"
"6",1,0,6,"Male",26,"r","Hungarian","Match","We","TRAINING","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","None",NA,3,NA,"We","Group-Self"
"7",1,0,7,"Male",26,"r","Hungarian","Match","They","TRAINING","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.716864347,0,716.864347,"They","Group-Stranger"
"8",1,0,8,"Male",26,"r","Hungarian","Mismatch","You","TRAINING","We","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","None",NA,3,NA,"You","Stranger"
"9",1,0,9,"Male",26,"r","Hungarian","Mismatch","We","TRAINING","They","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",1.233468445,0,1233.468445,"We","Group-Self"
"10",1,0,10,"Male",26,"r","Hungarian","Match","You","TRAINING","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.433474446,0,1433.474446,"You","Stranger"
