"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Shape","Label","Response","RT_sec","ACC","Subjcet"
"1",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.783,1,1
"2",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",1.2,1,1
"3",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",0.934,1,1
"4",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.7,1,1
"5",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.9,1,1
"6",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.917,1,1
"7",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",0.75,1,1
"8",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",0.667,1,1
"9",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",0.834,1,1
"10",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.733,1,1
"11",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",0.834,1,1
"12",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.717,1,1
"13",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",0.75,1,1
"14",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.684,1,1
"15",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.633,1,1
"16",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","Self","n",0.584,1,1
"17",1,"Male",26,"r","Hungarian","Match","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","Self","n",0.767,1,1
