"","Subject","P1Age","P2Age","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
"1",1,24,21,1,1,"Stranger","Team","Nonmatching","Team","Group-Self","Self","Bottom","num_3",1066.893595,1.066893595,1
"2",1,24,21,1,2,"Person2","StrangerTeam","Nonmatching","StrangerTeam","Group-Stranger","Stranger","Top","z",1016.898391,1.016898391,0
"3",1,24,21,1,3,"StrangerTeam","StrangerTeam","Matching","StrangerTeam","Group-Stranger","Stranger","Top","z",900.274106,0.900274106,1
"4",1,24,21,1,4,"Stranger","Stranger","Matching","Stranger","Individual_Stranger","Stranger","Bottom","num_3",666.939075,0.666939075,0
"5",1,24,21,1,5,"Stranger","Stranger","Matching","Stranger","Individual_Stranger","Stranger","Bottom","None",NA,NA,3
"6",1,24,21,1,6,"StrangerTeam","Person1","Nonmatching","Person1","Individual_Self","Self","Bottom","z",617.284579,0.617284579,0
"7",1,24,21,1,7,"Stranger","Person2","Nonmatching","Person2","Individual_Self","Self","Bottom","num_3",766.909347,0.766909347,1
"8",1,24,21,1,8,"Person2","Person2","Matching","Person2","Individual_Self","Self","Top","num_3",919.599694,0.919599694,0
"9",1,24,21,1,9,"Person1","StrangerTeam","Nonmatching","StrangerTeam","Group-Stranger","Stranger","Top","z",733.763186,0.733763186,0
"10",1,24,21,1,10,"Team","Team","Matching","Team","Group-Self","Self","Bottom","num_3",900.271737,0.900271737,0
"11",1,24,21,1,11,"Person1","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Top","None",NA,NA,3
"12",1,24,21,1,12,"Person1","Person1","Matching","Person1","Individual_Self","Self","Bottom","z",766.876184,0.766876184,1
"13",1,24,21,1,13,"Person2","Person2","Matching","Person2","Individual_Self","Self","Bottom","None",NA,NA,3
"14",1,24,21,1,14,"Team","Team","Matching","Team","Group-Self","Self","Top","z",850.250083,0.850250083,1
"15",1,24,21,1,15,"Team","Person2","Nonmatching","Person2","Individual_Self","Self","Top","num_3",700.21236,0.70021236,1
"16",1,24,21,1,16,"Person2","Person1","Nonmatching","Person1","Individual_Self","Self","Top","num_3",883.554951,0.883554951,1
"17",1,24,21,1,17,"Stranger","StrangerTeam","Nonmatching","StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",683.60059,0.68360059,1
"18",1,24,21,1,18,"Person2","StrangerTeam","Nonmatching","StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",567.110534,0.567110534,1
"19",1,24,21,1,19,"Team","Team","Matching","Team","Group-Self","Self","Top","z",816.905734,0.816905734,1
"20",1,24,21,1,20,"Stranger","Person1","Nonmatching","Person1","Individual_Self","Self","Bottom","num_3",683.731661,0.683731661,1
"21",1,24,21,1,21,"StrangerTeam","StrangerTeam","Matching","StrangerTeam","Group-Stranger","Stranger","Top","num_3",766.955933,0.766955933,0
"22",1,24,21,1,22,"Person1","Person1","Matching","Person1","Individual_Self","Self","Bottom","z",566.651388,0.566651388,1
"23",1,24,21,1,23,"StrangerTeam","StrangerTeam","Matching","StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",683.763245,0.683763245,0
"24",1,24,21,1,24,"StrangerTeam","StrangerTeam","Matching","StrangerTeam","Group-Stranger","Stranger","Bottom","z",624.425229,0.624425229,1
"25",1,24,21,1,25,"Team","Team","Matching","Team","Group-Self","Self","Bottom","z",633.697768,0.633697768,1
"26",1,24,21,1,26,"Person1","Person1","Matching","Person1","Individual_Self","Self","Top","z",683.589535,0.683589535,1
"27",1,24,21,1,27,"Person2","Person2","Matching","Person2","Individual_Self","Self","Top","num_3",583.615315,0.583615315,0
"28",1,24,21,1,28,"Team","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Top","num_3",800.312914,0.800312914,1
"29",1,24,21,1,29,"StrangerTeam","StrangerTeam","Matching","StrangerTeam","Group-Stranger","Stranger","Top","z",900.28595,0.90028595,1
"30",1,24,21,1,30,"Team","Team","Matching","Team","Group-Self","Self","Bottom","z",817.118134,0.817118134,1
"31",1,24,21,1,31,"Person2","Person2","Matching","Person2","Individual_Self","Self","Bottom","z",1133.597688,1.133597688,1
"32",1,24,21,1,32,"Team","Team","Matching","Team","Group-Self","Self","Bottom","z",733.696465,0.733696465,1
"33",1,24,21,1,33,"Team","Person1","Nonmatching","Person1","Individual_Self","Self","Bottom","num_3",683.814568,0.683814568,1
"34",1,24,21,1,34,"Person1","Person2","Nonmatching","Person2","Individual_Self","Self","Bottom","num_3",800.229613,0.800229613,1
"35",1,24,21,1,35,"Person1","Person1","Matching","Person1","Individual_Self","Self","Bottom","z",666.922493,0.666922493,1
"36",1,24,21,1,36,"Person2","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Top","num_3",650.384155,0.650384155,1
"37",1,24,21,1,37,"Person2","Person2","Matching","Person2","Individual_Self","Self","Top","z",917.086037,0.917086037,1
"38",1,24,21,1,38,"Person1","StrangerTeam","Nonmatching","StrangerTeam","Group-Stranger","Stranger","Bottom","z",533.635904,0.533635904,0
"39",1,24,21,1,39,"Stranger","Stranger","Matching","Stranger","Individual_Stranger","Stranger","Bottom","z",650.246372,0.650246372,1
"40",1,24,21,1,40,"Stranger","Stranger","Matching","Stranger","Individual_Stranger","Stranger","Bottom","z",583.610183,0.583610183,1
"41",1,24,21,1,41,"Team","Person2","Nonmatching","Person2","Individual_Self","Self","Bottom","num_3",616.886232,0.616886232,1
"42",1,24,21,1,42,"StrangerTeam","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Bottom","num_3",783.701933,0.783701933,1
"43",1,24,21,1,43,"StrangerTeam","Person2","Nonmatching","Person2","Individual_Self","Self","Bottom","num_3",483.562137,0.483562137,1
"44",1,24,21,1,44,"Stranger","Stranger","Matching","Stranger","Individual_Stranger","Stranger","Bottom","num_3",483.716896,0.483716896,0
"45",1,24,21,1,45,"StrangerTeam","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Top","z",633.594727,0.633594727,0
"46",1,24,21,1,46,"Team","StrangerTeam","Nonmatching","StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",517.005973,0.517005973,1
"47",1,24,21,1,47,"Stranger","Person1","Nonmatching","Person1","Individual_Self","Self","Bottom","num_3",683.790486,0.683790486,1
"48",1,24,21,1,48,"Person2","Person2","Matching","Person2","Individual_Self","Self","Top","num_3",550.302551,0.550302551,0
"49",1,24,21,1,49,"Team","Person1","Nonmatching","Person1","Individual_Self","Self","Top","num_3",667.12068,0.66712068,1
"50",1,24,21,1,50,"Person2","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Bottom","num_3",650.265322,0.650265322,1
"51",1,24,21,1,51,"Stranger","Team","Nonmatching","Team","Group-Self","Self","Bottom","num_3",766.909742,0.766909742,1
"52",1,24,21,1,52,"Person2","Person2","Matching","Person2","Individual_Self","Self","Bottom","z",633.783833,0.633783833,1
"53",1,24,21,1,53,"StrangerTeam","StrangerTeam","Matching","StrangerTeam","Group-Stranger","Stranger","Bottom","z",850.257189,0.850257189,1
"54",1,24,21,1,54,"Person1","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Bottom","num_3",650.219526,0.650219526,1
"55",1,24,21,1,55,"Person1","Person1","Matching","Person1","Individual_Self","Self","Top","z",600.240509,0.600240509,1
"56",1,24,21,1,56,"Team","Stranger","Nonmatching","Stranger","Individual_Stranger","Stranger","Bottom","num_3",550.288338,0.550288338,1
"57",1,24,21,1,57,"Person2","Person1","Nonmatching","Person1","Individual_Self","Self","Bottom","num_3",833.56488,0.83356488,1
"58",1,24,21,1,58,"Person1","Person1","Matching","Person1","Individual_Self","Self","Bottom","z",500.258788,0.500258788,1
"59",1,24,21,1,59,"StrangerTeam","StrangerTeam","Matching","StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",650.251109,0.650251109,0
"60",1,24,21,1,60,"StrangerTeam","Person2","Nonmatching","Person2","Individual_Self","Self","Top","z",916.921803,0.916921803,0
"61",1,24,21,1,61,"Person1","Team","Nonmatching","Team","Group-Self","Self","Top","num_3",733.569736,0.733569736,1
"62",1,24,21,1,62,"Person1","Person2","Nonmatching","Person2","Individual_Self","Self","Top","num_3",867.340344,0.867340344,1
"63",1,24,21,1,63,"Person1","Person1","Matching","Person1","Individual_Self","Self","Top","z",766.85526,0.76685526,1
"64",1,24,21,1,64,"Team","StrangerTeam","Nonmatching","StrangerTeam","Group-Stranger","Stranger","Top","num_3",583.556491,0.583556491,1
"65",1,24,21,1,65,"Person2","Team","Nonmatching","Team","Group-Self","Self","Top","num_3",1067.062961,1.067062961,1
"66",1,24,21,1,66,"StrangerTeam","Person1","Nonmatching","Person1","Individual_Self","Self","Top","num_3",783.576783,0.783576783,1
