"Subject","Block","Trial","Age_Participant1","Age_Participant2","StrangerShape","P1Shape","P2Shape","Shape","Matching","Label_Identity","Origin_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC","Phase"
1,1,1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Nonmatching","P2","Stranger","Top","o",716.866949,0.716866949,1,1
1,1,2,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Top","w",566.84565,0.56684565,1,1
1,1,3,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Top","w",550.16666,0.55016666,1,1
1,1,4,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Stranger","Bottom","w",833.512501,0.833512501,1,1
1,1,5,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Stranger","Top","w",650.122167,0.650122167,1,1
1,1,6,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","P2","Bottom","w",566.810909,0.566810909,1,1
1,1,7,23,21,"STAR","TRIANGLE","PENTAGON","P2","Nonmatching","Stranger","P2","Top","w",800.027003,0.800027003,0,1
1,1,8,23,21,"STAR","TRIANGLE","PENTAGON","P2","Nonmatching","Stranger","P2","Top","w",600.149546,0.600149546,0,1
1,1,9,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Bottom","w",500.430911,0.500430911,1,1
1,1,10,23,21,"STAR","TRIANGLE","PENTAGON","P2","Nonmatching","P1","P2","Top","None",NA,NA,3,1
1,1,11,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Stranger","Top","w",600.170469,0.600170469,1,1
1,1,12,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Top","w",683.540551,0.683540551,1,1
1,1,13,23,21,"STAR","TRIANGLE","PENTAGON","P1","Nonmatching","P2","P1","Bottom","o",783.496453,0.783496453,1,1
1,1,14,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Top","w",583.425549,0.583425549,1,1
1,1,15,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Stranger","Top","w",616.844328,0.616844328,1,1
1,1,16,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Top","w",600.136518,0.600136518,1,1
1,1,17,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Nonmatching","P1","Stranger","Bottom","o",650.179411,0.650179411,1,1
1,1,18,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Bottom","w",800.193209,0.800193209,1,1
1,1,19,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Stranger","Top","w",616.843933,0.616843933,1,1
1,1,20,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Stranger","Top","w",600.078089,0.600078089,1,1
1,1,21,23,21,"STAR","TRIANGLE","PENTAGON","P2","Nonmatching","Stranger","P2","Top","o",766.848651,0.766848651,1,1
1,1,22,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","P1","Bottom","w",633.760981,0.633760981,1,1
1,1,23,23,21,"STAR","TRIANGLE","PENTAGON","P1","Nonmatching","P2","P1","Top","o",933.460113,0.933460113,1,1
1,1,24,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","P2","Top","w",600.138886,0.600138886,1,1
1,1,25,23,21,"STAR","TRIANGLE","PENTAGON","P2","Nonmatching","P1","P2","Bottom","w",566.874075,0.566874075,0,1
1,1,26,23,21,"STAR","TRIANGLE","PENTAGON","P2","Nonmatching","P1","P2","Top","None",NA,NA,3,1
1,1,27,23,21,"STAR","TRIANGLE","PENTAGON","P1","Nonmatching","Stranger","P1","Top","o",1050.14238,1.05014238,1,1
1,1,28,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Nonmatching","P1","Stranger","Top","o",883.465383,0.883465383,1,1
1,1,29,23,21,"STAR","TRIANGLE","PENTAGON","P1","Nonmatching","P2","P1","Bottom","o",967.094051,0.967094051,1,1
1,1,30,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Nonmatching","P1","Stranger","Top","o",816.793637,0.816793637,1,1
1,1,31,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Nonmatching","P2","Stranger","Bottom","o",600.178365,0.600178365,1,1
