"","Subject","Block","Trial","Gender","Age","Handedness","First_Lanugage","Shape","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","ShapeLoc","FaceIdentity","Stimulus","Strength","textColour","Stimuli_Type","RT_ms","RT_sec","ACC"
"1",1,1,1,"Male",24,"Right","Ukrainian","Self","Matching","Self","Self","Self","Self","l","Bottom",2,"SelfWeak","Weak","white","Self = Positive",766.876816,0.766876816,1
"2",1,1,2,"Male",24,"Right","Ukrainian","Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","k","Top",2,"StrangerWeak","Weak","white","Self = Positive",1216.912881,1.216912881,1
"3",1,1,3,"Male",24,"Right","Ukrainian","Self","Matching","Self","Self","Self","Self","l","Top",2,"SelfWeak","Weak","white","Self = Positive",1116.891049,1.116891049,1
"4",1,1,4,"Male",24,"Right","Ukrainian","Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","k","Top",1,"StrangerStrong","Strong","white","Self = Positive",1050.194693,1.050194693,1
"5",1,1,5,"Male",24,"Right","Ukrainian","Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","k","Bottom",1,"StrangerStrong","Strong","white","Self = Positive",1366.863314,1.366863314,1
"6",1,1,6,"Male",24,"Right","Ukrainian","Self","Nonmatching","Stranger","Self","Self","Self","k","Top",2,"SelfWeak","Weak","white","Self = Positive",1266.946498,1.266946498,1
"7",1,1,7,"Male",24,"Right","Ukrainian","Self","Nonmatching","Stranger","Self","Self","Self","l","Bottom",2,"SelfWeak","Weak","white","Self = Positive",1100.255946,1.100255946,0
"8",1,1,8,"Male",24,"Right","Ukrainian","Self","Matching","Self","Self","Self","Self","l","Top",2,"SelfWeak","Weak","white","Self = Positive",1050.263388,1.050263388,1
"9",1,1,9,"Male",24,"Right","Ukrainian","Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","k","Bottom",1,"StrangerStrong","Strong","white","Self = Positive",1183.55582,1.18355582,1
"10",1,1,10,"Male",24,"Right","Ukrainian","Self","Matching","Self","Self","Self","Self","l","Top",2,"SelfWeak","Weak","white","Self = Positive",1166.854392,1.166854392,1
"11",1,1,11,"Male",24,"Right","Ukrainian","Self","Nonmatching","Stranger","Self","Self","Self","k","Top",2,"SelfWeak","Weak","white","Self = Positive",1683.542989,1.683542989,1
"12",1,1,12,"Male",24,"Right","Ukrainian","Self","Nonmatching","Stranger","Self","Self","Self","k","Bottom",1,"SelfStrong","Strong","white","Self = Positive",1200.188554,1.200188554,1
"13",1,1,13,"Male",24,"Right","Ukrainian","Self","Nonmatching","Stranger","Self","Self","Self","k","Bottom",2,"SelfWeak","Weak","white","Self = Positive",1383.526053,1.383526053,1
