"Subject","Age","Gender","Handedness","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Condition","Race","RT_ms","RT_sec","ACC"
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",NA,NA,2
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",24.26157403,0.02426157403,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",610.7158191,0.6107158191,0
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",604.670519,0.604670519,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",424.2423482,0.4242423482,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",832.082602,0.832082602,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",883.1698999,0.8831698999,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",464.3451709,0.4643451709,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",522.3856301,0.5223856301,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",570.2175901,0.5702175901,0
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",542.8148371,0.5428148371,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",404.463161,0.404463161,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",727.913151,0.727913151,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",1110.083047,1.110083047,0
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",997.455898,0.997455898,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",NA,NA,2
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",892.361149,0.892361149,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",661.8581219,0.6618581219,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",602.5733929,0.6025733929,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",954.940954,0.954940954,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",882.7676971,0.8827676971,1
