"Subject","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Condition","Race","RT_ms","RT_sec","ACC"
1,"self","Self","Self","Nonmatching",NA,NA,NA,NA,2
1,"self","Self","Self","Nonmatching",NA,NA,NA,NA,2
1,"self","Self","Self","Nonmatching",NA,NA,NA,NA,2
1,"other","Stranger","Stranger","Matching",NA,NA,408.3144,0.4083144,0
1,"self","Self","Self","Matching",NA,NA,787.5681,0.7875681,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,799.4701001,0.7994701001,1
1,"self","Self","Self","Nonmatching",NA,NA,811.5130001,0.8115130001,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,1046.9331,1.0469331,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,713.0307,0.7130307,1
1,"other","Stranger","Stranger","Matching",NA,NA,1024.3064,1.0243064,0
1,"self","Self","Self","Matching",NA,NA,890.9303,0.8909303,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,931.0391999,0.9310391999,1
1,"self","Self","Self","Nonmatching",NA,NA,1089.6188,1.0896188,0
1,"self","Self","Self","Matching",NA,NA,929.3935,0.9293935,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,NA,NA,2
1,"other","Stranger","Stranger","Nonmatching",NA,NA,788.9376,0.7889376,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,776.9718,0.7769718,1
1,"other","Stranger","Stranger","Matching",NA,NA,909.6011999,0.9096011999,0
1,"other","Stranger","Stranger","Matching",NA,NA,1124.7021,1.1247021,0
1,"self","Self","Self","Matching",NA,NA,819.3852999,0.8193852999,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,1134.2124,1.1342124,1
1,"self","Self","Self","Matching",NA,NA,868.8452,0.8688452,1
1,"self","Self","Self","Nonmatching",NA,NA,NA,NA,2
1,"self","Self","Self","Nonmatching",NA,NA,690.2411,0.6902411,1
1,"self","Self","Self","Matching",NA,NA,994.3582,0.9943582,1
1,"self","Self","Self","Nonmatching",NA,NA,870.3086,0.8703086,1
1,"self","Self","Self","Matching",NA,NA,718.8603,0.7188603,1
1,"self","Self","Self","Matching",NA,NA,725.4884,0.7254884,1
1,"self","Self","Self","Matching",NA,NA,756.2523,0.7562523,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,953.467,0.953467,1
1,"self","Self","Self","Nonmatching",NA,NA,1022.7316,1.0227316,1
1,"other","Stranger","Stranger","Matching",NA,NA,969.5683001,0.9695683001,0
1,"self","Self","Self","Matching",NA,NA,750.1891999,0.7501891999,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,1036.2182,1.0362182,1
1,"other","Stranger","Stranger","Matching",NA,NA,942.2376,0.9422376,1
1,"self","Self","Self","Matching",NA,NA,852.0190001,0.8520190001,1
1,"other","Stranger","Stranger","Matching",NA,NA,821.5458,0.8215458,0
1,"other","Stranger","Stranger","Matching",NA,NA,912.2511999,0.9122511999,0
1,"self","Self","Self","Nonmatching",NA,NA,1119.4377,1.1194377,1
1,"self","Self","Self","Matching",NA,NA,774.2501,0.7742501,1
1,"other","Stranger","Stranger","Matching",NA,NA,738.8457,0.7388457,0
1,"other","Stranger","Stranger","Matching",NA,NA,800.8449001,0.8008449001,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,780.9833999,0.7809833999,0
1,"self","Self","Self","Nonmatching",NA,NA,NA,NA,2
1,"self","Self","Self","Nonmatching",NA,NA,NA,NA,2
1,"self","Self","Self","Nonmatching",NA,NA,730.9777,0.7309777,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,865.4510999,0.8654510999,1
1,"self","Self","Self","Nonmatching",NA,NA,786.8381999,0.7868381999,1
1,"self","Self","Self","Matching",NA,NA,806.8952,0.8068952,1
1,"self","Self","Self","Matching",NA,NA,690.3099001,0.6903099001,1
1,"self","Self","Self","Matching",NA,NA,594.2762999,0.5942762999,1
1,"other","Stranger","Stranger","Nonmatching",NA,NA,734.2048,0.7342048,1
1,"self","Self","Self","Matching",NA,NA,716.6587,0.7166587,1
1,"other","Stranger","Stranger","Matching",NA,NA,740.1552,0.7401552,0
1,"self","Self","Self","Nonmatching",NA,NA,850.0335,0.8500335,0
1,"self","Self","Self","Nonmatching",NA,NA,1099.8989,1.0998989,1
1,"self","Self","Self","Nonmatching",NA,NA,772.1794,0.7721794,1
1,"self","Self","Self","Matching",NA,NA,816.6412,0.8166412,1
1,"self","Self","Self","Nonmatching",NA,NA,732.1005,0.7321005,1
1,"other","Stranger","Stranger","Matching",NA,NA,1034.8383,1.0348383,0
1,"other","Stranger","Stranger","Matching",NA,NA,756.777,0.756777,1
