"","Subject","Age","Gender","Ethnicity","Handedness","Group","Shape","Label","Matching","Identity","Response","RT_ms","RT_sec","ACC"
"1",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",613,0.613,1
"2",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",722,0.722,1
"3",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","48",596,0.596,0
"4",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",991,0.991,1
"5",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",767,0.767,1
"6",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",690,0.69,1
"7",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",566,0.566,1
"8",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",728,0.728,1
"9",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","0",1500,1.5,0
"10",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","48",829,0.829,0
"11",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",1119,1.119,1
"12",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",587,0.587,1
"13",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",639,0.639,1
"14",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",535,0.535,1
"15",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",867,0.867,1
"16",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",967,0.967,1
"17",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",611,0.611,1
"18",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",645,0.645,1
"19",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","48",996,0.996,0
"20",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",648,0.648,1
"21",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","48",944,0.944,0
"22",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",1353,1.353,1
"23",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",715,0.715,1
"24",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",430,0.43,1
"25",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",591,0.591,1
"26",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",620,0.62,1
"27",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","48",725,0.725,0
"28",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",582,0.582,1
"29",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",543,0.543,1
"30",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",919,0.919,1
"31",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","48",1011,1.011,0
"32",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",620,0.62,1
"33",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","48",615,0.615,0
"34",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",810,0.81,1
"35",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",848,0.848,1
"36",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",520,0.52,1
"37",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",527,0.527,1
