"","Subject","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC","blocktype"
"1",16127635,"Matching","Friend","Friend","Close",261,0.261,0,"mixed"
"2",16127635,"Matching","Friend","Friend","Close",406,0.406,1,"mixed"
"3",16127635,"Matching","Friend","Friend","Close",538,0.538,0,"mixed"
"4",16127635,"Matching","Friend","Friend","Close",277,0.277,1,"mixed"
"5",16127635,"Matching","Friend","Friend","Close",754,0.754,1,"mixed"
"6",16127635,"Matching","Friend","Friend","Close",602,0.602,1,"mixed"
"7",16127635,"Matching","Friend","Friend","Close",686,0.686,1,"mixed"
"8",16127635,"Matching","Friend","Friend","Close",517,0.517,0,"mixed"
"9",16127635,"Matching","Friend","Friend","Close",304,0.304,1,"mixed"
"10",16127635,"Matching","Friend","Friend","Close",1085,1.085,0,"blocked"
"11",16127635,"Matching","Friend","Friend","Close",412,0.412,1,"blocked"
"12",16127635,"Matching","Friend","Friend","Close",529,0.529,1,"blocked"
"13",16127635,"Matching","Friend","Friend","Close",555,0.555,1,"blocked"
"14",16127635,"Matching","Friend","Friend","Close",482,0.482,1,"blocked"
"15",16127635,"Matching","Friend","Friend","Close",545,0.545,1,"blocked"
"16",16127635,"Matching","Friend","Friend","Close",551,0.551,1,"blocked"
"17",16127635,"Matching","Friend","Friend","Close",999,0.999,1,"blocked"
"18",16127635,"Matching","Friend","Friend","Close",719,0.719,0,"blocked"
"19",16127635,"Matching","Friend","Friend","Close",628,0.628,1,"blocked"
"20",16127635,"Matching","Friend","Friend","Close",1015,1.015,0,"blocked"
"21",16127635,"Matching","Friend","Friend","Close",623,0.623,0,"blocked"
"22",16127635,"Matching","Friend","Friend","Close",680,0.68,1,"blocked"
"23",16127635,"Matching","Friend","Friend","Close",530,0.53,1,"blocked"
"24",16127635,"Matching","Friend","Friend","Close",825,0.825,1,"blocked"
"25",16127635,"Matching","Friend","Friend","Close",621,0.621,1,"blocked"
