"","Subject","Matching","Identity","RT_ms","RT_sec","ACC","blocktype"
"1",43329048,"Matching","friend",910,0.91,1,"mixed"
"2",43329048,"Matching","friend",566,0.566,1,"mixed"
"3",43329048,"Matching","friend",651,0.651,1,"mixed"
"4",43329048,"Matching","friend",799,0.799,1,"mixed"
"5",43329048,"Matching","friend",639,0.639,1,"mixed"
"6",43329048,"Matching","friend",971,0.971,1,"mixed"
"7",43329048,"Matching","friend",939,0.939,1,"mixed"
"8",43329048,"Matching","friend",1199,1.199,0,"mixed"
"9",43329048,"Matching","friend",871,0.871,1,"mixed"
"10",43329048,"Matching","friend",795,0.795,1,"mixed"
"11",43329048,"Matching","friend",656,0.656,1,"mixed"
"12",43329048,"Matching","friend",776,0.776,1,"mixed"
"13",43329048,"Matching","friend",550,0.55,1,"mixed"
"14",43329048,"Matching","friend",402,0.402,1,"mixed"
"15",43329048,"Matching","friend",372,0.372,1,"mixed"
"16",43329048,"Matching","friend",586,0.586,1,"mixed"
"17",43329048,"Matching","friend",479,0.479,1,"mixed"
"18",43329048,"Matching","friend",770,0.77,0,"mixed"
"19",43329048,"Matching","friend",855,0.855,1,"mixed"
"20",43329048,"Matching","friend",556,0.556,1,"mixed"
"21",43329048,"Matching","friend",384,0.384,1,"mixed"
"22",43329048,"Matching","friend",508,0.508,1,"mixed"
"23",43329048,"Matching","friend",431,0.431,1,"mixed"
"24",43329048,"Matching","friend",546,0.546,1,"mixed"
"25",43329048,"Matching","friend",578,0.578,1,"mixed"
"26",43329048,"Matching","friend",408,0.408,1,"mixed"
"27",43329048,"Matching","friend",813,0.813,1,"mixed"
"28",43329048,"Matching","friend",624,0.624,1,"mixed"
"29",43329048,"Matching","friend",780,0.78,1,"blocked"
"30",43329048,"Matching","friend",468,0.468,1,"blocked"
"31",43329048,"Matching","friend",557,0.557,1,"blocked"
"32",43329048,"Matching","friend",471,0.471,1,"blocked"
"33",43329048,"Matching","friend",354,0.354,1,"blocked"
"34",43329048,"Matching","friend",403,0.403,1,"blocked"
"35",43329048,"Matching","friend",449,0.449,1,"blocked"
"36",43329048,"Matching","friend",682,0.682,1,"blocked"
"37",43329048,"Matching","friend",425,0.425,1,"blocked"
"38",43329048,"Matching","friend",367,0.367,1,"blocked"
"39",43329048,"Matching","friend",730,0.73,1,"blocked"
"40",43329048,"Matching","friend",350,0.35,1,"blocked"
"41",43329048,"Matching","friend",330,0.33,1,"blocked"
"42",43329048,"Matching","friend",372,0.372,1,"blocked"
"43",43329048,"Matching","friend",396,0.396,1,"blocked"
"44",43329048,"Matching","friend",334,0.334,1,"blocked"
"45",43329048,"Matching","friend",527,0.527,1,"blocked"
"46",43329048,"Matching","friend",347,0.347,1,"blocked"
"47",43329048,"Matching","friend",325,0.325,1,"blocked"
"48",43329048,"Matching","friend",264,0.264,1,"blocked"
"49",43329048,"Matching","friend",324,0.324,1,"blocked"
"50",43329048,"Matching","friend",359,0.359,0,"blocked"
"51",43329048,"Matching","friend",324,0.324,1,"blocked"
"52",43329048,"Matching","friend",382,0.382,1,"blocked"
"53",43329048,"Matching","friend",434,0.434,1,"blocked"
"54",43329048,"Matching","friend",549,0.549,1,"blocked"
"55",43329048,"Matching","friend",328,0.328,1,"blocked"
"56",43329048,"Matching","friend",571,0.571,1,"blocked"
"57",43329048,"Matching","friend",444,0.444,1,"blocked"
"58",43329048,"Matching","self",816,0.816,1,"mixed"
"59",43329048,"Matching","self",555,0.555,1,"mixed"
"60",43329048,"Matching","self",554,0.554,1,"mixed"
"61",43329048,"Matching","self",534,0.534,1,"mixed"
"62",43329048,"Matching","self",534,0.534,1,"mixed"
"63",43329048,"Matching","self",648,0.648,1,"mixed"
"64",43329048,"Matching","self",616,0.616,1,"mixed"
"65",43329048,"Matching","self",844,0.844,1,"mixed"
"66",43329048,"Matching","self",405,0.405,1,"mixed"
"67",43329048,"Matching","self",533,0.533,1,"mixed"
"68",43329048,"Matching","self",485,0.485,1,"blocked"
"69",43329048,"Matching","self",401,0.401,1,"blocked"
"70",43329048,"Matching","self",615,0.615,1,"blocked"
"71",43329048,"Matching","self",657,0.657,1,"blocked"
"72",43329048,"Matching","self",562,0.562,1,"blocked"
"73",43329048,"Matching","self",435,0.435,1,"blocked"
"74",43329048,"Matching","self",522,0.522,1,"blocked"
"75",43329048,"Matching","self",506,0.506,1,"blocked"
"76",43329048,"Matching","self",487,0.487,1,"blocked"
"77",43329048,"Matching","self",530,0.53,1,"blocked"
"78",43329048,"Matching","self",546,0.546,1,"blocked"
"79",43329048,"Matching","self",474,0.474,1,"blocked"
"80",43329048,"Matching","self",450,0.45,1,"blocked"
"81",43329048,"Matching","self",648,0.648,1,"blocked"
"82",43329048,"Matching","self",509,0.509,1,"blocked"
"83",43329048,"Matching","self",580,0.58,1,"blocked"
"84",43329048,"Matching","self",582,0.582,1,"blocked"
"85",43329048,"Matching","self",397,0.397,1,"blocked"
"86",43329048,"Matching","self",379,0.379,1,"blocked"
"87",43329048,"Matching","self",348,0.348,1,"blocked"
"88",43329048,"Matching","self",256,0.256,1,"blocked"
"89",43329048,"Matching","self",536,0.536,1,"blocked"
"90",43329048,"Matching","self",414,0.414,1,"blocked"
"91",43329048,"Matching","self",359,0.359,1,"blocked"
"92",43329048,"Matching","self",499,0.499,1,"blocked"
"93",43329048,"Matching","self",516,0.516,1,"blocked"
"94",43329048,"Matching","self",414,0.414,1,"blocked"
"95",43329048,"Matching","self",381,0.381,1,"blocked"
