"","Subject","Block","Trial","Trial_type","Age","Gender","Handedness","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"1",101,1,1,"TrainList1",23,"Mann","links","circle.png","Ich","Matching","Self","Self","Self",NA,0,0,0
"2",101,1,2,"TrainList1",23,"Mann","links","circle.png","Fremder","Nonmatching","Self","Self","Self",NA,0,0,0
"3",101,1,3,"TrainList1",23,"Mann","links","circle.png","Ich","Matching","Self","Self","Self",1,351,0.351,1
"4",101,1,4,"TrainList1",23,"Mann","links","circle.png","Fremder","Nonmatching","Self","Self","Self",5,677,0.677,1
"5",101,1,5,"TrainList1",23,"Mann","links","triangle.png","Ich","Nonmatching","Stranger","Stranger","Stranger",5,415,0.415,1
"6",101,1,6,"TrainList1",23,"Mann","links","triangle.png","Fremder","Matching","Stranger","Stranger","Stranger",5,412,0.412,0
"7",101,1,7,"TrainList1",23,"Mann","links","triangle.png","Fremder","Matching","Stranger","Stranger","Stranger",5,819,0.819,0
"8",101,1,8,"TrainList1",23,"Mann","links","triangle.png","Fremder","Matching","Stranger","Stranger","Stranger",1,663,0.663,1
"9",101,1,9,"TrainList1",23,"Mann","links","triangle.png","Ich","Nonmatching","Stranger","Stranger","Stranger",5,911,0.911,1
"10",101,1,10,"TrainList1",23,"Mann","links","triangle.png","Ich","Nonmatching","Stranger","Stranger","Stranger",5,614,0.614,1
"11",101,1,11,"TrainList1",23,"Mann","links","triangle.png","Fremder","Matching","Stranger","Stranger","Stranger",1,675,0.675,1
"12",101,1,12,"TrainList1",23,"Mann","links","circle.png","Fremder","Nonmatching","Self","Self","Self",5,709,0.709,1
"13",101,1,13,"TrainList1",23,"Mann","links","circle.png","Ich","Matching","Self","Self","Self",1,448,0.448,1
"14",101,1,14,"TrainList1",23,"Mann","links","triangle.png","Fremder","Matching","Stranger","Stranger","Stranger",1,580,0.58,1
"15",101,1,15,"TrainList1",23,"Mann","links","triangle.png","Fremder","Matching","Stranger","Stranger","Stranger",1,793,0.793,1
"16",101,1,16,"TrainList1",23,"Mann","links","circle.png","Ich","Matching","Self","Self","Self",1,585,0.585,1
"17",101,1,17,"TrainList1",23,"Mann","links","triangle.png","Ich","Nonmatching","Stranger","Stranger","Stranger",5,840,0.84,1
"18",101,1,18,"TrainList1",23,"Mann","links","circle.png","Fremder","Nonmatching","Self","Self","Self",5,798,0.798,1
"19",101,1,19,"TrainList1",23,"Mann","links","circle.png","Fremder","Nonmatching","Self","Self","Self",5,611,0.611,1
"20",101,1,20,"TrainList1",23,"Mann","links","circle.png","Ich","Matching","Self","Self","Self",1,446,0.446,1
"21",101,1,21,"TrainList1",23,"Mann","links","circle.png","Fremder","Nonmatching","Self","Self","Self",5,691,0.691,1
"22",101,1,22,"TrainList1",23,"Mann","links","triangle.png","Ich","Nonmatching","Stranger","Stranger","Stranger",1,1077,1.077,0
"23",101,1,23,"TrainList1",23,"Mann","links","circle.png","Ich","Matching","Self","Self","Self",1,518,0.518,1
"24",101,1,24,"TrainList1",23,"Mann","links","triangle.png","Ich","Nonmatching","Stranger","Stranger","Stranger",5,538,0.538,1
"25",101,2,1,"ExpList",23,"Mann","links","circle.png","Ich","Matching","Self","Self","Self",1,499,0.499,1
"26",101,2,2,"ExpList",23,"Mann","links","triangle.png","Fremder","Matching","Stranger","Stranger","Stranger",5,644,0.644,0
