"","Subject","Block","Bin","Trial","Age","Gender","Handedness","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Morality","Response","RT_ms","RT_sec","ACC"
"1",7302,1,1,1,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","m",756.1,0.7561,0
"2",7302,1,1,2,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",704.3,0.7043,1
"3",7302,1,1,3,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",990.3,0.9903,1
"4",7302,1,1,4,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good",NA,1042,1.042,-1
"5",7302,1,1,5,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",820.7,0.8207,1
"6",7302,1,1,6,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",754.7,0.7547,1
"7",7302,1,1,7,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",542.9,0.5429,1
"8",7302,1,1,8,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",900.9,0.9009,1
"9",7302,1,1,9,22,"female","R","moralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Good","n",955.1,0.9551,1
"10",7302,1,1,10,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",695.2,0.6952,1
"11",7302,1,1,11,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",759.3,0.7593,1
"12",7302,1,1,12,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",713.5,0.7135,1
"13",7302,1,1,13,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",565.6,0.5656,1
"14",7302,1,1,14,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","m",535.7,0.5357,0
"15",7302,1,1,15,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",807.8,0.8078,1
"16",7302,1,1,16,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",960,0.96,1
"17",7302,1,1,17,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","n",666.1,0.6661,1
"18",7302,1,1,18,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",696.2,0.6962,1
"19",7302,1,1,19,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","n",880.3,0.8803,0
"20",7302,1,1,20,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",578.5,0.5785,1
"21",7302,1,1,21,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",784.5,0.7845,1
"22",7302,1,1,22,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",814.6,0.8146,1
"23",7302,1,1,23,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",654.8,0.6548,1
"24",7302,1,1,24,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",878.9,0.8789,1
"25",7302,1,2,1,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",713.1,0.7131,1
"26",7302,1,2,2,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","m",821.1,0.8211,0
"27",7302,1,2,3,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",803.3,0.8033,1
"28",7302,1,2,4,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad","m",629.4,0.6294,0
"29",7302,1,2,5,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","n",809.5,0.8095,1
"30",7302,1,2,6,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",617.6,0.6176,1
"31",7302,1,2,7,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",791.7,0.7917,1
"32",7302,1,2,8,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",555.9,0.5559,1
"33",7302,1,2,9,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","m",960,0.96,0
"34",7302,1,2,10,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",538.1,0.5381,1
"35",7302,1,2,11,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad",NA,1042,1.042,-1
"36",7302,1,2,12,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","m",826.4,0.8264,0
"37",7302,1,2,13,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",712.5,0.7125,1
"38",7302,1,2,14,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","m",460.9,0.4609,0
"39",7302,1,2,15,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",802.7,0.8027,1
"40",7302,1,2,16,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",780.8,0.7808,1
"41",7302,1,2,17,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",874.9,0.8749,1
"42",7302,1,2,18,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","m",871,0.871,0
"43",7302,1,2,19,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",651.2,0.6512,1
"44",7302,1,2,20,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",755.4,0.7554,1
"45",7302,1,2,21,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",671.5,0.6715,1
"46",7302,1,2,22,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",907.6,0.9076,1
"47",7302,1,2,23,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",599.7,0.5997,1
"48",7302,1,2,24,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",521.8,0.5218,1
"49",7302,1,3,1,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",731.9,0.7319,1
"50",7302,1,3,2,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",764,0.764,1
"51",7302,1,3,3,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good",NA,1042,1.042,-1
"52",7302,1,3,4,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",744.3,0.7443,1
"53",7302,1,3,5,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",510.4,0.5104,1
"54",7302,1,3,6,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",770.6,0.7706,1
"55",7302,1,3,7,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad","n",602.6,0.6026,1
"56",7302,1,3,8,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","n",764.8,0.7648,1
"57",7302,1,3,9,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",710.9,0.7109,1
"58",7302,1,3,10,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","n",827,0.827,1
"59",7302,1,3,11,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",857.1,0.8571,1
"60",7302,1,3,12,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","n",809.2,0.8092,0
"61",7302,1,3,13,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",721.3,0.7213,1
"62",7302,1,3,14,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad","n",819.5,0.8195,1
"63",7302,1,3,15,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",889.6,0.8896,1
"64",7302,1,3,16,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",577.8,0.5778,1
"65",7302,1,3,17,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","n",879.9,0.8799,0
"66",7302,1,3,18,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",666,0.666,1
"67",7302,1,3,19,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",1008.1,1.0081,1
"68",7302,1,3,20,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad","n",856.2,0.8562,1
"69",7302,1,3,21,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",544.4,0.5444,1
"70",7302,1,3,22,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",662.5,0.6625,1
"71",7302,1,3,23,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","n",684.6,0.6846,0
"72",7302,1,3,24,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",902.7,0.9027,1
"73",7302,1,4,1,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",823.6,0.8236,1
"74",7302,1,4,2,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",613.7,0.6137,1
"75",7302,1,4,3,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","m",733.8,0.7338,0
"76",7302,1,4,4,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","n",741.9,0.7419,0
"77",7302,1,4,5,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",684,0.684,1
"78",7302,1,4,6,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",606.2,0.6062,1
"79",7302,1,4,7,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",784.2,0.7842,1
"80",7302,1,4,8,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",582.4,0.5824,1
"81",7302,1,4,9,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",412.6,0.4126,1
"82",7302,1,4,10,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",500.6,0.5006,1
"83",7302,1,4,11,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",850.7,0.8507,1
"84",7302,1,4,12,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","n",906.9,0.9069,1
