"","Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"1",6201,21,"male","right",1,1,"S.bmp","BadOther.bmp","Nonmatching","Stranger","Stranger","Stranger",605,0.605,1
"2",6201,21,"male","right",1,2,"D.bmp","BadSelf.bmp","Matching","Self","Self","Self",537,0.537,1
"3",6201,21,"male","right",1,3,"C.bmp","NormalSelf.bmp","Nonmatching","Self","Self","Self",517,0.517,1
"4",6201,21,"male","right",1,4,"C.bmp","GoodOther.bmp","Nonmatching","Stranger","Stranger","Stranger",728,0.728,1
"5",6201,21,"male","right",1,5,"P.bmp","GoodOther.bmp","Matching","Stranger","Stranger","Stranger",624,0.624,0
"6",6201,21,"male","right",1,6,"S.bmp","NormalOther.bmp","Matching","Stranger","Stranger","Stranger",643,0.643,1
"7",6201,21,"male","right",1,7,"P.bmp","NormalSelf.bmp","Nonmatching","Self","Self","Self",671,0.671,0
"8",6201,21,"male","right",1,8,"T.bmp","GoodOther.bmp","Nonmatching","Stranger","Stranger","Stranger",771,0.771,0
"9",6201,21,"male","right",1,9,"D.bmp","BadSelf.bmp","Matching","Self","Self","Self",623,0.623,1
"10",6201,21,"male","right",1,10,"C.bmp","GoodSelf.bmp","Matching","Self","Self","Self",347,0.347,1
"11",6201,21,"male","right",1,11,"C.bmp","GoodSelf.bmp","Matching","Self","Self","Self",431,0.431,1
"12",6201,21,"male","right",1,12,"S.bmp","NormalOther.bmp","Matching","Stranger","Stranger","Stranger",627,0.627,1
"13",6201,21,"male","right",1,13,"P.bmp","GoodOther.bmp","Matching","Stranger","Stranger","Stranger",807,0.807,0
"14",6201,21,"male","right",1,14,"Tra.bmp","GoodSelf.bmp","Nonmatching","Self","Self","Self",595,0.595,0
"15",6201,21,"male","right",1,15,"D.bmp","BadSelf.bmp","Matching","Self","Self","Self",511,0.511,1
"16",6201,21,"male","right",1,16,"P.bmp","GoodOther.bmp","Matching","Stranger","Stranger","Stranger",801,0.801,1
"17",6201,21,"male","right",1,17,"T.bmp","NormalSelf.bmp","Nonmatching","Self","Self","Self",499,0.499,1
"18",6201,21,"male","right",1,18,"D.bmp","NormalOther.bmp","Nonmatching","Stranger","Stranger","Stranger",727,0.727,1
"19",6201,21,"male","right",1,19,"P.bmp","GoodOther.bmp","Matching","Stranger","Stranger","Stranger",411,0.411,1
"20",6201,21,"male","right",1,20,"Tra.bmp","NormalSelf.bmp","Matching","Self","Self","Self",727,0.727,1
"21",6201,21,"male","right",1,21,"S.bmp","GoodSelf.bmp","Nonmatching","Self","Self","Self",531,0.531,1
"22",6201,21,"male","right",1,22,"D.bmp","NormalSelf.bmp","Nonmatching","Self","Self","Self",655,0.655,1
"23",6201,21,"male","right",1,23,"C.bmp","GoodSelf.bmp","Matching","Self","Self","Self",331,0.331,1
"24",6201,21,"male","right",1,24,"T.bmp","BadOther.bmp","Matching","Stranger","Stranger","Stranger",863,0.863,0
"25",6201,21,"male","right",1,25,"S.bmp","BadSelf.bmp","Nonmatching","Self","Self","Self",931,0.931,1
"26",6201,21,"male","right",1,26,"T.bmp","BadOther.bmp","Matching","Stranger","Stranger","Stranger",759,0.759,1
"27",6201,21,"male","right",1,27,"C.bmp","GoodSelf.bmp","Matching","Self","Self","Self",857,0.857,1
"28",6201,21,"male","right",1,28,"Tra.bmp","NormalSelf.bmp","Matching","Self","Self","Self",916,0.916,1
"29",6201,21,"male","right",1,29,"T.bmp","NormalOther.bmp","Nonmatching","Stranger","Stranger","Stranger",840,0.84,1
