"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"1",6201,"Matching","Self",NA,NA,NA
"2",6201,"Matching","Self",NA,NA,NA
"3",6201,"Matching","Self",NA,NA,NA
"4",6201,"Matching","Self",NA,NA,NA
"5",6201,"Matching","Self",NA,NA,NA
"6",6201,"Matching","Self",NA,NA,NA
"7",6201,"Matching","Self",NA,NA,NA
"8",6201,"Matching","Self",NA,NA,NA
"9",6201,"Matching","Self",NA,NA,NA
"10",6201,"Matching","Self",NA,NA,NA
"11",6201,"Matching","Self",NA,NA,NA
"12",6201,"Matching","Self",NA,NA,NA
"13",6201,"Matching","Self",NA,NA,NA
"14",6201,"Matching","Self",NA,NA,NA
"15",6201,"Matching","Self",NA,NA,NA
"16",6201,"Matching","Self",NA,NA,NA
"17",6201,"Matching","Self",NA,NA,NA
"18",6201,"Matching","Self",NA,NA,NA
"19",6201,"Matching","Self",NA,NA,NA
"20",6201,"Matching","Self",NA,NA,NA
"21",6201,"Matching","Self",NA,NA,NA
"22",6201,"Matching","Self",NA,NA,NA
"23",6201,"Matching","Self",NA,NA,NA
"24",6201,"Matching","Self",NA,NA,NA
"25",6201,"Matching","Self",NA,NA,NA
"26",6201,"Matching","Self",NA,NA,NA
"27",6201,"Matching","Self",NA,NA,NA
"28",6201,"Matching","Self",NA,NA,NA
"29",6201,"Matching","Self",NA,NA,NA
"30",6201,"Matching","Self",NA,NA,NA
"31",6201,"Matching","Self",NA,NA,NA
"32",6201,"Matching","Self",NA,NA,NA
"33",6201,"Matching","Self",NA,NA,NA
"34",6201,"Matching","Self",NA,NA,NA
"35",6201,"Matching","Self",NA,NA,NA
"36",6201,"Matching","Self",NA,NA,NA
"37",6201,"Matching","Self",NA,NA,NA
"38",6201,"Matching","Self",NA,NA,NA
"39",6201,"Matching","Self",NA,NA,NA
"40",6201,"Matching","Self",NA,NA,NA
"41",6201,"Matching","Self",NA,NA,NA
"42",6201,"Matching","Self",NA,NA,NA
"43",6201,"Matching","Self",NA,NA,NA
"44",6201,"Matching","Self",NA,NA,NA
"45",6201,"Matching","Self",NA,NA,NA
"46",6201,"Matching","Self",0,0,0
"47",6201,"Matching","Self",0,0,0
"48",6201,"Matching","Self",0,0,0
"49",6201,"Matching","Self",516,0.516,1
"50",6201,"Matching","Self",656,0.656,1
"51",6201,"Matching","Self",609,0.609,0
"52",6201,"Matching","Self",401,0.401,0
"53",6201,"Matching","Self",0,0,0
"54",6201,"Matching","Self",0,0,0
"55",6201,"Matching","Self",495,0.495,1
"56",6201,"Matching","Self",971,0.971,1
"57",6201,"Matching","Self",740,0.74,1
"58",6201,"Matching","Self",344,0.344,1
"59",6201,"Matching","Self",729,0.729,1
"60",6201,"Matching","Self",293,0.293,0
"61",6201,"Matching","Self",336,0.336,1
"62",6201,"Matching","Self",428,0.428,1
"63",6201,"Matching","Self",545,0.545,1
"64",6201,"Matching","Self",462,0.462,0
"65",6201,"Matching","Self",678,0.678,1
"66",6201,"Matching","Self",835,0.835,1
"67",6201,"Matching","Self",1047,1.047,1
"68",6201,"Matching","Self",748,0.748,1
"69",6201,"Matching","Self",577,0.577,1
"70",6201,"Matching","Self",0,0,0
"71",6201,"Matching","Self",458,0.458,1
"72",6201,"Matching","Self",919,0.919,1
"73",6201,"Matching","Self",567,0.567,1
"74",6201,"Matching","Self",627,0.627,1
"75",6201,"Matching","Self",543,0.543,1
"76",6201,"Matching","Self",0,0,0
"77",6201,"Matching","Self",0,0,0
"78",6201,"Matching","Self",366,0.366,1
"79",6201,"Matching","Self",0,0,0
"80",6201,"Matching","Self",360,0.36,1
"81",6201,"Matching","Self",748,0.748,0
"82",6201,"Matching","Self",738,0.738,1
"83",6201,"Matching","Self",270,0.27,1
"84",6201,"Matching","Self",969,0.969,1
"85",6201,"Matching","Self",590,0.59,1
"86",6201,"Matching","Self",372,0.372,1
"87",6201,"Matching","Self",0,0,0
"88",6201,"Matching","Self",0,0,0
"89",6201,"Matching","Self",704,0.704,1
"90",6201,"Matching","Self",412,0.412,1
"91",6201,"Matching","Self",881,0.881,1
"92",6201,"Matching","Self",433,0.433,1
"93",6201,"Matching","Self",314,0.314,1
"94",6201,"Matching","Self",654,0.654,1
"95",6201,"Matching","Self",418,0.418,1
"96",6201,"Matching","Self",383,0.383,1
"97",6201,"Matching","Self",780,0.78,1
"98",6201,"Matching","Self",412,0.412,1
"99",6201,"Matching","Self",585,0.585,1
"100",6201,"Matching","Self",745,0.745,1
"101",6201,"Matching","Self",354,0.354,1
"102",6201,"Matching","Self",995,0.995,1
"103",6201,"Matching","Self",0,0,0
"104",6201,"Matching","Self",960,0.96,0
"105",6201,"Matching","Self",953,0.953,1
"106",6201,"Matching","Self",0,0,0
"107",6201,"Matching","Self",0,0,0
"108",6201,"Matching","Self",458,0.458,1
"109",6201,"Matching","Self",790,0.79,0
"110",6201,"Matching","Self",474,0.474,1
"111",6201,"Matching","Self",783,0.783,1
"112",6201,"Matching","Self",711,0.711,0
"113",6201,"Matching","Self",0,0,0
"114",6201,"Matching","Self",524,0.524,1
"115",6201,"Matching","Self",885,0.885,1
"116",6201,"Matching","Self",553,0.553,1
"117",6201,"Matching","Self",349,0.349,1
"118",6201,"Matching","Self",334,0.334,1
"119",6201,"Matching","Self",635,0.635,1
"120",6201,"Matching","Self",684,0.684,1
"121",6201,"Matching","Self",653,0.653,1
"122",6201,"Matching","Self",295,0.295,1
"123",6201,"Matching","Self",668,0.668,1
"124",6201,"Matching","Self",0,0,0
"125",6201,"Matching","Self",268,0.268,1
"126",6201,"Matching","Self",738,0.738,1
