"","Subject","Block","Trial","Age","Handedness","First_Language","Education","Countryself","Countryparents","Shape","Label","Delay","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"1",201,1,2,18,"r","English/Farsi","High School","Iran/Canada","Iran",2,1,700,"Nonmatching",1,"Self","Self",1,700,0.7,1
"2",201,1,3,18,"r","English/Farsi","High School","Iran/Canada","Iran",2,1,0,"Nonmatching",1,"Self","Self",1,1285,1.285,1
"3",201,1,4,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,0,"Nonmatching",2,"Friend","Close",1,1199,1.199,1
"4",201,1,5,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,1,40,"Matching",1,"Self","Self",1,877,0.877,1
"5",201,1,6,18,"r","English/Farsi","High School","Iran/Canada","Iran",2,1,700,"Nonmatching",1,"Self","Self",1,633,0.633,1
"6",201,1,7,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,1,40,"Matching",1,"Self","Self",1,670,0.67,1
"7",201,1,8,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,0,"Nonmatching",3,"Stranger","Stranger",1,861,0.861,1
"8",201,1,9,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,0,"Nonmatching",3,"Stranger","Stranger",1,750,0.75,1
"9",201,1,11,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,1,40,"Matching",1,"Self","Self",1,638,0.638,1
"10",201,1,12,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,120,"Nonmatching",3,"Stranger","Stranger",1,647,0.647,1
"11",201,1,13,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,2,0,"Nonmatching",2,"Friend","Close",1,1175,1.175,1
"12",201,1,14,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,2,0,"Nonmatching",2,"Friend","Close",1,982,0.982,1
"13",201,1,15,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,3,700,"Matching",3,"Stranger","Stranger",1,634,0.634,1
"14",201,1,16,18,"r","English/Farsi","High School","Iran/Canada","Iran",2,3,120,"Nonmatching",3,"Stranger","Stranger",1,708,0.708,1
"15",201,1,17,18,"r","English/Farsi","High School","Iran/Canada","Iran",2,1,700,"Nonmatching",1,"Self","Self",1,616,0.616,1
