"Subject","Age","Gender","Session","Shape","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","Phase","RT_ms","RT_sec","ACC"
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",853,0.853,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",879,0.879,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",0,"post",641,0.641,0
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",787,0.787,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",628,0.628,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",630,0.63,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",1024,1.024,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",0,"post",851,0.851,0
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",685,0.685,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",911,0.911,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",937,0.937,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",779,0.779,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",661,0.661,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",783,0.783,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",778,0.778,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",812,0.812,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",832,0.832,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",842,0.842,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",812,0.812,0
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",718,0.718,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",833,0.833,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",875,0.875,1
12,27,"male","post","self","Matching","Self","Self","Self",0,"post",957,0.957,0
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",935,0.935,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",826,0.826,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",940,0.94,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",607,0.607,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",945,0.945,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",0,"post",787,0.787,0
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",549,0.549,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",815,0.815,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",873,0.873,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",571,0.571,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",829,0.829,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",784,0.784,0
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",914,0.914,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",812,0.812,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",558,0.558,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",736,0.736,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",770,0.77,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",660,0.66,0
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",751,0.751,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",609,0.609,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",779,0.779,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",740,0.74,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",766,0.766,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",648,0.648,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",834,0.834,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",869,0.869,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",1,"post",759,0.759,0
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",745,0.745,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",803,0.803,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",1,"post",645,0.645,0
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",767,0.767,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",753,0.753,0
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",1052,1.052,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",654,0.654,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",800,0.8,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",988,0.988,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",800,0.8,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",634,0.634,0
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",836,0.836,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",951,0.951,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",681,0.681,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",699,0.699,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",0,"post",885,0.885,0
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",1031,1.031,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",673,0.673,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",715,0.715,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",694,0.694,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",744,0.744,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",1,"post",770,0.77,0
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",708,0.708,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",542,0.542,1
