"","Subject","Age","Gender","Session","Shape","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","Phase","RT_ms","RT_sec","ACC"
"1",23,26,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",698,0.698,1
"2",23,26,"male","post","friend","Matching","Friend","Friend","Close",1,"post",868,0.868,1
"3",23,26,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",983,0.983,1
"4",23,26,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",777,0.777,1
"5",23,26,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",747,0.747,1
"6",23,26,"male","post","self","Nonmatching","Self","Self","Self",0,"post",741,0.741,1
"7",23,26,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",655,0.655,1
"8",23,26,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",785,0.785,1
"9",23,26,"male","post","self","Matching","Self","Self","Self",0,"post",859,0.859,0
"10",23,26,"male","post","self","Nonmatching","Self","Self","Self",0,"post",853,0.853,1
"11",23,26,"male","post","friend","Matching","Friend","Friend","Close",0,"post",848,0.848,0
"12",23,26,"male","post","self","Matching","Self","Self","Self",1,"post",1082,1.082,1
"13",23,26,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",796,0.796,1
"14",23,26,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",918,0.918,1
"15",23,26,"male","post","self","Nonmatching","Self","Self","Self",1,"post",968,0.968,0
"16",23,26,"male","post","friend","Matching","Friend","Friend","Close",0,"post",778,0.778,0
"17",23,26,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",892,0.892,1
"18",23,26,"male","post","self","Matching","Self","Self","Self",1,"post",702,0.702,1
"19",23,26,"male","post","friend","Matching","Friend","Friend","Close",0,"post",729,0.729,0
"20",23,26,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",875,0.875,1
"21",23,26,"male","post","self","Nonmatching","Self","Self","Self",0,"post",877,0.877,1
"22",23,26,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",1046,1.046,1
"23",23,26,"male","post","self","Matching","Self","Self","Self",1,"post",920,0.92,1
"24",23,26,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",826,0.826,1
"25",23,26,"male","post","self","Matching","Self","Self","Self",0,"post",820,0.82,0
"26",23,26,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",832,0.832,1
"27",23,26,"male","post","self","Matching","Self","Self","Self",0,"post",683,0.683,0
