"","Subject","Trial","Matching","Face","Label","Response","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"1",1,1,"Nonmatching","m35","Me","right","Me","User","Self","Self",1143,1.143,1
"2",1,2,"Nonmatching","f27","Me","left","Me","Other","Stranger","Stranger",588,0.588,1
"3",1,3,"Matching","m33","Me","left","Me","Other","Stranger","Stranger",966,0.966,1
"4",1,4,"Matching","f27","Stranger","left","Stranger","Other","Stranger","Stranger",558,0.558,0
"5",1,5,"Matching","m33","Me","left","Me","Other","Stranger","Stranger",1531,1.531,1
"6",1,6,"Matching","f15","Stranger","right","Stranger","User","Self","Self",791,0.791,0
"7",1,7,"Nonmatching","m33","Me","left","Me","Other","Stranger","Stranger",984,0.984,1
"8",1,8,"Matching","m35","Me","right","Me","User","Self","Self",848,0.848,1
"9",1,9,"Nonmatching","m34","Me","left","Me","User","Self","Self",804,0.804,0
"10",1,10,"Nonmatching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",769,0.769,1
"11",1,11,"Matching","f18","Stranger","right","Stranger","User","Self","Self",1252,1.252,0
"12",1,12,"Nonmatching","m34","Stranger","left","Stranger","User","Self","Self",1105,1.105,1
"13",1,13,"Matching","f4","Me","left","Me","Other","Stranger","Stranger",1774,1.774,1
"14",1,14,"Matching","m34","Me","right","Me","User","Self","Self",770,0.77,1
"15",1,15,"Matching","m34","Stranger","left","Stranger","User","Self","Self",1629,1.629,1
"16",1,16,"Matching","f27","Stranger","left","Stranger","Other","Stranger","Stranger",1292,1.292,0
"17",1,17,"Matching","f18","Me","right","Me","User","Self","Self",596,0.596,1
"18",1,18,"Nonmatching","m33","Me","left","Me","Other","Stranger","Stranger",722,0.722,1
"19",1,19,"Nonmatching","m35","Stranger","left","Stranger","User","Self","Self",873,0.873,1
"20",1,20,"Matching","m38","Me","left","Me","Other","Stranger","Stranger",1342,1.342,1
"21",1,21,"Nonmatching","m38","Me","left","Me","Other","Stranger","Stranger",722,0.722,1
"22",1,22,"Nonmatching","f15","Stranger","left","Stranger","User","Self","Self",869,0.869,1
"23",1,23,"Matching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",923,0.923,1
"24",1,24,"Nonmatching","m35","Stranger","left","Stranger","User","Self","Self",868,0.868,1
"25",1,25,"Matching","m35","Me","right","Me","User","Self","Self",823,0.823,1
"26",1,26,"Matching","f15","Stranger","right","Stranger","User","Self","Self",988,0.988,0
"27",1,27,"Nonmatching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",710,0.71,1
"28",1,28,"Matching","f18","Me","right","Me","User","Self","Self",561,0.561,1
"29",1,29,"Nonmatching","f15","Me","left","Me","User","Self","Self",620,0.62,0
"30",1,30,"Nonmatching","f4","Me","left","Me","Other","Stranger","Stranger",762,0.762,1
"31",1,31,"Matching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",815,0.815,1
"32",1,32,"Matching","f15","Me","right","Me","User","Self","Self",849,0.849,1
"33",1,33,"Matching","m38","Stranger","left","Stranger","Other","Stranger","Stranger",910,0.91,0
"34",1,34,"Nonmatching","f15","Stranger","left","Stranger","User","Self","Self",987,0.987,1
