"Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
2832782,22,"Mujer","Diestro",1,1,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,715,0.715,1
2832782,22,"Mujer","Diestro",1,2,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,433,0.433,1
2832782,22,"Mujer","Diestro",1,3,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",1,525,0.525,0
2832782,22,"Mujer","Diestro",1,4,"triangulo","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,903,0.903,1
2832782,22,"Mujer","Diestro",1,5,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,538,0.538,1
2832782,22,"Mujer","Diestro",1,6,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,595,0.595,1
2832782,22,"Mujer","Diestro",1,7,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,510,0.51,1
2832782,22,"Mujer","Diestro",1,8,"triangulo","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",NA,0,0,0
2832782,22,"Mujer","Diestro",1,9,"cuadrado","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,278,0.278,1
2832782,22,"Mujer","Diestro",1,10,"cuadrado","tu","Nonmatching","Self","Friend","Friend","Close",5,537,0.537,0
2832782,22,"Mujer","Diestro",1,11,"cuadrado","extrano","Nonmatching","Stranger","Friend","Friend","Close",NA,0,0,0
2832782,22,"Mujer","Diestro",1,12,"triangulo","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",5,647,0.647,0
2832782,22,"Mujer","Diestro",1,13,"cuadrado","tu","Nonmatching","Self","Friend","Friend","Close",1,642,0.642,1
2832782,22,"Mujer","Diestro",1,14,"circulo","tu","Matching","Self","Self","Self","Self",5,555,0.555,1
2832782,22,"Mujer","Diestro",1,15,"cuadrado","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,590,0.59,1
2832782,22,"Mujer","Diestro",1,16,"circulo","tu","Matching","Self","Self","Self","Self",5,440,0.44,1
2832782,22,"Mujer","Diestro",1,17,"circulo","tu","Matching","Self","Self","Self","Self",5,316,0.316,1
2832782,22,"Mujer","Diestro",1,18,"circulo","tu","Matching","Self","Self","Self","Self",5,404,0.404,1
