"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec"
"1",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,715,1,0.715
"2",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,433,1,0.433
"3",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,903,1,0.903
"4",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,538,1,0.538
"5",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",NA,0,0,0
"6",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",5,647,0,0.647
"7",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,766,1,0.766
"8",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,267,1,0.267
"9",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,381,1,0.381
"10",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,494,1,0.494
"11",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,840,1,0.84
"12",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,424,1,0.424
"13",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,604,1,0.604
"14",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,821,1,0.821
"15",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,711,1,0.711
"16",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,477,1,0.477
"17",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,570,1,0.57
"18",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,661,1,0.661
"19",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,336,1,0.336
"20",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",5,553,0,0.553
"21",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,687,1,0.687
"22",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",1,282,0,0.282
