"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"1",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,715,1,0.715,"1920*1080",NA,NA,NA,"black","60cm",NA
"2",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,433,1,0.433,"1920*1080",NA,NA,NA,"black","60cm",NA
"3",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,903,1,0.903,"1920*1080",NA,NA,NA,"black","60cm",NA
"4",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,538,1,0.538,"1920*1080",NA,NA,NA,"black","60cm",NA
"5",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",NA,0,0,0,"1920*1080",NA,NA,NA,"black","60cm",NA
"6",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",5,647,0,0.647,"1920*1080",NA,NA,NA,"black","60cm",NA
"7",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,766,1,0.766,"1920*1080",NA,NA,NA,"black","60cm",NA
"8",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,267,1,0.267,"1920*1080",NA,NA,NA,"black","60cm",NA
"9",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,381,1,0.381,"1920*1080",NA,NA,NA,"black","60cm",NA
"10",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,494,1,0.494,"1920*1080",NA,NA,NA,"black","60cm",NA
"11",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,840,1,0.84,"1920*1080",NA,NA,NA,"black","60cm",NA
"12",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,424,1,0.424,"1920*1080",NA,NA,NA,"black","60cm",NA
"13",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,604,1,0.604,"1920*1080",NA,NA,NA,"black","60cm",NA
"14",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,821,1,0.821,"1920*1080",NA,NA,NA,"black","60cm",NA
"15",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,711,1,0.711,"1920*1080",NA,NA,NA,"black","60cm",NA
"16",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,477,1,0.477,"1920*1080",NA,NA,NA,"black","60cm",NA
"17",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,570,1,0.57,"1920*1080",NA,NA,NA,"black","60cm",NA
"18",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,661,1,0.661,"1920*1080",NA,NA,NA,"black","60cm",NA
"19",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,336,1,0.336,"1920*1080",NA,NA,NA,"black","60cm",NA
"20",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",5,553,0,0.553,"1920*1080",NA,NA,NA,"black","60cm",NA
"21",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,687,1,0.687,"1920*1080",NA,NA,NA,"black","60cm",NA
"22",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",1,282,0,0.282,"1920*1080",NA,NA,NA,"black","60cm",NA
"23",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,605,1,0.605,"1920*1080",NA,NA,NA,"black","60cm",NA
"24",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,848,1,0.848,"1920*1080",NA,NA,NA,"black","60cm",NA
"25",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,558,1,0.558,"1920*1080",NA,NA,NA,"black","60cm",NA
"26",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,410,1,0.41,"1920*1080",NA,NA,NA,"black","60cm",NA
"27",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,874,1,0.874,"1920*1080",NA,NA,NA,"black","60cm",NA
"28",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,420,1,0.42,"1920*1080",NA,NA,NA,"black","60cm",NA
"29",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,600,1,0.6,"1920*1080",NA,NA,NA,"black","60cm",NA
"30",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,681,1,0.681,"1920*1080",NA,NA,NA,"black","60cm",NA
"31",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,520,1,0.52,"1920*1080",NA,NA,NA,"black","60cm",NA
"32",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,359,1,0.359,"1920*1080",NA,NA,NA,"black","60cm",NA
"33",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,614,1,0.614,"1920*1080",NA,NA,NA,"black","60cm",NA
"34",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,467,1,0.467,"1920*1080",NA,NA,NA,"black","60cm",NA
"35",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,648,1,0.648,"1920*1080",NA,NA,NA,"black","60cm",NA
"36",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,820,1,0.82,"1920*1080",NA,NA,NA,"black","60cm",NA
"37",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,511,1,0.511,"1920*1080",NA,NA,NA,"black","60cm",NA
"38",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,349,1,0.349,"1920*1080",NA,NA,NA,"black","60cm",NA
"39",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,441,1,0.441,"1920*1080",NA,NA,NA,"black","60cm",NA
"40",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,702,1,0.702,"1920*1080",NA,NA,NA,"black","60cm",NA
"41",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,525,1,0.525,"1920*1080",NA,NA,NA,"black","60cm",NA
"42",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,447,1,0.447,"1920*1080",NA,NA,NA,"black","60cm",NA
"43",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,513,1,0.513,"1920*1080",NA,NA,NA,"black","60cm",NA
"44",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,821,1,0.821,"1920*1080",NA,NA,NA,"black","60cm",NA
"45",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,525,1,0.525,"1920*1080",NA,NA,NA,"black","60cm",NA
"46",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,815,1,0.815,"1920*1080",NA,NA,NA,"black","60cm",NA
"47",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,744,1,0.744,"1920*1080",NA,NA,NA,"black","60cm",NA
"48",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,662,1,0.662,"1920*1080",NA,NA,NA,"black","60cm",NA
"49",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,420,1,0.42,"1920*1080",NA,NA,NA,"black","60cm",NA
"50",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,443,1,0.443,"1920*1080",NA,NA,NA,"black","60cm",NA
"51",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",NA,0,0,0,"1920*1080",NA,NA,NA,"black","60cm",NA
"52",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,405,1,0.405,"1920*1080",NA,NA,NA,"black","60cm",NA
