"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"1",2816,"Matching","Self",723,0.723,1
"2",2816,"Matching","Self",730,0.73,1
"3",2816,"Matching","Self",736,0.736,1
"4",2816,"Matching","Self",705,0.705,1
"5",2816,"Matching","Self",511,0.511,1
"6",2816,"Matching","Self",845,0.845,1
"7",2816,"Matching","Self",596,0.596,1
"8",2816,"Matching","Self",581,0.581,1
"9",2816,"Matching","Self",705,0.705,1
"10",2816,"Matching","Self",1377,1.377,1
"11",2816,"Matching","Self",914,0.914,1
"12",2816,"Matching","Self",743,0.743,1
"13",2816,"Matching","Self",1316,1.316,1
"14",2816,"Matching","Self",544,0.544,1
"15",2816,"Matching","Self",681,0.681,1
"16",2816,"Matching","Self",640,0.64,1
"17",2816,"Matching","Self",1148,1.148,1
"18",2816,"Matching","Self",739,0.739,1
"19",2816,"Matching","Self",797,0.797,1
"20",2816,"Matching","Self",709,0.709,1
"21",2816,"Matching","Self",591,0.591,1
"22",2816,"Matching","Self",576,0.576,1
"23",2816,"Matching","Self",610,0.61,1
"24",2816,"Matching","Self",705,0.705,1
"25",2816,"Matching","Self",924,0.924,1
"26",2816,"Matching","Self",672,0.672,1
"27",2816,"Matching","Self",885,0.885,1
"28",2816,"Matching","Self",708,0.708,1
"29",2816,"Matching","Self",686,0.686,1
"30",2816,"Matching","Self",568,0.568,1
"31",2816,"Matching","Self",644,0.644,1
"32",2816,"Matching","Self",812,0.812,1
"33",2816,"Matching","Self",606,0.606,1
"34",2816,"Matching","Self",828,0.828,1
"35",2816,"Matching","Self",867,0.867,1
"36",2816,"Matching","Self",676,0.676,1
"37",2816,"Matching","Self",835,0.835,1
"38",2816,"Matching","Self",719,0.719,1
"39",2816,"Matching","Self",760,0.76,1
"40",2816,"Matching","Self",562,0.562,1
"41",2816,"Matching","Self",1225,1.225,1
"42",2816,"Matching","Self",877,0.877,1
"43",2816,"Matching","Self",900,0.9,1
"44",2816,"Matching","Self",640,0.64,1
"45",2816,"Matching","Self",480,0.48,1
"46",2816,"Matching","Self",734,0.734,1
"47",2816,"Matching","Self",658,0.658,1
"48",2816,"Matching","Self",700,0.7,1
"49",2816,"Matching","Self",656,0.656,1
"50",2816,"Matching","Self",827,0.827,1
"51",2816,"Matching","Self",593,0.593,1
"52",2816,"Matching","Self",770,0.77,1
"53",2816,"Matching","Self",664,0.664,1
"54",2816,"Matching","Self",693,0.693,1
"55",2816,"Matching","Self",632,0.632,1
"56",2816,"Matching","Self",652,0.652,1
"57",2816,"Matching","Self",1083,1.083,1
"58",2816,"Matching","Self",844,0.844,1
"59",2816,"Matching","Self",631,0.631,1
"60",2816,"Matching","Self",684,0.684,1
"61",2816,"Matching","Friend",609,0.609,1
"62",2816,"Matching","Friend",895,0.895,1
"63",2816,"Matching","Friend",612,0.612,1
"64",2816,"Matching","Friend",556,0.556,1
"65",2816,"Matching","Friend",845,0.845,1
"66",2816,"Matching","Friend",932,0.932,1
"67",2816,"Matching","Friend",738,0.738,1
"68",2816,"Matching","Friend",671,0.671,1
"69",2816,"Matching","Friend",741,0.741,1
"70",2816,"Matching","Friend",773,0.773,1
"71",2816,"Matching","Friend",638,0.638,1
"72",2816,"Matching","Friend",662,0.662,1
"73",2816,"Matching","Friend",652,0.652,1
"74",2816,"Matching","Friend",668,0.668,1
"75",2816,"Matching","Friend",907,0.907,1
"76",2816,"Matching","Friend",605,0.605,1
"77",2816,"Matching","Friend",607,0.607,1
"78",2816,"Matching","Friend",900,0.9,1
"79",2816,"Matching","Friend",687,0.687,1
"80",2816,"Matching","Friend",630,0.63,1
"81",2816,"Matching","Friend",578,0.578,1
"82",2816,"Matching","Friend",583,0.583,1
"83",2816,"Matching","Friend",633,0.633,1
"84",2816,"Matching","Friend",798,0.798,1
"85",2816,"Matching","Friend",609,0.609,1
"86",2816,"Matching","Friend",1047,1.047,1
"87",2816,"Matching","Friend",604,0.604,1
"88",2816,"Matching","Friend",688,0.688,1
"89",2816,"Matching","Friend",546,0.546,1
"90",2816,"Matching","Friend",804,0.804,1
"91",2816,"Matching","Friend",694,0.694,1
"92",2816,"Matching","Friend",1155,1.155,1
"93",2816,"Matching","Friend",562,0.562,1
"94",2816,"Matching","Friend",670,0.67,1
"95",2816,"Matching","Friend",587,0.587,1
"96",2816,"Matching","Friend",593,0.593,1
"97",2816,"Matching","Friend",699,0.699,1
"98",2816,"Matching","Friend",562,0.562,1
"99",2816,"Matching","Friend",517,0.517,1
"100",2816,"Matching","Friend",661,0.661,1
"101",2816,"Matching","Friend",664,0.664,0
"102",2816,"Matching","Friend",845,0.845,1
"103",2816,"Matching","Friend",669,0.669,1
"104",2816,"Matching","Friend",552,0.552,0
"105",2816,"Matching","Friend",974,0.974,1
"106",2816,"Matching","Friend",727,0.727,1
"107",2816,"Matching","Friend",722,0.722,1
"108",2816,"Matching","Friend",839,0.839,1
"109",2816,"Matching","Friend",713,0.713,1
"110",2816,"Matching","Friend",653,0.653,1
"111",2816,"Matching","Friend",694,0.694,1
"112",2816,"Matching","Friend",836,0.836,1
"113",2816,"Matching","Friend",679,0.679,1
"114",2816,"Matching","Friend",672,0.672,1
"115",2816,"Matching","Friend",655,0.655,1
"116",2816,"Matching","Friend",558,0.558,1
"117",2816,"Matching","Friend",1067,1.067,1
"118",2816,"Matching","Friend",569,0.569,1
"119",2816,"Matching","Friend",1418,1.418,1
"120",2816,"Matching","Stranger",954,0.954,1
"121",2816,"Matching","Stranger",877,0.877,1
"122",2816,"Matching","Stranger",740,0.74,1
"123",2816,"Matching","Stranger",790,0.79,1
"124",2816,"Matching","Stranger",500,0.5,0
"125",2816,"Matching","Stranger",705,0.705,1
"126",2816,"Matching","Stranger",1422,1.422,1
"127",2816,"Matching","Stranger",702,0.702,1
"128",2816,"Matching","Stranger",1065,1.065,1
"129",2816,"Matching","Stranger",930,0.93,1
"130",2816,"Matching","Stranger",1232,1.232,1
"131",2816,"Matching","Stranger",876,0.876,1
"132",2816,"Matching","Stranger",747,0.747,1
"133",2816,"Matching","Stranger",772,0.772,1
"134",2816,"Matching","Stranger",948,0.948,1
"135",2816,"Matching","Stranger",903,0.903,1
"136",2816,"Matching","Stranger",895,0.895,1
"137",2816,"Matching","Stranger",944,0.944,1
"138",2816,"Matching","Stranger",702,0.702,0
"139",2816,"Matching","Stranger",813,0.813,1
"140",2816,"Matching","Stranger",965,0.965,1
"141",2816,"Matching","Stranger",811,0.811,1
"142",2816,"Matching","Stranger",644,0.644,1
"143",2816,"Matching","Stranger",657,0.657,1
"144",2816,"Matching","Stranger",683,0.683,1
"145",2816,"Matching","Stranger",1056,1.056,1
"146",2816,"Matching","Stranger",628,0.628,0
"147",2816,"Matching","Stranger",791,0.791,1
"148",2816,"Matching","Stranger",832,0.832,1
"149",2816,"Matching","Stranger",543,0.543,1
"150",2816,"Matching","Stranger",724,0.724,1
"151",2816,"Matching","Stranger",688,0.688,1
"152",2816,"Matching","Stranger",942,0.942,1
"153",2816,"Matching","Stranger",693,0.693,1
"154",2816,"Matching","Stranger",1028,1.028,1
"155",2816,"Matching","Stranger",638,0.638,1
"156",2816,"Matching","Stranger",606,0.606,1
"157",2816,"Matching","Stranger",528,0.528,1
"158",2816,"Matching","Stranger",726,0.726,1
"159",2816,"Matching","Stranger",715,0.715,0
"160",2816,"Matching","Stranger",1181,1.181,1
"161",2816,"Matching","Stranger",1470,1.47,1
"162",2816,"Matching","Stranger",975,0.975,1
"163",2816,"Matching","Stranger",684,0.684,1
"164",2816,"Matching","Stranger",920,0.92,1
"165",2816,"Matching","Stranger",715,0.715,1
"166",2816,"Matching","Stranger",612,0.612,1
"167",2816,"Matching","Stranger",725,0.725,1
"168",2816,"Matching","Stranger",1498,1.498,1
"169",2816,"Matching","Stranger",691,0.691,1
"170",2816,"Matching","Stranger",480,0.48,1
"171",2816,"Nonmatching","Self",748,0.748,1
"172",2816,"Nonmatching","Self",979,0.979,1
"173",2816,"Nonmatching","Self",907,0.907,1
"174",2816,"Nonmatching","Self",1175,1.175,1
"175",2816,"Nonmatching","Self",1409,1.409,1
"176",2816,"Nonmatching","Self",782,0.782,1
"177",2816,"Nonmatching","Self",1362,1.362,1
"178",2816,"Nonmatching","Self",637,0.637,0
"179",2816,"Nonmatching","Self",759,0.759,1
"180",2816,"Nonmatching","Self",1087,1.087,1
"181",2816,"Nonmatching","Self",792,0.792,1
"182",2816,"Nonmatching","Self",998,0.998,1
"183",2816,"Nonmatching","Self",824,0.824,1
"184",2816,"Nonmatching","Self",845,0.845,0
"185",2816,"Nonmatching","Self",819,0.819,1
"186",2816,"Nonmatching","Self",1008,1.008,1
"187",2816,"Nonmatching","Self",1421,1.421,1
"188",2816,"Nonmatching","Self",802,0.802,1
"189",2816,"Nonmatching","Self",677,0.677,1
"190",2816,"Nonmatching","Self",1320,1.32,1
"191",2816,"Nonmatching","Self",1340,1.34,1
"192",2816,"Nonmatching","Self",706,0.706,1
"193",2816,"Nonmatching","Self",702,0.702,1
"194",2816,"Nonmatching","Self",638,0.638,1
"195",2816,"Nonmatching","Self",830,0.83,1
"196",2816,"Nonmatching","Self",913,0.913,1
"197",2816,"Nonmatching","Self",882,0.882,1
"198",2816,"Nonmatching","Self",830,0.83,1
"199",2816,"Nonmatching","Self",1261,1.261,1
"200",2816,"Nonmatching","Self",1387,1.387,1
"201",2816,"Nonmatching","Self",813,0.813,1
"202",2816,"Nonmatching","Self",982,0.982,1
