"Subject","Gender","Age","Handedness","First_Lanugage","Shape","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Response","RT_ms","RT_sec","ACC"
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","z",790,0.79,0
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",2026,2.026,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1476,1.476,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",1204,1.204,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",1320,1.32,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",663,0.663,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",623,0.623,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",746,0.746,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",872,0.872,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",1048,1.048,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",801,0.801,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",533,0.533,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",699,0.699,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",914,0.914,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",1466,1.466,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",1058,1.058,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",883,0.883,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",675,0.675,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",964,0.964,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",857,0.857,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",962,0.962,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",1175,1.175,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",819,0.819,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",566,0.566,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",891,0.891,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1139,1.139,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",873,0.873,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",618,0.618,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",917,0.917,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1060,1.06,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",757,0.757,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",730,0.73,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",920,0.92,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",695,0.695,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",663,0.663,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",712,0.712,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",983,0.983,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",675,0.675,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",868,0.868,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",876,0.876,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","z",693,0.693,0
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",1468,1.468,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",885,0.885,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1077,1.077,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",1606,1.606,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",697,0.697,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",856,0.856,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",729,0.729,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",712,0.712,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",1447,1.447,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1048,1.048,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",802,0.802,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",677,0.677,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",550,0.55,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",723,0.723,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",922,0.922,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",809,0.809,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",1700,1.7,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",947,0.947,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",937,0.937,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",583,0.583,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",1363,1.363,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1375,1.375,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",865,0.865,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",1561,1.561,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",878,0.878,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",526,0.526,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",1268,1.268,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",716,0.716,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",1107,1.107,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",626,0.626,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",836,0.836,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",663,0.663,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",776,0.776,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",1012,1.012,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",791,0.791,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",779,0.779,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",1224,1.224,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",818,0.818,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",997,0.997,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",784,0.784,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",820,0.82,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",799,0.799,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",713,0.713,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",696,0.696,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",840,0.84,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",842,0.842,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1188,1.188,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",792,0.792,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",1012,1.012,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",695,0.695,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",758,0.758,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",1444,1.444,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",885,0.885,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",613,0.613,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",568,0.568,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",701,0.701,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",1540,1.54,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",826,0.826,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",613,0.613,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",728,0.728,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",662,0.662,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",1079,1.079,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",696,0.696,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",728,0.728,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",886,0.886,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",870,0.87,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",631,0.631,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",473,0.473,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",594,0.594,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",774,0.774,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",770,0.77,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",647,0.647,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",1081,1.081,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",793,0.793,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",2565,2.565,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",538,0.538,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",856,0.856,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",561,0.561,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",486,0.486,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",1481,1.481,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",1225,1.225,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",867,0.867,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",788,0.788,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",1032,1.032,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",818,0.818,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",997,0.997,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",601,0.601,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",708,0.708,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Nonmatching","m",883,0.883,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",707,0.707,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",2411,2.411,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",966,0.966,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",739,0.739,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",496,0.496,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",648,0.648,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",634,0.634,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",804,0.804,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",871,0.871,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Matching","z",664,0.664,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",569,0.569,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",710,0.71,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",645,0.645,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",599,0.599,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Matching","z",522,0.522,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",697,0.697,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",624,0.624,1
1,"female",25,"right","Hebrew","triangle.bmp","Father","Father","Close","Nonmatching","m",707,0.707,1
1,"female",25,"right","Hebrew","circle.bmp","Close","Close","Close","Nonmatching","m",634,0.634,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",516,0.516,1
1,"female",25,"right","Hebrew","square.bmp","Stranger","Stranger","Stranger","Matching","z",787,0.787,1
