"","Subject","Gender","Age","Handedness","First_Lanugage","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"1",9605,"female",25,"right","Hebrew",1,1,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",3237,3.237,1
"2",9605,"female",25,"right","Hebrew",1,2,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",839,0.839,1
"3",9605,"female",25,"right","Hebrew",1,3,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",2320,2.32,1
"4",9605,"female",25,"right","Hebrew",1,4,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",2287,2.287,1
"5",9605,"female",25,"right","Hebrew",1,5,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1534,1.534,1
"6",9605,"female",25,"right","Hebrew",1,6,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",2260,2.26,1
"7",9605,"female",25,"right","Hebrew",1,7,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",789,0.789,1
"8",9605,"female",25,"right","Hebrew",1,8,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",2728,2.728,1
"9",9605,"female",25,"right","Hebrew",1,9,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1318,1.318,1
"10",9605,"female",25,"right","Hebrew",1,10,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",997,0.997,1
"11",9605,"female",25,"right","Hebrew",1,11,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1113,1.113,1
"12",9605,"female",25,"right","Hebrew",1,12,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1272,1.272,1
"13",9605,"female",25,"right","Hebrew",1,13,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",1417,1.417,1
"14",9605,"female",25,"right","Hebrew",1,14,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1283,1.283,1
"15",9605,"female",25,"right","Hebrew",1,15,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",899,0.899,1
"16",9605,"female",25,"right","Hebrew",1,16,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1155,1.155,1
"17",9605,"female",25,"right","Hebrew",1,17,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1256,1.256,1
"18",9605,"female",25,"right","Hebrew",1,18,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",1322,1.322,1
"19",9605,"female",25,"right","Hebrew",1,19,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1048,1.048,1
"20",9605,"female",25,"right","Hebrew",1,20,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1170,1.17,1
"21",9605,"female",25,"right","Hebrew",1,21,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1687,1.687,1
"22",9605,"female",25,"right","Hebrew",1,22,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",974,0.974,1
"23",9605,"female",25,"right","Hebrew",1,23,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1667,1.667,1
"24",9605,"female",25,"right","Hebrew",1,24,"square.bmp","Father","Matching","Father","Father","Father","Close","z",947,0.947,1
"25",9605,"female",25,"right","Hebrew",1,25,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1065,1.065,1
"26",9605,"female",25,"right","Hebrew",1,26,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1018,1.018,1
"27",9605,"female",25,"right","Hebrew",1,27,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1109,1.109,1
"28",9605,"female",25,"right","Hebrew",1,28,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",900,0.9,1
"29",9605,"female",25,"right","Hebrew",1,29,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1219,1.219,1
"30",9605,"female",25,"right","Hebrew",1,30,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",966,0.966,1
"31",9605,"female",25,"right","Hebrew",1,31,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1210,1.21,1
"32",9605,"female",25,"right","Hebrew",1,32,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",869,0.869,1
"33",9605,"female",25,"right","Hebrew",1,33,"circle.bmp","Self","Matching","Self","Self","Self","Self","m",806,0.806,0
"34",9605,"female",25,"right","Hebrew",1,34,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1089,1.089,1
"35",9605,"female",25,"right","Hebrew",1,35,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1338,1.338,1
"36",9605,"female",25,"right","Hebrew",1,36,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1128,1.128,1
"37",9605,"female",25,"right","Hebrew",1,37,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1990,1.99,1
"38",9605,"female",25,"right","Hebrew",1,38,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1506,1.506,1
"39",9605,"female",25,"right","Hebrew",1,39,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1289,1.289,1
"40",9605,"female",25,"right","Hebrew",1,40,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1497,1.497,1
"41",9605,"female",25,"right","Hebrew",1,41,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",969,0.969,1
"42",9605,"female",25,"right","Hebrew",1,42,"square.bmp","Father","Matching","Father","Father","Father","Close","z",821,0.821,1
"43",9605,"female",25,"right","Hebrew",1,43,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1080,1.08,1
"44",9605,"female",25,"right","Hebrew",1,44,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",585,0.585,1
"45",9605,"female",25,"right","Hebrew",1,45,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",965,0.965,1
"46",9605,"female",25,"right","Hebrew",1,46,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1066,1.066,1
"47",9605,"female",25,"right","Hebrew",1,47,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",963,0.963,1
"48",9605,"female",25,"right","Hebrew",1,48,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",904,0.904,1
"49",9605,"female",25,"right","Hebrew",1,49,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",983,0.983,1
"50",9605,"female",25,"right","Hebrew",1,50,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1155,1.155,1
"51",9605,"female",25,"right","Hebrew",1,51,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",761,0.761,1
"52",9605,"female",25,"right","Hebrew",1,52,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1670,1.67,1
"53",9605,"female",25,"right","Hebrew",1,53,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1494,1.494,1
"54",9605,"female",25,"right","Hebrew",1,54,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",822,0.822,1
"55",9605,"female",25,"right","Hebrew",1,55,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",952,0.952,1
"56",9605,"female",25,"right","Hebrew",1,56,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",549,0.549,1
"57",9605,"female",25,"right","Hebrew",1,57,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",915,0.915,1
"58",9605,"female",25,"right","Hebrew",1,58,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",802,0.802,1
"59",9605,"female",25,"right","Hebrew",1,59,"square.bmp","Father","Matching","Father","Father","Father","Close","z",789,0.789,1
"60",9605,"female",25,"right","Hebrew",1,60,"square.bmp","Father","Matching","Father","Father","Father","Close","z",857,0.857,1
"61",9605,"female",25,"right","Hebrew",1,61,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",722,0.722,1
"62",9605,"female",25,"right","Hebrew",1,62,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1033,1.033,1
"63",9605,"female",25,"right","Hebrew",1,63,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",963,0.963,1
"64",9605,"female",25,"right","Hebrew",1,64,"square.bmp","Father","Matching","Father","Father","Father","Close","z",888,0.888,1
"65",9605,"female",25,"right","Hebrew",1,65,"square.bmp","Father","Matching","Father","Father","Father","Close","m",728,0.728,0
"66",9605,"female",25,"right","Hebrew",1,66,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1311,1.311,1
"67",9605,"female",25,"right","Hebrew",1,67,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","z",973,0.973,0
"68",9605,"female",25,"right","Hebrew",1,68,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1482,1.482,1
"69",9605,"female",25,"right","Hebrew",1,69,"square.bmp","Father","Matching","Father","Father","Father","Close","z",850,0.85,1
"70",9605,"female",25,"right","Hebrew",1,70,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",643,0.643,1
"71",9605,"female",25,"right","Hebrew",1,71,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1125,1.125,1
"72",9605,"female",25,"right","Hebrew",1,72,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1252,1.252,1
"73",9605,"female",25,"right","Hebrew",1,73,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1413,1.413,1
"74",9605,"female",25,"right","Hebrew",1,74,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1304,1.304,1
"75",9605,"female",25,"right","Hebrew",1,75,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1423,1.423,1
"76",9605,"female",25,"right","Hebrew",1,76,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1585,1.585,1
"77",9605,"female",25,"right","Hebrew",1,77,"square.bmp","Father","Matching","Father","Father","Father","Close","z",709,0.709,1
"78",9605,"female",25,"right","Hebrew",1,78,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1220,1.22,1
"79",9605,"female",25,"right","Hebrew",1,79,"square.bmp","Father","Matching","Father","Father","Father","Close","z",775,0.775,1
"80",9605,"female",25,"right","Hebrew",1,80,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",810,0.81,1
"81",9605,"female",25,"right","Hebrew",1,81,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",949,0.949,1
"82",9605,"female",25,"right","Hebrew",1,82,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",835,0.835,1
"83",9605,"female",25,"right","Hebrew",1,83,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",1749,1.749,1
"84",9605,"female",25,"right","Hebrew",1,84,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1170,1.17,1
"85",9605,"female",25,"right","Hebrew",1,85,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",3063,3.063,1
"86",9605,"female",25,"right","Hebrew",1,86,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1496,1.496,1
"87",9605,"female",25,"right","Hebrew",1,87,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",824,0.824,1
"88",9605,"female",25,"right","Hebrew",1,88,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1938,1.938,1
"89",9605,"female",25,"right","Hebrew",1,89,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",2680,2.68,1
"90",9605,"female",25,"right","Hebrew",1,90,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",2088,2.088,1
"91",9605,"female",25,"right","Hebrew",1,91,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1976,1.976,1
"92",9605,"female",25,"right","Hebrew",1,92,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1924,1.924,1
"93",9605,"female",25,"right","Hebrew",1,93,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",5187,5.187,1
"94",9605,"female",25,"right","Hebrew",1,94,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",3478,3.478,1
"95",9605,"female",25,"right","Hebrew",1,95,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",2406,2.406,1
"96",9605,"female",25,"right","Hebrew",1,96,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",5728,5.728,1
"97",9605,"female",25,"right","Hebrew",1,97,"square.bmp","Father","Matching","Father","Father","Father","Close","z",7926,7.926,1
"98",9605,"female",25,"right","Hebrew",1,98,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",6788,6.788,1
"99",9605,"female",25,"right","Hebrew",1,99,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",9607,9.607,1
"100",9605,"female",25,"right","Hebrew",1,100,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",3721,3.721,1
"101",9605,"female",25,"right","Hebrew",1,101,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",3592,3.592,1
"102",9605,"female",25,"right","Hebrew",1,102,"square.bmp","Father","Matching","Father","Father","Father","Close","z",4947,4.947,1
"103",9605,"female",25,"right","Hebrew",1,103,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",3623,3.623,1
