"","Subject","Gender","Age","Handedness","First_Lanugage","Shape","Word","Matching","Identity","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","Color","VisualAngle","Contrast"
"1",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"2",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"3",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",723,0.723,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"4",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",730,0.73,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"5",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",736,0.736,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"6",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",705,0.705,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",511,0.511,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"8",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",845,0.845,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"9",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",596,0.596,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"10",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",581,0.581,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"11",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",705,0.705,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"12",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",1377,1.377,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"13",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",914,0.914,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"14",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",743,0.743,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"15",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",1316,1.316,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"16",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",544,0.544,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"17",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",681,0.681,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"18",2816,"female",21,"right","Hebrew","triangle.bmp","Self","Matching","Self","m",640,0.64,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
