"","Subject","Age","Gender","Handedness","Shape","Label","Matching","Shape1","Shape2","Identity1","Identity2","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"1",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",934,0.934,1,"15.6-in",NA,NA,"white","black","50cm",NA
"2",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1427,1.427,1,"15.6-in",NA,NA,"white","black","50cm",NA
"3",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",739,0.739,1,"15.6-in",NA,NA,"white","black","50cm",NA
"4",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",862,0.862,1,"15.6-in",NA,NA,"white","black","50cm",NA
"5",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",806,0.806,1,"15.6-in",NA,NA,"white","black","50cm",NA
"6",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1019,1.019,1,"15.6-in",NA,NA,"white","black","50cm",NA
"7",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",738,0.738,1,"15.6-in",NA,NA,"white","black","50cm",NA
"8",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",592,0.592,1,"15.6-in",NA,NA,"white","black","50cm",NA
"9",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",796,0.796,1,"15.6-in",NA,NA,"white","black","50cm",NA
"10",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1358,1.358,1,"15.6-in",NA,NA,"white","black","50cm",NA
"11",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",998,0.998,1,"15.6-in",NA,NA,"white","black","50cm",NA
