"","Subject","Age","Gender","Handedness","Shape","Label","Origin_Identity","English_Identity","Standardized_Idnetity","Matching","Response","RT_ms","RT_sec","ACC"
"1",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",1288,1.288,0
"2",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",529,0.529,1
"3",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",641,0.641,0
"4",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",4263,4.263,1
"5",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",538,0.538,1
"6",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",998,0.998,1
"7",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",608,0.608,1
"8",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1556,1.556,1
"9",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1243,1.243,1
"10",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",1058,1.058,1
"11",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",955,0.955,1
"12",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",884,0.884,1
"13",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",950,0.95,1
"14",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",744,0.744,1
"15",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",944,0.944,1
"16",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",792,0.792,1
"17",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1118,1.118,1
"18",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",531,0.531,1
"19",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",527,0.527,1
"20",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",878,0.878,0
"21",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",629,0.629,1
"22",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1371,1.371,1
"23",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1174,1.174,1
"24",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",454,0.454,1
"25",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",798,0.798,1
"26",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",737,0.737,1
"27",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",545,0.545,1
"28",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",630,0.63,1
"29",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1201,1.201,1
"30",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",428,0.428,1
"31",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",731,0.731,1
"32",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",531,0.531,1
"33",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",663,0.663,1
"34",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",674,0.674,1
"35",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",924,0.924,1
"36",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",586,0.586,1
"37",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",443,0.443,1
"38",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",872,0.872,1
"39",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",913,0.913,1
"40",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",540,0.54,1
"41",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",705,0.705,1
"42",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",641,0.641,1
"43",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1140,1.14,1
"44",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",429,0.429,1
"45",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",740,0.74,1
"46",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",786,0.786,1
"47",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1121,1.121,1
"48",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",2064,2.064,1
"49",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",661,0.661,1
"50",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",739,0.739,1
"51",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",449,0.449,1
"52",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",834,0.834,1
"53",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",641,0.641,1
"54",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",773,0.773,1
"55",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",959,0.959,1
"56",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",724,0.724,1
"57",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",589,0.589,1
"58",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",758,0.758,1
"59",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1029,1.029,1
"60",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",908,0.908,1
"61",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1278,1.278,1
"62",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",546,0.546,1
"63",1,21,"male","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",790,0.79,1
"64",1,21,"male","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1252,1.252,1
"65",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",895,0.895,1
"66",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",628,0.628,1
"67",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",594,0.594,1
"68",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",707,0.707,1
"69",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",456,0.456,1
"70",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",864,0.864,1
"71",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",821,0.821,1
"72",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",679,0.679,1
"73",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",585,0.585,1
"74",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",772,0.772,1
"75",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",640,0.64,1
"76",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",620,0.62,1
