"Subject","Gender","Age","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Mood","Arouse","Valence","Session","RT_ms","RT_sec","ACC"
17,"female",19,"Nonmatching","Self","Self","Self","anxious",7,3,"S2",408,0.408,1
17,"female",19,"Nonmatching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",375,0.375,1
17,"female",19,"Nonmatching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",339,0.339,1
17,"female",19,"Nonmatching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",253,0.253,1
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",233,0.233,0
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",522,0.522,1
17,"female",19,"Nonmatching","Stranger","Stranger","Stranger","anxious",7,3,"S2",479,0.479,1
17,"female",19,"Nonmatching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",482,0.482,1
17,"female",19,"Matching","Stranger","Stranger","Stranger","anxious",7,3,"S2",520,0.52,0
17,"female",19,"Matching","Stranger","Stranger","Stranger","anxious",7,3,"S2",551,0.551,1
17,"female",19,"Matching","Stranger","Stranger","Stranger","anxious",7,3,"S2",464,0.464,1
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",527,0.527,1
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",426,0.426,0
17,"female",19,"Nonmatching","Self","Self","Self","anxious",7,3,"S2",741,0.741,1
17,"female",19,"Matching","Self","Self","Self","anxious",7,3,"S2",452,0.452,1
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",355,0.355,0
17,"female",19,"Nonmatching","Self","Self","Self","anxious",7,3,"S2",644,0.644,1
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",548,0.548,1
17,"female",19,"Nonmatching","Self","Self","Self","anxious",7,3,"S2",471,0.471,1
17,"female",19,"Matching","Stranger","Stranger","Stranger","anxious",7,3,"S2",420,0.42,0
17,"female",19,"Matching","Stranger","Stranger","Stranger","anxious",7,3,"S2",411,0.411,1
17,"female",19,"Nonmatching","Stranger","Stranger","Stranger","anxious",7,3,"S2",437,0.437,1
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",566,0.566,1
17,"female",19,"Nonmatching","Stranger","Stranger","Stranger","anxious",7,3,"S2",418,0.418,1
17,"female",19,"Nonmatching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",557,0.557,1
17,"female",19,"Nonmatching","Stranger","Stranger","Stranger","anxious",7,3,"S2",569,0.569,1
17,"female",19,"Matching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",411,0.411,1
17,"female",19,"Matching","Self","Self","Self","anxious",7,3,"S2",433,0.433,1
17,"female",19,"Matching","Self","Self","Self","anxious",7,3,"S2",279,0.279,1
17,"female",19,"Nonmatching","Self","Self","Self","anxious",7,3,"S2",339,0.339,1
17,"female",19,"Matching","Self","Self","Self","anxious",7,3,"S2",366,0.366,1
17,"female",19,"Nonmatching","Stranger","Stranger","Stranger","anxious",7,3,"S2",414,0.414,1
17,"female",19,"Nonmatching","Self","Self","Self","anxious",7,3,"S2",557,0.557,1
17,"female",19,"Nonmatching","Familiar","Familiar","Celebrity","anxious",7,3,"S2",429,0.429,1
17,"female",19,"Nonmatching","Stranger","Stranger","Stranger","anxious",7,3,"S2",408,0.408,1
17,"female",19,"Nonmatching","Self","Self","Self","anxious",7,3,"S2",471,0.471,1
