"Subject","Gender","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Cue","RT_ms","RT_sec","ACC"
1,"female","Matching","Self","Self","Self","Alter cue",493,0.493,1
1,"female","Matching","Self","Self","Self","No cue",316,0.316,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",427,0.427,1
1,"female","Matching","Self","Self","Self","No cue",375,0.375,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",399,0.399,0
1,"female","Nonmatching","Self","Self","Self","Alter cue",343,0.343,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",596,0.596,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",589,0.589,1
1,"female","Matching","Self","Self","Self","Alter cue",461,0.461,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",413,0.413,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",491,0.491,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",368,0.368,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",276,0.276,0
1,"female","Matching","Self","Self","Self","Alter cue",347,0.347,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",307,0.307,1
1,"female","Matching","Self","Self","Self","No cue",516,0.516,0
1,"female","Nonmatching","Self","Self","Self","No cue",531,0.531,1
1,"female","Matching","Self","Self","Self","Alter cue",341,0.341,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",444,0.444,1
1,"female","Matching","Self","Self","Self","Alter cue",344,0.344,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",391,0.391,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",471,0.471,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",615,0.615,0
1,"female","Matching","Self","Self","Self","No cue",647,0.647,0
1,"female","Nonmatching","Self","Self","Self","No cue",624,0.624,1
1,"female","Matching","Self","Self","Self","No cue",752,0.752,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",455,0.455,1
1,"female","Matching","Self","Self","Self","Alter cue",525,0.525,1
1,"female","Matching","Self","Self","Self","No cue",804,0.804,1
1,"female","Nonmatching","Self","Self","Self","No cue",489,0.489,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",725,0.725,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",554,0.554,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",416,0.416,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",826,0.826,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",662,0.662,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",757,0.757,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",481,0.481,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",601,0.601,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",511,0.511,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",487,0.487,1
1,"female","Matching","Self","Self","Self","No cue",645,0.645,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",723,0.723,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",844,0.844,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",559,0.559,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",648,0.648,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",442,0.442,1
1,"female","Nonmatching","Self","Self","Self","No cue",589,0.589,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",386,0.386,0
1,"female","Nonmatching","Self","Self","Self","No cue",425,0.425,1
1,"female","Nonmatching","Self","Self","Self","No cue",461,0.461,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",493,0.493,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",411,0.411,1
1,"female","Nonmatching","Self","Self","Self","No cue",839,0.839,1
1,"female","Matching","Self","Self","Self","No cue",344,0.344,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",424,0.424,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",739,0.739,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",364,0.364,1
1,"female","Matching","Self","Self","Self","No cue",447,0.447,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",351,0.351,1
1,"female","Matching","Self","Self","Self","No cue",402,0.402,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",366,0.366,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",543,0.543,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",532,0.532,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",572,0.572,1
1,"female","Matching","Self","Self","Self","Alter cue",407,0.407,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",397,0.397,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",422,0.422,1
1,"female","Matching","Self","Self","Self","Alter cue",382,0.382,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",843,0.843,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",630,0.63,0
1,"female","Nonmatching","Self","Self","Self","Alter cue",447,0.447,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",412,0.412,0
1,"female","Matching","Self","Self","Self","Alter cue",579,0.579,1
1,"female","Nonmatching","Self","Self","Self","No cue",427,0.427,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",463,0.463,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",374,0.374,0
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",420,0.42,1
1,"female","Matching","Self","Self","Self","Alter cue",276,0.276,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",410,0.41,1
