"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"1",1,"Matching","Self",442,0.442,1
"2",1,"Matching","Self",613,0.613,1
"3",1,"Matching","Self",864,0.864,1
"4",1,"Matching","Self",594,0.594,1
"5",1,"Matching","Self",728,0.728,1
"6",1,"Matching","Self",399,0.399,1
"7",1,"Matching","Self",489,0.489,1
"8",1,"Matching","Self",495,0.495,1
"9",1,"Matching","Self",626,0.626,1
"10",1,"Matching","Self",578,0.578,1
"11",1,"Matching","Self",661,0.661,1
"12",1,"Matching","Self",392,0.392,1
"13",1,"Matching","Self",456,0.456,0
"14",1,"Matching","Self",550,0.55,1
"15",1,"Matching","Self",418,0.418,0
"16",1,"Matching","Self",366,0.366,1
"17",1,"Matching","Self",410,0.41,1
"18",1,"Matching","Mother",854,0.854,1
"19",1,"Matching","Mother",1070,1.07,1
"20",1,"Matching","Mother",517,0.517,1
"21",1,"Matching","Mother",531,0.531,1
"22",1,"Matching","Mother",637,0.637,1
"23",1,"Matching","Mother",506,0.506,1
"24",1,"Matching","Mother",518,0.518,1
"25",1,"Matching","Mother",592,0.592,1
"26",1,"Matching","Mother",615,0.615,1
"27",1,"Matching","Mother",525,0.525,1
"28",1,"Matching","Mother",477,0.477,1
"29",1,"Matching","Mother",655,0.655,1
"30",1,"Matching","Mother",429,0.429,1
"31",1,"Matching","Mother",596,0.596,1
"32",1,"Matching","Mother",413,0.413,0
"33",1,"Matching","Mother",501,0.501,1
"34",1,"Matching","Mother",494,0.494,1
"35",1,"Matching","Mother",391,0.391,1
"36",1,"Matching","none",691,0.691,1
"37",1,"Matching","none",1106,1.106,1
"38",1,"Matching","none",679,0.679,1
"39",1,"Matching","none",459,0.459,1
"40",1,"Matching","none",486,0.486,1
"41",1,"Matching","none",482,0.482,1
"42",1,"Matching","none",612,0.612,1
"43",1,"Matching","none",483,0.483,1
"44",1,"Matching","none",512,0.512,1
"45",1,"Matching","none",463,0.463,1
"46",1,"Matching","none",461,0.461,1
"47",1,"Matching","none",492,0.492,1
"48",1,"Matching","none",455,0.455,1
"49",1,"Matching","none",400,0.4,0
"50",1,"Matching","none",442,0.442,1
"51",1,"Matching","none",408,0.408,1
"52",1,"Matching","none",515,0.515,1
"53",1,"Matching","none",403,0.403,1
"54",1,"Matching","Acquaintance",571,0.571,0
"55",1,"Matching","Acquaintance",546,0.546,1
"56",1,"Matching","Acquaintance",499,0.499,1
"57",1,"Matching","Acquaintance",612,0.612,1
"58",1,"Matching","Acquaintance",492,0.492,1
"59",1,"Matching","Acquaintance",516,0.516,1
"60",1,"Matching","Acquaintance",408,0.408,1
"61",1,"Matching","Acquaintance",459,0.459,1
"62",1,"Matching","Acquaintance",462,0.462,1
"63",1,"Matching","Acquaintance",435,0.435,1
"64",1,"Matching","Acquaintance",502,0.502,1
"65",1,"Matching","Acquaintance",473,0.473,1
"66",1,"Matching","Acquaintance",380,0.38,1
"67",1,"Matching","Acquaintance",574,0.574,1
"68",1,"Matching","Acquaintance",472,0.472,1
"69",1,"Matching","Acquaintance",385,0.385,1
"70",1,"Matching","Acquaintance",495,0.495,1
"71",1,"Matching","Acquaintance",483,0.483,1
"72",1,"Nonmatching","Self",660,0.66,1
"73",1,"Nonmatching","Self",742,0.742,1
"74",1,"Nonmatching","Self",603,0.603,1
"75",1,"Nonmatching","Self",626,0.626,1
"76",1,"Nonmatching","Self",462,0.462,1
