"Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC"
1,"female",25,"bm",0,0,0
1,"female",25,"bm",0,0,0
1,"female",25,"bm",20,0.02,1
1,"female",25,"bm",230,0.23,1
1,"female",25,"bm",0,0,0
1,"female",25,"bm",262,0.262,1
1,"female",25,"bm",0,0,0
1,"female",25,"bm",186,0.186,0
1,"female",25,"bm",144,0.144,0
1,"female",25,"bm",0,0,0
1,"female",25,"bm",153,0.153,0
1,"female",25,"bm",0,0,0
1,"female",25,"bm",255,0.255,1
1,"female",25,"bm",189,0.189,1
1,"female",25,"bm",104,0.104,0
1,"female",25,"bm",188,0.188,0
1,"female",25,"bm",126,0.126,0
1,"female",25,"bm",184,0.184,1
1,"female",25,"bn",0,0,0
1,"female",25,"bn",135,0.135,1
1,"female",25,"bn",142,0.142,1
1,"female",25,"bn",264,0.264,1
1,"female",25,"bn",102,0.102,1
1,"female",25,"bn",0,0,0
1,"female",25,"bn",0,0,0
1,"female",25,"bn",137,0.137,1
1,"female",25,"bn",173,0.173,0
1,"female",25,"bn",118,0.118,1
1,"female",25,"bn",158,0.158,1
1,"female",25,"bn",0,0,0
1,"female",25,"bn",0,0,0
1,"female",25,"bn",384,0.384,0
1,"female",25,"bn",0,0,0
1,"female",25,"bn",160,0.16,0
1,"female",25,"bn",149,0.149,0
1,"female",25,"bn",2,0.002,1
1,"female",25,"im",160,0.16,0
1,"female",25,"im",0,0,0
1,"female",25,"im",78,0.078,0
1,"female",25,"im",0,0,0
1,"female",25,"im",206,0.206,0
1,"female",25,"im",0,0,0
1,"female",25,"im",0,0,0
1,"female",25,"im",238,0.238,1
1,"female",25,"im",174,0.174,1
1,"female",25,"im",222,0.222,1
1,"female",25,"im",357,0.357,0
1,"female",25,"im",0,0,0
1,"female",25,"im",0,0,0
1,"female",25,"im",177,0.177,0
1,"female",25,"im",52,0.052,1
1,"female",25,"im",765,0.765,1
1,"female",25,"im",0,0,0
1,"female",25,"im",0,0,0
1,"female",25,"in",223,0.223,0
1,"female",25,"in",186,0.186,0
1,"female",25,"in",238,0.238,0
1,"female",25,"in",143,0.143,1
1,"female",25,"in",319,0.319,0
1,"female",25,"in",0,0,0
1,"female",25,"in",175,0.175,0
1,"female",25,"in",151,0.151,0
1,"female",25,"in",163,0.163,1
1,"female",25,"in",1057,1.057,0
1,"female",25,"in",17,0.017,0
1,"female",25,"in",0,0,0
1,"female",25,"in",0,0,0
1,"female",25,"in",326,0.326,1
1,"female",25,"in",156,0.156,0
1,"female",25,"in",594,0.594,0
1,"female",25,"in",188,0.188,1
1,"female",25,"in",188,0.188,1
1,"female",25,"mm",0,0,0
1,"female",25,"mm",240,0.24,0
1,"female",25,"mm",144,0.144,1
1,"female",25,"mm",181,0.181,1
1,"female",25,"mm",0,0,0
1,"female",25,"mm",0,0,0
1,"female",25,"mm",338,0.338,1
1,"female",25,"mm",227,0.227,1
1,"female",25,"mm",331,0.331,1
1,"female",25,"mm",164,0.164,1
1,"female",25,"mm",429,0.429,1
1,"female",25,"mm",0,0,0
1,"female",25,"mm",619,0.619,1
1,"female",25,"mm",256,0.256,1
1,"female",25,"mm",258,0.258,0
1,"female",25,"mm",270,0.27,0
1,"female",25,"mm",511,0.511,1
1,"female",25,"mm",164,0.164,0
1,"female",25,"mn",0,0,0
1,"female",25,"mn",54,0.054,1
1,"female",25,"mn",60,0.06,0
1,"female",25,"mn",221,0.221,1
1,"female",25,"mn",0,0,0
1,"female",25,"mn",69,0.069,0
1,"female",25,"mn",187,0.187,1
1,"female",25,"mn",115,0.115,0
1,"female",25,"mn",3,0.003,0
1,"female",25,"mn",187,0.187,0
1,"female",25,"mn",95,0.095,1
1,"female",25,"mn",188,0.188,0
1,"female",25,"mn",1057,1.057,1
1,"female",25,"mn",301,0.301,0
1,"female",25,"mn",209,0.209,1
1,"female",25,"mn",219,0.219,0
1,"female",25,"mn",174,0.174,0
1,"female",25,"mn",0,0,0
1,"female",25,"nm",157,0.157,0
1,"female",25,"nm",203,0.203,1
1,"female",25,"nm",150,0.15,0
1,"female",25,"nm",192,0.192,1
1,"female",25,"nm",0,0,0
1,"female",25,"nm",246,0.246,0
1,"female",25,"nm",535,0.535,0
1,"female",25,"nm",116,0.116,0
1,"female",25,"nm",7,0.007,0
1,"female",25,"nm",159,0.159,1
1,"female",25,"nm",293,0.293,0
1,"female",25,"nm",312,0.312,0
1,"female",25,"nm",85,0.085,0
1,"female",25,"nm",816,0.816,0
1,"female",25,"nm",0,0,0
1,"female",25,"nm",0,0,0
1,"female",25,"nm",218,0.218,1
1,"female",25,"nm",0,0,0
1,"female",25,"nn",0,0,0
1,"female",25,"nn",104,0.104,0
1,"female",25,"nn",269,0.269,0
1,"female",25,"nn",210,0.21,1
1,"female",25,"nn",0,0,0
1,"female",25,"nn",353,0.353,0
1,"female",25,"nn",132,0.132,1
1,"female",25,"nn",133,0.133,1
1,"female",25,"nn",219,0.219,1
1,"female",25,"nn",153,0.153,0
1,"female",25,"nn",302,0.302,1
1,"female",25,"nn",0,0,0
1,"female",25,"nn",20,0.02,0
1,"female",25,"nn",226,0.226,0
1,"female",25,"nn",222,0.222,1
1,"female",25,"nn",360,0.36,0
1,"female",25,"nn",204,0.204,0
1,"female",25,"nn",1335,1.335,0
2,"female",27,"bm",1020,1.02,0
2,"female",27,"bm",0,0,0
2,"female",27,"bm",1090,1.09,0
2,"female",27,"bm",813,0.813,1
2,"female",27,"bm",0,0,0
2,"female",27,"bm",0,0,0
2,"female",27,"bm",558,0.558,1
2,"female",27,"bm",579,0.579,1
2,"female",27,"bm",692,0.692,1
2,"female",27,"bm",359,0.359,1
2,"female",27,"bm",370,0.37,1
2,"female",27,"bm",554,0.554,1
2,"female",27,"bm",626,0.626,1
