"Subject","Gender","Age","Handedness","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
1,"female",19,"right","Matching","Mutter","Mother","Close",540,0.54,0
1,"female",19,"right","Nonmatching","Mutter","Mother","Close",517,0.517,0
1,"female",19,"right","Matching","Bekannter","Acquaintance","Acquaintance",457,0.457,1
1,"female",19,"right","Matching","Ich","Self","Self",397,0.397,1
1,"female",19,"right","Nonmatching","Ich","Self","Self",869,0.869,0
1,"female",19,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",608,0.608,1
1,"female",19,"right","Matching","Mutter","Mother","Close",495,0.495,1
1,"female",19,"right","Matching","Ich","Self","Self",338,0.338,1
1,"female",19,"right","Matching","Bekannter","Acquaintance","Acquaintance",525,0.525,1
1,"female",19,"right","Nonmatching","Mutter","Mother","Close",639,0.639,1
1,"female",19,"right","Nonmatching","Ich","Self","Self",524,0.524,1
1,"female",19,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",534,0.534,1
1,"female",19,"right","Nonmatching","Ich","Self","Self",464,0.464,1
1,"female",19,"right","Nonmatching","Mutter","Mother","Close",332,0.332,1
1,"female",19,"right","Matching","Ich","Self","Self",407,0.407,1
1,"female",19,"right","Matching","Bekannter","Acquaintance","Acquaintance",375,0.375,1
1,"female",19,"right","Nonmatching","Mutter","Mother","Close",423,0.423,1
1,"female",19,"right","Matching","Ich","Self","Self",366,0.366,1
1,"female",19,"right","Nonmatching","Ich","Self","Self",431,0.431,1
1,"female",19,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",454,0.454,1
1,"female",19,"right","Matching","Bekannter","Acquaintance","Acquaintance",715,0.715,0
1,"female",19,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",509,0.509,1
1,"female",19,"right","Matching","Mutter","Mother","Close",368,0.368,1
1,"female",19,"right","Matching","Mutter","Mother","Close",393,0.393,1
1,"female",19,"right","Matching","Ich","Self","Self",322,0.322,1
1,"female",19,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",333,0.333,1
1,"female",19,"right","Matching","Bekannter","Acquaintance","Acquaintance",304,0.304,1
1,"female",19,"right","Matching","Ich","Self","Self",365,0.365,1
