"","Subject","Gender","Age","Handedness","Matching","Identity","RT_ms","RT_sec","ACC"
"1",1,"female",20,"right","Matching","Bekannter",571,0.571,0
"2",1,"female",20,"right","Matching","Bekannter",546,0.546,1
"3",1,"female",20,"right","Matching","Bekannter",499,0.499,1
"4",1,"female",20,"right","Matching","Bekannter",612,0.612,1
"5",1,"female",20,"right","Matching","Bekannter",492,0.492,1
"6",1,"female",20,"right","Matching","Bekannter",516,0.516,1
"7",1,"female",20,"right","Matching","Bekannter",408,0.408,1
"8",1,"female",20,"right","Matching","Bekannter",459,0.459,1
"9",1,"female",20,"right","Matching","Bekannter",462,0.462,1
"10",1,"female",20,"right","Matching","Bekannter",435,0.435,1
"11",1,"female",20,"right","Matching","Bekannter",502,0.502,1
"12",1,"female",20,"right","Matching","Bekannter",473,0.473,1
"13",1,"female",20,"right","Matching","Bekannter",380,0.38,1
"14",1,"female",20,"right","Matching","Bekannter",574,0.574,1
"15",1,"female",20,"right","Matching","Bekannter",472,0.472,1
"16",1,"female",20,"right","Matching","Bekannter",385,0.385,1
"17",1,"female",20,"right","Matching","Bekannter",495,0.495,1
"18",1,"female",20,"right","Matching","Bekannter",483,0.483,1
"19",1,"female",20,"right","Matching","Ich",1899,1.899,0
"20",1,"female",20,"right","Matching","Ich",442,0.442,1
"21",1,"female",20,"right","Matching","Ich",613,0.613,1
"22",1,"female",20,"right","Matching","Ich",864,0.864,1
"23",1,"female",20,"right","Matching","Ich",594,0.594,1
"24",1,"female",20,"right","Matching","Ich",728,0.728,1
"25",1,"female",20,"right","Matching","Ich",399,0.399,1
"26",1,"female",20,"right","Matching","Ich",489,0.489,1
"27",1,"female",20,"right","Matching","Ich",495,0.495,1
"28",1,"female",20,"right","Matching","Ich",626,0.626,1
"29",1,"female",20,"right","Matching","Ich",578,0.578,1
"30",1,"female",20,"right","Matching","Ich",661,0.661,1
"31",1,"female",20,"right","Matching","Ich",392,0.392,1
"32",1,"female",20,"right","Matching","Ich",456,0.456,0
"33",1,"female",20,"right","Matching","Ich",550,0.55,1
"34",1,"female",20,"right","Matching","Ich",418,0.418,0
"35",1,"female",20,"right","Matching","Ich",366,0.366,1
"36",1,"female",20,"right","Matching","Ich",410,0.41,1
"37",1,"female",20,"right","Matching","Mutter",854,0.854,1
"38",1,"female",20,"right","Matching","Mutter",1070,1.07,1
"39",1,"female",20,"right","Matching","Mutter",517,0.517,1
"40",1,"female",20,"right","Matching","Mutter",531,0.531,1
"41",1,"female",20,"right","Matching","Mutter",637,0.637,1
"42",1,"female",20,"right","Matching","Mutter",506,0.506,1
"43",1,"female",20,"right","Matching","Mutter",518,0.518,1
"44",1,"female",20,"right","Matching","Mutter",592,0.592,1
"45",1,"female",20,"right","Matching","Mutter",615,0.615,1
"46",1,"female",20,"right","Matching","Mutter",525,0.525,1
"47",1,"female",20,"right","Matching","Mutter",477,0.477,1
"48",1,"female",20,"right","Matching","Mutter",655,0.655,1
"49",1,"female",20,"right","Matching","Mutter",429,0.429,1
"50",1,"female",20,"right","Matching","Mutter",596,0.596,1
"51",1,"female",20,"right","Matching","Mutter",413,0.413,0
"52",1,"female",20,"right","Matching","Mutter",501,0.501,1
"53",1,"female",20,"right","Matching","Mutter",494,0.494,1
"54",1,"female",20,"right","Matching","Mutter",391,0.391,1
"55",1,"female",20,"right","Matching","none",691,0.691,1
"56",1,"female",20,"right","Matching","none",1106,1.106,1
"57",1,"female",20,"right","Matching","none",679,0.679,1
"58",1,"female",20,"right","Matching","none",459,0.459,1
"59",1,"female",20,"right","Matching","none",486,0.486,1
"60",1,"female",20,"right","Matching","none",482,0.482,1
"61",1,"female",20,"right","Matching","none",612,0.612,1
"62",1,"female",20,"right","Matching","none",483,0.483,1
"63",1,"female",20,"right","Matching","none",512,0.512,1
"64",1,"female",20,"right","Matching","none",463,0.463,1
"65",1,"female",20,"right","Matching","none",461,0.461,1
"66",1,"female",20,"right","Matching","none",492,0.492,1
"67",1,"female",20,"right","Matching","none",455,0.455,1
"68",1,"female",20,"right","Matching","none",400,0.4,0
"69",1,"female",20,"right","Matching","none",442,0.442,1
"70",1,"female",20,"right","Matching","none",408,0.408,1
"71",1,"female",20,"right","Matching","none",515,0.515,1
"72",1,"female",20,"right","Matching","none",403,0.403,1
"73",1,"female",20,"right","Nonmatching","Bekannter",1358,1.358,1
"74",1,"female",20,"right","Nonmatching","Bekannter",751,0.751,1
"75",1,"female",20,"right","Nonmatching","Bekannter",534,0.534,1
"76",1,"female",20,"right","Nonmatching","Bekannter",630,0.63,1
"77",1,"female",20,"right","Nonmatching","Bekannter",518,0.518,1
"78",1,"female",20,"right","Nonmatching","Bekannter",533,0.533,1
"79",1,"female",20,"right","Nonmatching","Bekannter",554,0.554,1
"80",1,"female",20,"right","Nonmatching","Bekannter",528,0.528,1
"81",1,"female",20,"right","Nonmatching","Bekannter",599,0.599,1
"82",1,"female",20,"right","Nonmatching","Bekannter",575,0.575,1
"83",1,"female",20,"right","Nonmatching","Bekannter",515,0.515,1
"84",1,"female",20,"right","Nonmatching","Bekannter",433,0.433,1
"85",1,"female",20,"right","Nonmatching","Bekannter",418,0.418,1
"86",1,"female",20,"right","Nonmatching","Bekannter",484,0.484,1
"87",1,"female",20,"right","Nonmatching","Bekannter",444,0.444,0
"88",1,"female",20,"right","Nonmatching","Bekannter",449,0.449,1
"89",1,"female",20,"right","Nonmatching","Bekannter",416,0.416,1
"90",1,"female",20,"right","Nonmatching","Bekannter",416,0.416,1
"91",1,"female",20,"right","Nonmatching","Ich",660,0.66,1
"92",1,"female",20,"right","Nonmatching","Ich",742,0.742,1
"93",1,"female",20,"right","Nonmatching","Ich",603,0.603,1
"94",1,"female",20,"right","Nonmatching","Ich",626,0.626,1
"95",1,"female",20,"right","Nonmatching","Ich",462,0.462,1
"96",1,"female",20,"right","Nonmatching","Ich",617,0.617,1
"97",1,"female",20,"right","Nonmatching","Ich",434,0.434,1
"98",1,"female",20,"right","Nonmatching","Ich",556,0.556,1
"99",1,"female",20,"right","Nonmatching","Ich",494,0.494,1
"100",1,"female",20,"right","Nonmatching","Ich",491,0.491,1
"101",1,"female",20,"right","Nonmatching","Ich",493,0.493,1
"102",1,"female",20,"right","Nonmatching","Ich",496,0.496,1
"103",1,"female",20,"right","Nonmatching","Ich",458,0.458,1
"104",1,"female",20,"right","Nonmatching","Ich",542,0.542,1
"105",1,"female",20,"right","Nonmatching","Ich",499,0.499,1
"106",1,"female",20,"right","Nonmatching","Ich",498,0.498,1
"107",1,"female",20,"right","Nonmatching","Ich",486,0.486,1
"108",1,"female",20,"right","Nonmatching","Ich",458,0.458,1
"109",1,"female",20,"right","Nonmatching","Mutter",1282,1.282,1
"110",1,"female",20,"right","Nonmatching","Mutter",797,0.797,0
"111",1,"female",20,"right","Nonmatching","Mutter",504,0.504,1
"112",1,"female",20,"right","Nonmatching","Mutter",695,0.695,1
