"","Subject","Gender","Age","Handedness","Matching","Identity","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","VisualAngle","Color","Contrast"
"1",1,"female",19,"right","comp","Bekannter",457,0.457,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"2",1,"female",19,"right","comp","Bekannter",525,0.525,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"3",1,"female",19,"right","comp","Bekannter",375,0.375,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"4",1,"female",19,"right","comp","Bekannter",715,0.715,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"5",1,"female",19,"right","comp","Bekannter",304,0.304,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"6",1,"female",19,"right","comp","Bekannter",265,0.265,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"7",1,"female",19,"right","comp","Bekannter",275,0.275,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"8",1,"female",19,"right","comp","Bekannter",458,0.458,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"9",1,"female",19,"right","comp","Bekannter",363,0.363,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"10",1,"female",19,"right","comp","Bekannter",358,0.358,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"11",1,"female",19,"right","comp","Bekannter",313,0.313,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"12",1,"female",19,"right","comp","Bekannter",323,0.323,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"13",1,"female",19,"right","comp","Bekannter",356,0.356,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"14",1,"female",19,"right","comp","Bekannter",238,0.238,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"15",1,"female",19,"right","comp","Bekannter",299,0.299,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"16",1,"female",19,"right","comp","Bekannter",237,0.237,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"17",1,"female",19,"right","comp","Bekannter",354,0.354,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"18",1,"female",19,"right","comp","Bekannter",263,0.263,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"19",1,"female",19,"right","comp","Bekannter",354,0.354,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"20",1,"female",19,"right","comp","Bekannter",295,0.295,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"21",1,"female",19,"right","comp","Bekannter",234,0.234,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"22",1,"female",19,"right","comp","Bekannter",273,0.273,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"23",1,"female",19,"right","comp","Bekannter",329,0.329,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"24",1,"female",19,"right","comp","Bekannter",251,0.251,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"25",1,"female",19,"right","comp","Ich",397,0.397,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"26",1,"female",19,"right","comp","Ich",338,0.338,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"27",1,"female",19,"right","comp","Ich",407,0.407,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"28",1,"female",19,"right","comp","Ich",366,0.366,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"29",1,"female",19,"right","comp","Ich",322,0.322,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"30",1,"female",19,"right","comp","Ich",365,0.365,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"31",1,"female",19,"right","comp","Ich",338,0.338,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"32",1,"female",19,"right","comp","Ich",308,0.308,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"33",1,"female",19,"right","comp","Ich",246,0.246,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"34",1,"female",19,"right","comp","Ich",356,0.356,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"35",1,"female",19,"right","comp","Ich",284,0.284,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"36",1,"female",19,"right","comp","Ich",215,0.215,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"37",1,"female",19,"right","comp","Ich",222,0.222,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"38",1,"female",19,"right","comp","Ich",273,0.273,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"39",1,"female",19,"right","comp","Ich",219,0.219,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"40",1,"female",19,"right","comp","Ich",301,0.301,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"41",1,"female",19,"right","comp","Ich",315,0.315,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"42",1,"female",19,"right","comp","Ich",288,0.288,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"43",1,"female",19,"right","comp","Ich",260,0.26,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"44",1,"female",19,"right","comp","Ich",241,0.241,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"45",1,"female",19,"right","comp","Ich",207,0.207,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"46",1,"female",19,"right","comp","Ich",248,0.248,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"47",1,"female",19,"right","comp","Ich",638,0.638,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"48",1,"female",19,"right","comp","Ich",212,0.212,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"49",1,"female",19,"right","comp","Mutter",540,0.54,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"50",1,"female",19,"right","comp","Mutter",495,0.495,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"51",1,"female",19,"right","comp","Mutter",368,0.368,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"52",1,"female",19,"right","comp","Mutter",393,0.393,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"53",1,"female",19,"right","comp","Mutter",311,0.311,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"54",1,"female",19,"right","comp","Mutter",335,0.335,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"55",1,"female",19,"right","comp","Mutter",358,0.358,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"56",1,"female",19,"right","comp","Mutter",224,0.224,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"57",1,"female",19,"right","comp","Mutter",261,0.261,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"58",1,"female",19,"right","comp","Mutter",302,0.302,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"59",1,"female",19,"right","comp","Mutter",320,0.32,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"60",1,"female",19,"right","comp","Mutter",401,0.401,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"61",1,"female",19,"right","comp","Mutter",401,0.401,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"62",1,"female",19,"right","comp","Mutter",471,0.471,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"63",1,"female",19,"right","comp","Mutter",376,0.376,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"64",1,"female",19,"right","comp","Mutter",305,0.305,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"65",1,"female",19,"right","comp","Mutter",316,0.316,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"66",1,"female",19,"right","comp","Mutter",277,0.277,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"67",1,"female",19,"right","comp","Mutter",282,0.282,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"68",1,"female",19,"right","comp","Mutter",217,0.217,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"69",1,"female",19,"right","comp","Mutter",251,0.251,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"70",1,"female",19,"right","comp","Mutter",326,0.326,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"71",1,"female",19,"right","comp","Mutter",249,0.249,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"72",1,"female",19,"right","comp","Mutter",268,0.268,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"73",1,"female",19,"right","incomp","Bekannter",608,0.608,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"74",1,"female",19,"right","incomp","Bekannter",534,0.534,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"75",1,"female",19,"right","incomp","Bekannter",454,0.454,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"76",1,"female",19,"right","incomp","Bekannter",509,0.509,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"77",1,"female",19,"right","incomp","Bekannter",333,0.333,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"78",1,"female",19,"right","incomp","Bekannter",459,0.459,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"79",1,"female",19,"right","incomp","Bekannter",386,0.386,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"80",1,"female",19,"right","incomp","Bekannter",316,0.316,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"81",1,"female",19,"right","incomp","Bekannter",532,0.532,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"82",1,"female",19,"right","incomp","Bekannter",428,0.428,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"83",1,"female",19,"right","incomp","Bekannter",443,0.443,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"84",1,"female",19,"right","incomp","Bekannter",361,0.361,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"85",1,"female",19,"right","incomp","Bekannter",426,0.426,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"86",1,"female",19,"right","incomp","Bekannter",678,0.678,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"87",1,"female",19,"right","incomp","Bekannter",293,0.293,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"88",1,"female",19,"right","incomp","Bekannter",408,0.408,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"89",1,"female",19,"right","incomp","Bekannter",464,0.464,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"90",1,"female",19,"right","incomp","Bekannter",432,0.432,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"91",1,"female",19,"right","incomp","Bekannter",381,0.381,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"92",1,"female",19,"right","incomp","Bekannter",558,0.558,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"93",1,"female",19,"right","incomp","Bekannter",449,0.449,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"94",1,"female",19,"right","incomp","Bekannter",433,0.433,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"95",1,"female",19,"right","incomp","Bekannter",340,0.34,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"96",1,"female",19,"right","incomp","Bekannter",264,0.264,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"97",1,"female",19,"right","incomp","Ich",869,0.869,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"98",1,"female",19,"right","incomp","Ich",524,0.524,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"99",1,"female",19,"right","incomp","Ich",464,0.464,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"100",1,"female",19,"right","incomp","Ich",431,0.431,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"101",1,"female",19,"right","incomp","Ich",502,0.502,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"102",1,"female",19,"right","incomp","Ich",433,0.433,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"103",1,"female",19,"right","incomp","Ich",490,0.49,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"104",1,"female",19,"right","incomp","Ich",463,0.463,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"105",1,"female",19,"right","incomp","Ich",471,0.471,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"106",1,"female",19,"right","incomp","Ich",507,0.507,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"107",1,"female",19,"right","incomp","Ich",385,0.385,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"108",1,"female",19,"right","incomp","Ich",401,0.401,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"109",1,"female",19,"right","incomp","Ich",359,0.359,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"110",1,"female",19,"right","incomp","Ich",304,0.304,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"111",1,"female",19,"right","incomp","Ich",400,0.4,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"112",1,"female",19,"right","incomp","Ich",439,0.439,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"113",1,"female",19,"right","incomp","Ich",358,0.358,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
