"Subject","Age","Gender","Group","Session","Matching","Shape","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
2801,20,"female","Group2","1","Nonmatching","Self","You","Self","Self","Self","Self",523,0.523,1
2801,20,"female","Group2","1","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",456,0.456,0
2801,20,"female","Group2","1","Matching","Friend","Friend","Close","Friend","Friend","Close",692,0.692,1
2801,20,"female","Group2","1","Nonmatching","Self","You","Self","Self","Self","Self",497,0.497,1
2801,20,"female","Group2","1","Nonmatching","Stranger","You","Self","Stranger","Stranger","Stranger",415,0.415,0
2801,20,"female","Group2","1","Nonmatching","Self","Stranger","Stranger","Self","Self","Self",933,0.933,1
2801,20,"female","Group2","1","Nonmatching","Stranger","Friend","Close","Stranger","Stranger","Stranger",715,0.715,0
2801,20,"female","Group2","1","Nonmatching","Friend","You","Self","Friend","Friend","Close",961,0.961,1
2801,20,"female","Group2","1","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",927,0.927,0
2801,20,"female","Group2","1","Matching","Friend","Friend","Close","Friend","Friend","Close",1124,1.124,1
2801,20,"female","Group2","1","Nonmatching","Self","Friend","Close","Self","Self","Self",1010,1.01,1
2801,20,"female","Group2","1","Nonmatching","Friend","Stranger","Stranger","Friend","Friend","Close",1112,1.112,1
2801,20,"female","Group2","1","Nonmatching","Self","You","Self","Self","Self","Self",902,0.902,1
2801,20,"female","Group2","1","Matching","Friend","Friend","Close","Friend","Friend","Close",716,0.716,0
2801,20,"female","Group2","1","Nonmatching","Self","Stranger","Stranger","Self","Self","Self",1107,1.107,1
2801,20,"female","Group2","1","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",809,0.809,1
2801,20,"female","Group2","1","Nonmatching","Stranger","Friend","Close","Stranger","Stranger","Stranger",1007,1.007,1
2801,20,"female","Group2","1","Nonmatching","Friend","You","Self","Friend","Friend","Close",1037,1.037,1
2801,20,"female","Group2","1","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",955,0.955,1
2801,20,"female","Group2","1","Matching","Friend","Friend","Close","Friend","Friend","Close",1121,1.121,0
2801,20,"female","Group2","1","Nonmatching","Self","Friend","Close","Self","Self","Self",1079,1.079,0
2801,20,"female","Group2","1","Nonmatching","Self","You","Self","Self","Self","Self",0,0,0
2801,20,"female","Group2","1","Nonmatching","Stranger","You","Self","Stranger","Stranger","Stranger",832,0.832,1
2801,20,"female","Group2","1","Nonmatching","Friend","Stranger","Stranger","Friend","Friend","Close",0,0,0
