"Subject","Age","Gender","Handedness","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Session","RT_ms","RT_sec","ACC"
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",623,0.623,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",671,0.671,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",722,0.722,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",673,0.673,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",574,0.574,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",718,0.718,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",526,0.526,0
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",416,0.416,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",464,0.464,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",642,0.642,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",626,0.626,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",544,0.544,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",599,0.599,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",754,0.754,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",778,0.778,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",580,0.58,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",544,0.544,0
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",803,0.803,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",748,0.748,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",677,0.677,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",876,0.876,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",643,0.643,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",558,0.558,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",707,0.707,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",842,0.842,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",626,0.626,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",521,0.521,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",672,0.672,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",642,0.642,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",778,0.778,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",469,0.469,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",678,0.678,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",457,0.457,0
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",828,0.828,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",475,0.475,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",651,0.651,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",904,0.904,0
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",732,0.732,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",681,0.681,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",730,0.73,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",885,0.885,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",616,0.616,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",534,0.534,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",652,0.652,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",835,0.835,0
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",552,0.552,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",602,0.602,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",635,0.635,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",690,0.69,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",794,0.794,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",778,0.778,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",634,0.634,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",598,0.598,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",819,0.819,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",652,0.652,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",586,0.586,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",816,0.816,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",562,0.562,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",602,0.602,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",627,0.627,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",601,0.601,0
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",829,0.829,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",722,0.722,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",755,0.755,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",570,0.57,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",468,0.468,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",470,0.47,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",797,0.797,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",797,0.797,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",618,0.618,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",628,0.628,1
