"Subject","Stim","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
1,1,"Matching","Self","Self","Self",1,858,0.858,1
1,1,"Matching","Friend","Friend","Close",1,1043,1.043,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,931,0.931,1
1,1,"Matching","Stranger","Stranger","Stranger",1,918,0.918,1
1,0,"Nonmatching","Friend","Friend","Close",0,701,0.701,1
1,0,"Nonmatching","Self","Self","Self",0,875,0.875,1
1,0,"Nonmatching","Friend","Friend","Close",0,957,0.957,1
1,0,"Nonmatching","Self","Self","Self",0,898,0.898,1
1,1,"Matching","Self","Self","Self",1,746,0.746,1
1,0,"Nonmatching","Friend","Friend","Close",0,731,0.731,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,783,0.783,1
1,0,"Nonmatching","Self","Self","Self",0,944,0.944,1
1,1,"Matching","Self","Self","Self",1,770,0.77,1
1,1,"Matching","Friend","Friend","Close",1,736,0.736,1
1,0,"Nonmatching","Friend","Friend","Close",0,902,0.902,1
1,0,"Nonmatching","Self","Self","Self",0,822,0.822,1
1,1,"Matching","Friend","Friend","Close",0,1009,1.009,0
1,1,"Matching","Stranger","Stranger","Stranger",1,1037,1.037,1
1,1,"Matching","Self","Self","Self",1,867,0.867,1
1,0,"Nonmatching","Friend","Friend","Close",1,867,0.867,0
1,1,"Matching","Friend","Friend","Close",0,998,0.998,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,1038,1.038,1
1,1,"Matching","Self","Self","Self",1,794,0.794,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,1069,1.069,1
1,1,"Matching","Friend","Friend","Close",1,1091,1.091,1
1,1,"Matching","Self","Self","Self",1,1026,1.026,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,745,0.745,1
1,1,"Matching","Friend","Friend","Close",1,839,0.839,1
1,1,"Matching","Stranger","Stranger","Stranger",1,846,0.846,1
1,0,"Nonmatching","Friend","Friend","Close",0,725,0.725,1
1,0,"Nonmatching","Self","Self","Self",0,992,0.992,1
1,0,"Nonmatching","Friend","Friend","Close",0,552,0.552,1
1,0,"Nonmatching","Self","Self","Self",0,964,0.964,1
1,1,"Matching","Friend","Friend","Close",1,889,0.889,1
1,1,"Matching","Self","Self","Self",1,919,0.919,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,766,0.766,1
1,1,"Matching","Self","Self","Self",1,1020,1.02,1
1,1,"Matching","Stranger","Stranger","Stranger",0,636,0.636,0
1,1,"Matching","Stranger","Stranger","Stranger",0,895,0.895,0
1,0,"Nonmatching","Friend","Friend","Close",0,762,0.762,1
1,1,"Matching","Friend","Friend","Close",1,738,0.738,1
1,0,"Nonmatching","Self","Self","Self",0,898,0.898,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,974,0.974,1
1,1,"Matching","Stranger","Stranger","Stranger",1,958,0.958,1
1,0,"Nonmatching","Friend","Friend","Close",0,742,0.742,1
1,0,"Nonmatching","Self","Self","Self",0,855,0.855,1
1,0,"Nonmatching","Friend","Friend","Close",0,931,0.931,1
1,1,"Matching","Friend","Friend","Close",1,1050,1.05,1
1,0,"Nonmatching","Self","Self","Self",0,714,0.714,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,879,0.879,1
1,1,"Matching","Friend","Friend","Close",1,712,0.712,1
1,1,"Matching","Self","Self","Self",0,636,0.636,0
