"","Subject","Word","Shape","Matching","Identity","RT_ms","RT_sec","ACC"
"1",1,"YOU","Self","Matching","Self",516,0.516,1
"2",1,"YOU","Self","Matching","Self",725,0.725,1
"3",1,"YOU","Self","Matching","Self",523,0.523,0
"4",1,"YOU","Self","Matching","Self",759,0.759,1
"5",1,"YOU","Self","Matching","Self",841,0.841,1
"6",1,"YOU","Self","Matching","Self",569,0.569,1
"7",1,"YOU","Self","Matching","Self",652,0.652,0
"8",1,"YOU","Self","Matching","Self",659,0.659,1
"9",1,"YOU","Self","Matching","Self",514,0.514,1
"10",1,"YOU","Self","Matching","Self",582,0.582,1
"11",1,"YOU","Self","Matching","Self",771,0.771,1
"12",1,"YOU","Self","Matching","Self",821,0.821,0
"13",1,"YOU","Self","Matching","Self",330,0.33,0
"14",1,"YOU","Self","Matching","Self",500,0.5,1
"15",1,"YOU","Self","Matching","Self",829,0.829,1
"16",1,"YOU","Self","Matching","Self",630,0.63,1
"17",1,"YOU","Self","Matching","Self",696,0.696,1
"18",1,"YOU","Self","Matching","Self",555,0.555,1
"19",1,"YOU","Self","Matching","Self",659,0.659,1
"20",1,"YOU","Self","Matching","Self",677,0.677,1
"21",1,"YOU","Self","Matching","Self",797,0.797,1
"22",1,"YOU","Self","Matching","Self",666,0.666,1
"23",1,"YOU","Self","Matching","Self",622,0.622,0
"24",1,"YOU","Self","Matching","Self",580,0.58,1
"25",1,"YOU","Self","Matching","Self",650,0.65,1
"26",1,"YOU","Self","Matching","Self",596,0.596,0
"27",1,"YOU","Self","Matching","Self",547,0.547,1
"28",1,"YOU","Self","Matching","Self",688,0.688,0
"29",1,"YOU","Self","Matching","Self",785,0.785,1
"30",1,"YOU","Self","Matching","Self",909,0.909,0
"31",1,"YOU","Self","Matching","Self",837,0.837,1
"32",1,"YOU","Self","Matching","Self",694,0.694,0
"33",1,"YOU","Self","Matching","Self",727,0.727,1
"34",1,"YOU","Self","Matching","Self",519,0.519,1
"35",1,"YOU","Self","Matching","Self",477,0.477,1
"36",1,"YOU","Self","Matching","Self",669,0.669,1
"37",1,"YOU","Self","Matching","Self",826,0.826,1
"38",1,"YOU","Self","Matching","Self",618,0.618,1
"39",1,"YOU","Self","Matching","Self",664,0.664,0
"40",1,"YOU","Self","Matching","Self",629,0.629,1
"41",1,"YOU","Self","Matching","Self",988,0.988,1
"42",1,"YOU","Self","Matching","Self",866,0.866,0
"43",1,"YOU","Self","Matching","Self",614,0.614,1
"44",1,"YOU","Self","Matching","Self",654,0.654,1
"45",1,"YOU","Self","Matching","Self",625,0.625,1
"46",1,"YOU","Self","Matching","Self",809,0.809,1
"47",1,"YOU","Self","Matching","Self",831,0.831,1
"48",1,"FRIEND","Friend","Matching","Friend",391,0.391,0
"49",1,"FRIEND","Friend","Matching","Friend",627,0.627,1
"50",1,"FRIEND","Friend","Matching","Friend",648,0.648,1
"51",1,"FRIEND","Friend","Matching","Friend",802,0.802,1
"52",1,"FRIEND","Friend","Matching","Friend",436,0.436,1
"53",1,"FRIEND","Friend","Matching","Friend",573,0.573,1
"54",1,"FRIEND","Friend","Matching","Friend",994,0.994,1
"55",1,"FRIEND","Friend","Matching","Friend",594,0.594,1
"56",1,"FRIEND","Friend","Matching","Friend",507,0.507,1
"57",1,"FRIEND","Friend","Matching","Friend",790,0.79,1
"58",1,"FRIEND","Friend","Matching","Friend",586,0.586,1
"59",1,"FRIEND","Friend","Matching","Friend",777,0.777,1
"60",1,"FRIEND","Friend","Matching","Friend",970,0.97,1
"61",1,"FRIEND","Friend","Matching","Friend",1053,1.053,1
"62",1,"FRIEND","Friend","Matching","Friend",549,0.549,1
"63",1,"FRIEND","Friend","Matching","Friend",749,0.749,1
"64",1,"FRIEND","Friend","Matching","Friend",699,0.699,1
"65",1,"FRIEND","Friend","Matching","Friend",605,0.605,0
"66",1,"FRIEND","Friend","Matching","Friend",807,0.807,1
"67",1,"FRIEND","Friend","Matching","Friend",762,0.762,1
"68",1,"FRIEND","Friend","Matching","Friend",622,0.622,1
"69",1,"FRIEND","Friend","Matching","Friend",681,0.681,1
"70",1,"FRIEND","Friend","Matching","Friend",530,0.53,1
"71",1,"FRIEND","Friend","Matching","Friend",677,0.677,1
"72",1,"FRIEND","Friend","Matching","Friend",1090,1.09,1
"73",1,"FRIEND","Friend","Matching","Friend",577,0.577,0
"74",1,"FRIEND","Friend","Matching","Friend",745,0.745,1
"75",1,"FRIEND","Friend","Matching","Friend",847,0.847,1
"76",1,"FRIEND","Friend","Matching","Friend",748,0.748,0
"77",1,"FRIEND","Friend","Matching","Friend",755,0.755,1
"78",1,"FRIEND","Friend","Matching","Friend",691,0.691,1
"79",1,"FRIEND","Friend","Matching","Friend",653,0.653,0
"80",1,"FRIEND","Friend","Matching","Friend",809,0.809,0
"81",1,"FRIEND","Friend","Matching","Friend",515,0.515,0
"82",1,"FRIEND","Friend","Matching","Friend",462,0.462,0
"83",1,"FRIEND","Friend","Matching","Friend",877,0.877,1
"84",1,"FRIEND","Friend","Matching","Friend",599,0.599,1
"85",1,"FRIEND","Friend","Matching","Friend",743,0.743,0
"86",1,"FRIEND","Friend","Matching","Friend",756,0.756,0
"87",1,"FRIEND","Friend","Matching","Friend",643,0.643,1
"88",1,"FRIEND","Friend","Matching","Friend",730,0.73,1
"89",1,"FRIEND","Friend","Matching","Friend",629,0.629,0
"90",1,"FRIEND","Friend","Matching","Friend",892,0.892,1
"91",1,"FRIEND","Friend","Matching","Friend",750,0.75,1
"92",1,"FRIEND","Friend","Matching","Friend",765,0.765,1
"93",1,"FRIEND","Self","Nonmatching","Self",815,0.815,1
"94",1,"FRIEND","Self","Nonmatching","Self",497,0.497,0
"95",1,"FRIEND","Self","Nonmatching","Self",506,0.506,1
"96",1,"FRIEND","Self","Nonmatching","Self",785,0.785,1
"97",1,"FRIEND","Self","Nonmatching","Self",520,0.52,1
"98",1,"FRIEND","Self","Nonmatching","Self",491,0.491,1
"99",1,"FRIEND","Self","Nonmatching","Self",913,0.913,1
"100",1,"FRIEND","Self","Nonmatching","Self",647,0.647,1
"101",1,"FRIEND","Self","Nonmatching","Self",700,0.7,0
"102",1,"FRIEND","Self","Nonmatching","Self",595,0.595,1
"103",1,"FRIEND","Self","Nonmatching","Self",596,0.596,1
"104",1,"FRIEND","Self","Nonmatching","Self",633,0.633,1
"105",1,"FRIEND","Self","Nonmatching","Self",725,0.725,1
"106",1,"FRIEND","Self","Nonmatching","Self",275,0.275,1
"107",1,"FRIEND","Self","Nonmatching","Self",942,0.942,1
"108",1,"FRIEND","Self","Nonmatching","Self",693,0.693,1
"109",1,"FRIEND","Self","Nonmatching","Self",952,0.952,0
