"","Subject","Label","Matching","Origin_Identity","English_Identity","Standardized_Idnetity","RT_ms","RT_sec","ACC"
"1",1,"Self","Matching","Friend","Friend","Close",908,0.908,1
"2",1,"Self","Matching","Friend","Friend","Close",810,0.81,1
"3",1,"Self","Matching","Friend","Friend","Close",1063,1.063,1
"4",1,"Self","Matching","Friend","Friend","Close",816,0.816,1
"5",1,"Self","Matching","Friend","Friend","Close",663,0.663,0
"6",1,"Self","Matching","Friend","Friend","Close",796,0.796,0
"7",1,"Self","Matching","Friend","Friend","Close",719,0.719,1
"8",1,"Self","Matching","Friend","Friend","Close",901,0.901,1
"9",1,"Self","Matching","Friend","Friend","Close",621,0.621,0
"10",1,"Self","Matching","Friend","Friend","Close",649,0.649,0
"11",1,"Self","Matching","Friend","Friend","Close",846,0.846,1
"12",1,"Self","Matching","Friend","Friend","Close",792,0.792,1
"13",1,"Self","Matching","Friend","Friend","Close",962,0.962,1
"14",1,"Self","Matching","Friend","Friend","Close",832,0.832,0
"15",1,"Self","Matching","Friend","Friend","Close",543,0.543,1
"16",1,"Self","Matching","Friend","Friend","Close",884,0.884,1
"17",1,"Self","Matching","Friend","Friend","Close",785,0.785,1
"18",1,"Self","Matching","Friend","Friend","Close",504,0.504,1
"19",1,"Self","Matching","Friend","Friend","Close",554,0.554,1
"20",1,"Self","Matching","Friend","Friend","Close",496,0.496,1
"21",1,"Self","Matching","Friend","Friend","Close",867,0.867,1
"22",1,"Self","Matching","Friend","Friend","Close",732,0.732,1
"23",1,"Self","Matching","Friend","Friend","Close",614,0.614,1
"24",1,"Friend","Matching","Friend","Friend","Close",759,0.759,1
"25",1,"Friend","Matching","Friend","Friend","Close",770,0.77,1
"26",1,"Friend","Matching","Friend","Friend","Close",625,0.625,1
"27",1,"Friend","Matching","Friend","Friend","Close",591,0.591,1
"28",1,"Friend","Matching","Friend","Friend","Close",616,0.616,1
"29",1,"Friend","Matching","Friend","Friend","Close",637,0.637,1
"30",1,"Friend","Matching","Friend","Friend","Close",531,0.531,1
"31",1,"Friend","Matching","Friend","Friend","Close",510,0.51,1
"32",1,"Friend","Matching","Friend","Friend","Close",781,0.781,1
"33",1,"Friend","Matching","Friend","Friend","Close",738,0.738,1
"34",1,"Friend","Matching","Friend","Friend","Close",602,0.602,1
"35",1,"Friend","Matching","Friend","Friend","Close",472,0.472,1
"36",1,"Friend","Matching","Friend","Friend","Close",469,0.469,1
"37",1,"Friend","Matching","Friend","Friend","Close",478,0.478,1
"38",1,"Friend","Matching","Friend","Friend","Close",776,0.776,1
"39",1,"Friend","Matching","Friend","Friend","Close",526,0.526,1
"40",1,"Friend","Matching","Friend","Friend","Close",712,0.712,1
"41",1,"Friend","Matching","Friend","Friend","Close",640,0.64,1
"42",1,"Friend","Matching","Friend","Friend","Close",771,0.771,0
"43",1,"Friend","Matching","Friend","Friend","Close",429,0.429,1
"44",1,"Friend","Matching","Friend","Friend","Close",640,0.64,1
"45",1,"Friend","Matching","Friend","Friend","Close",693,0.693,1
"46",1,"Friend","Matching","Friend","Friend","Close",652,0.652,1
"47",1,"Friend","Matching","Friend","Friend","Close",689,0.689,1
"48",1,"Friend","Matching","Friend","Friend","Close",746,0.746,0
"49",1,"Friend","Matching","Friend","Friend","Close",519,0.519,1
"50",1,"Friend","Matching","Friend","Friend","Close",484,0.484,1
"51",1,"Friend","Matching","Friend","Friend","Close",463,0.463,1
"52",1,"Friend","Matching","Friend","Friend","Close",506,0.506,1
"53",1,"Friend","Matching","Friend","Friend","Close",643,0.643,1
"54",1,"Friend","Matching","Friend","Friend","Close",729,0.729,1
"55",1,"Friend","Matching","Friend","Friend","Close",711,0.711,1
"56",1,"Friend","Matching","Friend","Friend","Close",533,0.533,1
"57",1,"Friend","Matching","Friend","Friend","Close",769,0.769,0
"58",1,"Friend","Matching","Friend","Friend","Close",777,0.777,1
"59",1,"Friend","Matching","Friend","Friend","Close",530,0.53,1
"60",1,"Friend","Matching","Friend","Friend","Close",742,0.742,1
"61",1,"Friend","Matching","Friend","Friend","Close",510,0.51,1
"62",1,"Friend","Matching","Friend","Friend","Close",508,0.508,1
"63",1,"Friend","Matching","Friend","Friend","Close",772,0.772,1
"64",1,"Friend","Matching","Friend","Friend","Close",514,0.514,0
"65",1,"Friend","Matching","Friend","Friend","Close",892,0.892,1
"66",1,"Friend","Matching","Friend","Friend","Close",527,0.527,1
"67",1,"Friend","Matching","Friend","Friend","Close",750,0.75,1
"68",1,"Friend","Matching","Friend","Friend","Close",654,0.654,1
"69",1,"Friend","Matching","Friend","Friend","Close",546,0.546,1
"70",1,"Friend","Matching","Friend","Friend","Close",275,0.275,0
"71",1,"Friend","Matching","Friend","Friend","Close",380,0.38,1
"72",1,"Friend","Matching","Friend","Friend","Close",423,0.423,1
"73",1,"Friend","Matching","Friend","Friend","Close",586,0.586,1
"74",1,"Friend","Matching","Friend","Friend","Close",420,0.42,1
"75",1,"Friend","Matching","Friend","Friend","Close",451,0.451,1
"76",1,"Friend","Matching","Friend","Friend","Close",606,0.606,1
"77",1,"Friend","Matching","Friend","Friend","Close",555,0.555,1
"78",1,"Friend","Matching","Friend","Friend","Close",651,0.651,1
"79",1,"Friend","Matching","Friend","Friend","Close",698,0.698,1
"80",1,"Friend","Matching","Friend","Friend","Close",559,0.559,1
"81",1,"Friend","Matching","Friend","Friend","Close",424,0.424,1
"82",1,"Friend","Matching","Friend","Friend","Close",489,0.489,1
"83",1,"Friend","Matching","Friend","Friend","Close",614,0.614,0
"84",1,"Friend","Matching","Friend","Friend","Close",583,0.583,1
"85",1,"Friend","Matching","Friend","Friend","Close",518,0.518,1
"86",1,"Friend","Matching","Friend","Friend","Close",680,0.68,1
"87",1,"Friend","Matching","Friend","Friend","Close",474,0.474,1
"88",1,"Friend","Matching","Friend","Friend","Close",357,0.357,1
"89",1,"Friend","Matching","Friend","Friend","Close",915,0.915,1
"90",1,"Friend","Matching","Friend","Friend","Close",647,0.647,1
"91",1,"Friend","Matching","Friend","Friend","Close",571,0.571,1
"92",1,"Friend","Matching","Friend","Friend","Close",494,0.494,1
"93",1,"Friend","Matching","Friend","Friend","Close",748,0.748,1
"94",1,"Friend","Matching","Friend","Friend","Close",595,0.595,0
"95",1,"Self","Matching","Self","Self","Self",729,0.729,1
"96",1,"Self","Matching","Self","Self","Self",563,0.563,1
"97",1,"Self","Matching","Self","Self","Self",590,0.59,1
"98",1,"Self","Matching","Self","Self","Self",480,0.48,1
"99",1,"Self","Matching","Self","Self","Self",670,0.67,1
"100",1,"Self","Matching","Self","Self","Self",794,0.794,1
"101",1,"Self","Matching","Self","Self","Self",600,0.6,1
"102",1,"Self","Matching","Self","Self","Self",524,0.524,1
"103",1,"Self","Matching","Self","Self","Self",616,0.616,1
"104",1,"Self","Matching","Self","Self","Self",683,0.683,1
"105",1,"Self","Matching","Self","Self","Self",616,0.616,1
"106",1,"Self","Matching","Self","Self","Self",688,0.688,1
"107",1,"Self","Matching","Self","Self","Self",640,0.64,1
"108",1,"Self","Matching","Self","Self","Self",541,0.541,1
"109",1,"Self","Matching","Self","Self","Self",640,0.64,1
"110",1,"Self","Matching","Self","Self","Self",523,0.523,1
"111",1,"Self","Matching","Self","Self","Self",661,0.661,1
"112",1,"Self","Matching","Self","Self","Self",521,0.521,1
"113",1,"Self","Matching","Self","Self","Self",592,0.592,1
"114",1,"Self","Matching","Self","Self","Self",633,0.633,1
"115",1,"Self","Matching","Self","Self","Self",536,0.536,1
"116",1,"Self","Matching","Self","Self","Self",1078,1.078,0
"117",1,"Self","Matching","Self","Self","Self",611,0.611,1
"118",1,"Self","Matching","Self","Self","Self",601,0.601,1
"119",1,"Self","Matching","Self","Self","Self",599,0.599,1
"120",1,"Self","Matching","Self","Self","Self",571,0.571,1
"121",1,"Self","Matching","Self","Self","Self",524,0.524,1
"122",1,"Self","Matching","Self","Self","Self",674,0.674,1
"123",1,"Self","Matching","Self","Self","Self",763,0.763,1
"124",1,"Self","Matching","Self","Self","Self",614,0.614,1
"125",1,"Self","Matching","Self","Self","Self",666,0.666,1
"126",1,"Self","Matching","Self","Self","Self",678,0.678,1
"127",1,"Self","Matching","Self","Self","Self",353,0.353,1
"128",1,"Self","Matching","Self","Self","Self",669,0.669,1
"129",1,"Self","Matching","Self","Self","Self",682,0.682,1
"130",1,"Self","Matching","Self","Self","Self",636,0.636,1
"131",1,"Self","Matching","Self","Self","Self",666,0.666,1
"132",1,"Self","Matching","Self","Self","Self",950,0.95,1
"133",1,"Self","Matching","Self","Self","Self",618,0.618,1
"134",1,"Self","Matching","Self","Self","Self",645,0.645,1
"135",1,"Self","Matching","Self","Self","Self",568,0.568,1
"136",1,"Self","Matching","Self","Self","Self",506,0.506,1
"137",1,"Self","Matching","Self","Self","Self",416,0.416,1
"138",1,"Self","Matching","Self","Self","Self",606,0.606,1
"139",1,"Self","Matching","Self","Self","Self",540,0.54,1
"140",1,"Self","Matching","Self","Self","Self",518,0.518,1
"141",1,"Self","Matching","Self","Self","Self",801,0.801,1
"142",1,"Self","Matching","Self","Self","Self",706,0.706,1
"143",1,"Self","Matching","Self","Self","Self",821,0.821,1
"144",1,"Self","Matching","Self","Self","Self",654,0.654,1
"145",1,"Self","Matching","Self","Self","Self",647,0.647,1
"146",1,"Self","Matching","Self","Self","Self",555,0.555,1
"147",1,"Self","Matching","Self","Self","Self",863,0.863,1
"148",1,"Self","Matching","Self","Self","Self",606,0.606,1
"149",1,"Self","Matching","Self","Self","Self",697,0.697,1
"150",1,"Self","Matching","Self","Self","Self",1064,1.064,1
"151",1,"Self","Matching","Self","Self","Self",799,0.799,1
"152",1,"Self","Matching","Self","Self","Self",806,0.806,1
"153",1,"Self","Matching","Self","Self","Self",1085,1.085,1
"154",1,"Self","Matching","Self","Self","Self",803,0.803,1
"155",1,"Self","Matching","Self","Self","Self",736,0.736,1
"156",1,"Self","Matching","Self","Self","Self",1040,1.04,1
"157",1,"Self","Matching","Self","Self","Self",666,0.666,1
"158",1,"Self","Matching","Self","Self","Self",623,0.623,1
"159",1,"Self","Matching","Self","Self","Self",547,0.547,1
"160",1,"Self","Matching","Self","Self","Self",706,0.706,1
"161",1,"Self","Matching","Self","Self","Self",742,0.742,1
"162",1,"Self","Matching","Self","Self","Self",651,0.651,1
"163",1,"Self","Matching","Self","Self","Self",665,0.665,1
"164",1,"Self","Matching","Self","Self","Self",602,0.602,1
"165",1,"Self","Matching","Self","Self","Self",745,0.745,1
"166",1,"Self","Matching","Self","Self","Self",726,0.726,1
"167",1,"Self","Matching","Self","Self","Self",665,0.665,1
"168",1,"Friend","Matching","Self","Self","Self",588,0.588,1
"169",1,"Friend","Matching","Self","Self","Self",620,0.62,1
"170",1,"Friend","Matching","Self","Self","Self",780,0.78,1
"171",1,"Friend","Matching","Self","Self","Self",471,0.471,1
"172",1,"Friend","Matching","Self","Self","Self",387,0.387,1
"173",1,"Friend","Matching","Self","Self","Self",699,0.699,1
"174",1,"Friend","Matching","Self","Self","Self",812,0.812,1
"175",1,"Friend","Matching","Self","Self","Self",569,0.569,1
"176",1,"Friend","Matching","Self","Self","Self",919,0.919,1
"177",1,"Friend","Matching","Self","Self","Self",937,0.937,1
"178",1,"Friend","Matching","Self","Self","Self",743,0.743,1
"179",1,"Friend","Matching","Self","Self","Self",827,0.827,0
"180",1,"Friend","Matching","Self","Self","Self",646,0.646,1
"181",1,"Friend","Matching","Self","Self","Self",901,0.901,1
