"","Subject","Label","Shape","Matching","Origin_Identity","English_Identity","Standardized_Idnetity","RT_ms","RT_sec","ACC"
"1",1,"Friend","Friend","Matching","Friend","Friend","Close",312,0.312,0
"2",1,"Friend","Friend","Matching","Friend","Friend","Close",409,0.409,0
"3",1,"Friend","Friend","Matching","Friend","Friend","Close",330,0.33,0
"4",1,"Friend","Friend","Matching","Friend","Friend","Close",287,0.287,0
"5",1,"Friend","Friend","Matching","Friend","Friend","Close",496,0.496,0
"6",1,"Friend","Friend","Matching","Friend","Friend","Close",550,0.55,0
"7",1,"Friend","Friend","Matching","Friend","Friend","Close",289,0.289,0
"8",1,"Friend","Friend","Matching","Friend","Friend","Close",604,0.604,0
"9",1,"Friend","Friend","Matching","Friend","Friend","Close",804,0.804,0
"10",1,"Friend","Friend","Matching","Friend","Friend","Close",872,0.872,0
"11",1,"Friend","Friend","Matching","Friend","Friend","Close",521,0.521,0
"12",1,"Friend","Friend","Matching","Friend","Friend","Close",714,0.714,0
"13",1,"Friend","Friend","Matching","Friend","Friend","Close",612,0.612,0
"14",1,"Friend","Friend","Matching","Friend","Friend","Close",920,0.92,0
"15",1,"Friend","Friend","Matching","Friend","Friend","Close",796,0.796,0
"16",1,"Self","Friend","Matching","Friend","Friend","Close",719,0.719,0
"17",1,"Self","Friend","Matching","Friend","Friend","Close",566,0.566,0
"18",1,"Self","Friend","Matching","Friend","Friend","Close",929,0.929,0
"19",1,"Self","Friend","Matching","Friend","Friend","Close",262,0.262,0
"20",1,"Self","Friend","Matching","Friend","Friend","Close",806,0.806,0
"21",1,"Self","Friend","Matching","Friend","Friend","Close",897,0.897,0
"22",1,"Self","Friend","Matching","Friend","Friend","Close",668,0.668,0
"23",1,"Friend","Friend","Matching","Friend","Friend","Close",264,0.264,1
"24",1,"Friend","Friend","Matching","Friend","Friend","Close",598,0.598,1
"25",1,"Friend","Friend","Matching","Friend","Friend","Close",708,0.708,1
"26",1,"Friend","Friend","Matching","Friend","Friend","Close",506,0.506,1
"27",1,"Friend","Friend","Matching","Friend","Friend","Close",529,0.529,1
"28",1,"Friend","Friend","Matching","Friend","Friend","Close",1003,1.003,1
"29",1,"Friend","Friend","Matching","Friend","Friend","Close",521,0.521,1
"30",1,"Self","Friend","Matching","Friend","Friend","Close",851,0.851,1
"31",1,"Self","Friend","Matching","Friend","Friend","Close",976,0.976,1
"32",1,"Self","Friend","Matching","Friend","Friend","Close",305,0.305,1
"33",1,"Self","Friend","Matching","Friend","Friend","Close",1050,1.05,1
"34",1,"Self","Friend","Matching","Friend","Friend","Close",656,0.656,1
"35",1,"Self","Friend","Matching","Friend","Friend","Close",580,0.58,1
"36",1,"Self","Friend","Matching","Friend","Friend","Close",947,0.947,1
"37",1,"Self","Friend","Matching","Friend","Friend","Close",376,0.376,1
"38",1,"Self","Friend","Matching","Friend","Friend","Close",840,0.84,1
"39",1,"Self","Friend","Matching","Friend","Friend","Close",422,0.422,1
"40",1,"Self","Friend","Matching","Friend","Friend","Close",724,0.724,1
"41",1,"Self","Friend","Matching","Friend","Friend","Close",725,0.725,1
"42",1,"Self","Friend","Matching","Friend","Friend","Close",595,0.595,1
"43",1,"Self","Friend","Matching","Friend","Friend","Close",794,0.794,1
"44",1,"Self","Friend","Matching","Friend","Friend","Close",834,0.834,1
"45",1,"Self","Friend","Matching","Friend","Friend","Close",570,0.57,1
"46",1,"Self","Friend","Matching","Friend","Friend","Close",797,0.797,1
"47",1,"Self","Friend","Matching","Friend","Friend","Close",797,0.797,1
