"","Subject","Age","Handedness","Gender","Response","Symmetry","Matching","Identity","RT_ms","RT_sec","ACC"
"1",1,22,"right","f","l","Symmetry","Matching","Self",872,0.872,0
"2",1,22,"right","f","l","Symmetry","Matching","Self",1118,1.118,0
"3",1,22,"right","f","a","Symmetry","Matching","Self",938,0.938,1
"4",1,22,"right","f","a","Symmetry","Matching","Self",636,0.636,1
"5",1,22,"right","f","a","Symmetry","Matching","Self",533,0.533,1
"6",1,22,"right","f","a","Symmetry","Matching","Self",595,0.595,1
"7",1,22,"right","f","a","Symmetry","Matching","Self",474,0.474,1
"8",1,22,"right","f","a","Symmetry","Matching","Self",596,0.596,1
"9",1,22,"right","f","a","Symmetry","Matching","Self",565,0.565,1
"10",1,22,"right","f","a","Symmetry","Matching","Self",477,0.477,1
"11",1,22,"right","f","a","Symmetry","Matching","Self",504,0.504,1
"12",1,22,"right","f","a","Symmetry","Matching","Self",395,0.395,1
"13",1,22,"right","f","a","Symmetry","Matching","Self",152,0.152,1
"14",1,22,"right","f","a","Symmetry","Matching","Self",427,0.427,1
"15",1,22,"right","f","a","Symmetry","Matching","Self",597,0.597,1
"16",1,22,"right","f","a","Symmetry","Matching","Self",711,0.711,1
"17",1,22,"right","f","a","Symmetry","Matching","Self",485,0.485,1
"18",1,22,"right","f","a","Symmetry","Matching","Self",670,0.67,1
"19",1,22,"right","f","l","Symmetry","Matching","Self",471,0.471,0
"20",1,22,"right","f","a","Symmetry","Matching","Self",517,0.517,1
"21",1,22,"right","f","a","Symmetry","Matching","Self",484,0.484,1
"22",1,22,"right","f","a","Symmetry","Matching","Self",949,0.949,1
"23",1,22,"right","f","a","Symmetry","Matching","Self",649,0.649,1
"24",1,22,"right","f","a","Symmetry","Matching","Self",705,0.705,1
"25",1,22,"right","f","a","Symmetry","Matching","Self",645,0.645,1
"26",1,22,"right","f","a","Symmetry","Matching","Self",452,0.452,1
"27",1,22,"right","f","a","Symmetry","Matching","Self",468,0.468,1
"28",1,22,"right","f","a","Symmetry","Matching","Self",598,0.598,1
"29",1,22,"right","f","a","Symmetry","Matching","Self",521,0.521,1
"30",1,22,"right","f","a","Symmetry","Matching","Self",581,0.581,1
"31",1,22,"right","f","a","Symmetry","Matching","Self",533,0.533,1
"32",1,22,"right","f","a","Symmetry","Matching","Self",474,0.474,1
"33",1,22,"right","f","a","Symmetry","Matching","Self",520,0.52,1
"34",1,22,"right","f","a","Symmetry","Matching","Self",622,0.622,1
"35",1,22,"right","f","a","Symmetry","Matching","Self",334,0.334,1
"36",1,22,"right","f","a","Symmetry","Matching","Self",300,0.3,1
"37",1,22,"right","f","a","Symmetry","Matching","Self",449,0.449,1
"38",1,22,"right","f","a","Symmetry","Matching","Self",531,0.531,1
"39",1,22,"right","f","a","Symmetry","Matching","Self",484,0.484,1
"40",1,22,"right","f","a","Symmetry","Matching","Self",528,0.528,1
"41",1,22,"right","f","a","Symmetry","Matching","Self",650,0.65,1
"42",1,22,"right","f","a","Symmetry","Matching","Self",676,0.676,1
"43",1,22,"right","f","a","Symmetry","Matching","Self",619,0.619,1
"44",1,22,"right","f","a","Symmetry","Matching","Self",611,0.611,1
"45",1,22,"right","f","a","Symmetry","Matching","Self",560,0.56,1
"46",1,22,"right","f","a","Symmetry","Matching","Self",515,0.515,1
"47",1,22,"right","f","l","Symmetry","Matching","Self",765,0.765,0
"48",1,22,"right","f","a","Symmetry","Matching","Self",425,0.425,1
"49",1,22,"right","f","a","Symmetry","Matching","Self",526,0.526,1
"50",1,22,"right","f","missed","Symmetry","Matching","Self",1500,1.5,NA
"51",1,22,"right","f","a","Symmetry","Matching","Self",529,0.529,1
"52",1,22,"right","f","a","Symmetry","Matching","Self",594,0.594,1
"53",1,22,"right","f","a","Symmetry","Matching","Self",626,0.626,1
"54",1,22,"right","f","a","Symmetry","Matching","Self",487,0.487,1
"55",1,22,"right","f","a","Symmetry","Matching","Self",711,0.711,1
"56",1,22,"right","f","a","Symmetry","Matching","Self",662,0.662,1
"57",1,22,"right","f","a","Symmetry","Matching","Self",459,0.459,1
"58",1,22,"right","f","a","Symmetry","Matching","Self",449,0.449,1
"59",1,22,"right","f","a","Symmetry","Matching","Self",398,0.398,1
"60",1,22,"right","f","a","Symmetry","Matching","Self",573,0.573,1
"61",1,22,"right","f","a","Asymmetry","Matching","Self",860,0.86,1
"62",1,22,"right","f","a","Asymmetry","Matching","Self",749,0.749,1
"63",1,22,"right","f","a","Asymmetry","Matching","Self",556,0.556,1
"64",1,22,"right","f","a","Asymmetry","Matching","Self",511,0.511,1
"65",1,22,"right","f","a","Asymmetry","Matching","Self",882,0.882,1
"66",1,22,"right","f","a","Asymmetry","Matching","Self",529,0.529,1
"67",1,22,"right","f","a","Asymmetry","Matching","Self",742,0.742,1
"68",1,22,"right","f","a","Asymmetry","Matching","Self",641,0.641,1
"69",1,22,"right","f","a","Asymmetry","Matching","Self",650,0.65,1
"70",1,22,"right","f","a","Asymmetry","Matching","Self",590,0.59,1
"71",1,22,"right","f","l","Asymmetry","Matching","Self",914,0.914,0
"72",1,22,"right","f","a","Asymmetry","Matching","Self",629,0.629,1
