"","Subject","Age","Handedness","Gender","Response","Symmetry","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"1",1,"","","","a","Symmetry","Matching","self-related","Self","Self",4,0.004,1
"2",1,"","","","a","Symmetry","Matching","self-related","Self","Self",573,0.573,1
"3",1,"","","","l","Symmetry","Matching","self-related","Self","Self",874,0.874,0
"4",1,"","","","l","Symmetry","Matching","self-related","Self","Self",330,0.33,0
"5",1,"","","","a","Symmetry","Matching","self-related","Self","Self",403,0.403,1
"6",1,"","","","l","Symmetry","Matching","self-related","Self","Self",378,0.378,0
"7",1,"","","","a","Symmetry","Matching","self-related","Self","Self",341,0.341,1
"8",1,"","","","a","Symmetry","Matching","self-related","Self","Self",464,0.464,1
"9",1,"","","","l","Symmetry","Matching","self-related","Self","Self",692,0.692,0
"10",1,"","","","a","Symmetry","Matching","self-related","Self","Self",351,0.351,1
"11",1,"","","","a","Symmetry","Matching","self-related","Self","Self",468,0.468,1
"12",1,"","","","a","Symmetry","Matching","self-related","Self","Self",313,0.313,1
"13",1,"","","","l","Symmetry","Matching","self-related","Self","Self",637,0.637,0
"14",1,"","","","l","Symmetry","Matching","self-related","Self","Self",281,0.281,0
"15",1,"","","","l","Symmetry","Matching","self-related","Self","Self",178,0.178,0
"16",1,"","","","l","Symmetry","Matching","self-related","Self","Self",614,0.614,0
"17",1,"","","","l","Symmetry","Matching","self-related","Self","Self",486,0.486,0
"18",1,"","","","a","Symmetry","Matching","self-related","Self","Self",356,0.356,1
"19",1,"","","","missed","Symmetry","Matching","self-related","Self","Self",NA,NA,NA
"20",1,"","","","missed","Symmetry","Matching","self-related","Self","Self",NA,NA,NA
"21",1,"","","","a","Symmetry","Matching","self-related","Self","Self",112,0.112,1
"22",1,"","","","l","Symmetry","Matching","self-related","Self","Self",367,0.367,0
"23",1,"","","","a","Symmetry","Matching","self-related","Self","Self",572,0.572,1
"24",1,"","","","a","Symmetry","Matching","self-related","Self","Self",323,0.323,1
"25",1,"","","","a","Symmetry","Matching","self-related","Self","Self",652,0.652,1
"26",1,"","","","a","Symmetry","Matching","self-related","Self","Self",511,0.511,1
"27",1,"","","","l","Symmetry","Matching","self-related","Self","Self",511,0.511,0
"28",1,"","","","l","Symmetry","Matching","self-related","Self","Self",404,0.404,0
"29",1,"","","","l","Symmetry","Matching","self-related","Self","Self",642,0.642,0
"30",1,"","","","a","Symmetry","Matching","self-related","Self","Self",364,0.364,1
