"","Subject","Age","Handedness","Gender","Response","Symmetry","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"1",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",763.4765,0.7634765,1
"2",1,22,"right","f","l","Symmetry","Matching","self-related","Self","Self",872.1048,0.8721048,0
"3",1,22,"right","f","l","Symmetry","Matching","self-related","Self","Self",1117.8963,1.1178963,0
"4",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",1302.7496,1.3027496,1
"5",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",983.2647,0.9832647,1
"6",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1067.8871,1.0678871,0
"7",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1185.8897,1.1858897,1
"8",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",937.8929,0.9378929,1
"9",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",663.4851,0.6634851,1
"10",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",635.7949,0.6357949,1
"11",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",727.2845,0.7272845,1
"12",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",532.5406,0.5325406,1
"13",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",845.9933,0.8459933,1
"14",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",595.0769,0.5950769,1
"15",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",742.4174,0.7424174,0
"16",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",1244.0656,1.2440656,0
"17",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",473.9178,0.4739178,1
"18",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",595.6615,0.5956615,1
"19",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",941.7945,0.9417945,1
"20",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",984.6871,0.9846871,1
"21",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",621.8892,0.6218892,1
"22",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",961.487,0.961487,1
"23",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",1065.6853,1.0656853,1
"24",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",992.3495,0.9923495,0
"25",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",565.3102,0.5653102,1
"26",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",514.7803,0.5147803,0
"27",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",477.4812,0.4774812,1
"28",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",392.9253,0.3929253,0
"29",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",599.4723,0.5994723,1
"30",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",504.0756,0.5040756,1
"31",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",687.1328,0.6871328,0
"32",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",394.8164,0.3948164,1
"33",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",606.0142,0.6060142,0
"34",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",152.407,0.152407,1
"35",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",110.1604,0.1101604,0
"36",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",191.5921,0.1915921,1
"37",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",723.9563,0.7239563,1
"38",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",552.922,0.552922,0
"39",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",605.25,0.60525,0
"40",1,22,"right","f","a","Symmetry","Nonmatching","self-related","Self","Self",436.8876,0.4368876,0
"41",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",55.5285,0.0555285,0
"42",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",728.5098,0.7285098,1
"43",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",696.6627,0.6966627,1
"44",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",979.5328,0.9795328,1
"45",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",696.8149,0.6968149,1
"46",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",380.8147,0.3808147,1
"47",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",401.1085,0.4011085,0
"48",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",538.4853,0.5384853,1
"49",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",466.3801,0.4663801,0
"50",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",426.9821,0.4269821,1
"51",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",480.7824,0.4807824,0
"52",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",466.2971,0.4662971,1
"53",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",847.9946,0.8479946,1
"54",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",596.7883,0.5967883,1
"55",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",502.0333,0.5020333,0
"56",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",653.1732,0.6531732,1
"57",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",673.3048,0.6733048,1
"58",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",924.5273,0.9245273,1
"59",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",1036.0038,1.0360038,1
"60",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",835.0322,0.8350322,1
"61",1,22,"right","f","missed","Symmetry","Matching","stranger-related","Stranger","Stranger",1500.102,1.500102,NA
"62",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",664.6658,0.6646658,0
"63",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1198.8325,1.1988325,1
"64",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",495.5141,0.4955141,0
"65",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",514.8965,0.5148965,1
"66",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",570.2721,0.5702721,1
"67",1,22,"right","f","a","Symmetry","Nonmatching","self-related","Self","Self",554.2992,0.5542992,0
"68",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",864.7811,0.8647811,1
"69",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",710.7341,0.7107341,1
"70",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",485.0856,0.4850856,1
"71",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",570.6683,0.5706683,1
"72",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",611.6151,0.6116151,0
"73",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",585.766,0.585766,1
"74",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",670.2791,0.6702791,1
"75",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",479.8052,0.4798052,1
"76",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",635.9797,0.6359797,1
"77",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",719.2383,0.7192383,0
"78",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",721.585,0.721585,1
"79",1,22,"right","f","l","Symmetry","Matching","self-related","Self","Self",471.412,0.471412,0
"80",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",517.007,0.517007,1
"81",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",485.0412,0.4850412,0
"82",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",483.6933,0.4836933,1
"83",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",495.4557,0.4954557,1
"84",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",948.6457,0.9486457,1
"85",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",574.4872,0.5744872,0
"86",1,22,"right","f","a","Symmetry","Nonmatching","self-related","Self","Self",401.9128,0.4019128,0
"87",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",649.4241,0.6494241,1
"88",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",483.8063,0.4838063,0
"89",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",682.0384,0.6820384,1
"90",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",610.406,0.610406,1
"91",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",839.3612,0.8393612,0
"92",1,22,"right","f","missed","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1500.0569,1.5000569,NA
"93",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",705.0792,0.7050792,1
"94",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",416.963,0.416963,0
"95",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",523.7045,0.5237045,0
"96",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",787.1239,0.7871239,1
"97",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",468.4874,0.4684874,1
"98",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",561.6937,0.5616937,1
"99",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",645.3463,0.6453463,1
"100",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",451.5452,0.4515452,1
"101",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",467.7962,0.4677962,1
"102",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",599.8827,0.5998827,1
"103",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",568.4042,0.5684042,1
"104",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",737.9958,0.7379958,1
"105",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",981.2978,0.9812978,1
"106",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",1250.2012,1.2502012,1
"107",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",555.0144,0.5550144,1
"108",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",597.8921,0.5978921,1
"109",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",908.0096,0.9080096,1
"110",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",874.5043,0.8745043,1
"111",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",522.6035,0.5226035,1
"112",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",521.4159,0.5214159,1
"113",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",581.3069,0.5813069,1
"114",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",559.0047,0.5590047,1
"115",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",925.502,0.925502,1
"116",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",533.027,0.533027,1
"117",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",526.1542,0.5261542,1
"118",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",346.0438,0.3460438,1
"119",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",472.1051,0.4721051,1
"120",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",474.2102,0.4742102,1
"121",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",520.6903,0.5206903,1
"122",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",387.0556,0.3870556,1
"123",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",520.149,0.520149,1
"124",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",621.6634,0.6216634,1
"125",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",334.4488,0.3344488,1
"126",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",673.7195,0.6737195,0
"127",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",299.6643,0.2996643,1
"128",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",211.0226,0.2110226,1
"129",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",306.9795,0.3069795,1
"130",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",173.0679,0.1730679,0
"131",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",632.0243,0.6320243,1
"132",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",574.1441,0.5741441,1
"133",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",721.6673,0.7216673,1
"134",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",626.7199,0.6267199,1
"135",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",777.9291,0.7779291,1
"136",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",448.5484,0.4485484,1
"137",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",446.0137,0.4460137,0
"138",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",830.2799,0.8302799,0
"139",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",796.0332,0.7960332,1
"140",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",563.9409,0.5639409,1
"141",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",705.8843,0.7058843,1
"142",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",531.2501,0.5312501,1
"143",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",761.6843,0.7616843,1
"144",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",484.1055,0.4841055,1
"145",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",527.8105,0.5278105,1
"146",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",715.3799,0.7153799,1
"147",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",990.9139,0.9909139,1
"148",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",748.6428,0.7486428,1
"149",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",807.6363,0.8076363,1
"150",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",523.4348,0.5234348,1
"151",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",593.0498,0.5930498,1
"152",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",477.708,0.477708,1
"153",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",663.5803,0.6635803,1
"154",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",649.8478,0.6498478,1
"155",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",922.3163,0.9223163,1
"156",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",676.3881,0.6763881,1
"157",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",928.9997,0.9289997,0
"158",1,22,"right","f","a","Symmetry","Nonmatching","self-related","Self","Self",490.5218,0.4905218,0
"159",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",582.3417,0.5823417,1
"160",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",898.683,0.898683,1
"161",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",675.1533,0.6751533,1
"162",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",590.9847,0.5909847,0
"163",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",619.1331,0.6191331,1
"164",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",746.1412,0.7461412,1
"165",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",1314.4501,1.3144501,1
"166",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",611.0431,0.6110431,1
"167",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",745.8083,0.7458083,1
"168",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",560.1181,0.5601181,1
"169",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",826.6321,0.8266321,1
"170",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",515.4376,0.5154376,1
"171",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",963.3714,0.9633714,1
"172",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",515.8727,0.5158727,0
"173",1,22,"right","f","l","Symmetry","Matching","self-related","Self","Self",764.5891,0.7645891,0
"174",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1101.0329,1.1010329,1
"175",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",424.6055,0.4246055,1
"176",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",526.3148,0.5263148,1
"177",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",605.6604,0.6056604,1
"178",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",945.1783,0.9451783,1
"179",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",708.8262,0.7088262,1
"180",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",869.1326,0.8691326,1
"181",1,22,"right","f","missed","Symmetry","Matching","self-related","Self","Self",1500.0643,1.5000643,NA
"182",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",681.5239,0.6815239,1
"183",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",454.171,0.454171,1
"184",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",614.5396,0.6145396,1
"185",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",590.0973,0.5900973,0
"186",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",690.0216,0.6900216,1
"187",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",528.5922,0.5285922,1
"188",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",725.1165,0.7251165,1
"189",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1196.0862,1.1960862,1
"190",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",595.6347,0.5956347,1
"191",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",593.6122,0.5936122,1
"192",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",668.0237,0.6680237,1
"193",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",699.0006,0.6990006,1
"194",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",626.1459,0.6261459,1
"195",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",695.6655,0.6956655,0
"196",1,22,"right","f","a","Symmetry","Nonmatching","self-related","Self","Self",700.1587,0.7001587,0
"197",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",779.6359,0.7796359,1
"198",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",471.5677,0.4715677,1
"199",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",1187.1603,1.1871603,1
"200",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",747.1519,0.7471519,1
"201",1,22,"right","f","a","Symmetry","Nonmatching","self-related","Self","Self",541.1404,0.5411404,0
"202",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",869.3412,0.8693412,1
"203",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",690.6485,0.6906485,1
"204",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",487.1006,0.4871006,1
"205",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",715.4004,0.7154004,1
"206",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",710.7205,0.7107205,1
"207",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",745.9529,0.7459529,1
"208",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",638.5805,0.6385805,1
"209",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",576.8668,0.5768668,1
"210",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",1143.4219,1.1434219,1
"211",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",574.2155,0.5742155,1
"212",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",589.0009,0.5890009,1
"213",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",703.8579,0.7038579,1
"214",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1024.823,1.024823,1
"215",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",532.9212,0.5329212,0
"216",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",661.6936,0.6616936,1
"217",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",459.2977,0.4592977,1
"218",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",248.0137,0.2480137,0
"219",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",518.5523,0.5185523,1
"220",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",842.3944,0.8423944,1
"221",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",591.1362,0.5911362,1
"222",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",970.6801,0.9706801,1
"223",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",572.6786,0.5726786,1
"224",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",621.7084,0.6217084,1
