"Subject","Age","Handedness","Gender","Response","Symmetry","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
1,NA,"","","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",633.4,0.6334,0
1,NA,"","","a","Symmetry","Matching","stranger-related","Stranger","Stranger",146.7,0.1467,1
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",223.8,0.2238,0
1,NA,"","","a","Symmetry","Matching","stranger-related","Stranger","Stranger",473.9,0.4739,1
1,NA,"","","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",619,0.619,1
1,NA,"","","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",188.3,0.1883,0
1,NA,"","","a","Symmetry","Matching","self-related","Self","Self",4.4,0.0044,1
1,NA,"","","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",123.3,0.1233,0
1,NA,"","","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",484.2,0.4842,1
1,NA,"","","missed","Symmetry","Matching","stranger-related","Stranger","Stranger",NA,NA,NA
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",465.3,0.4653,0
1,NA,"","","l","Symmetry","Matching","stranger-related","Stranger","Stranger",402.5,0.4025,0
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",394.8,0.3948,0
1,NA,"","","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",383.7,0.3837,1
1,NA,"","","a","Symmetry","Matching","stranger-related","Stranger","Stranger",294.8,0.2948,1
1,NA,"","","a","Symmetry","Matching","self-related","Self","Self",573.2,0.5732,1
1,NA,"","","l","Symmetry","Matching","self-related","Self","Self",874.1,0.8741,0
1,NA,"","","l","Symmetry","Matching","self-related","Self","Self",330.1,0.3301,0
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",314.8,0.3148,0
1,NA,"","","missed","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",NA,NA,NA
1,NA,"","","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",1051.2,1.0512,0
1,NA,"","","a","Symmetry","Matching","self-related","Self","Self",403.3,0.4033,1
1,NA,"","","a","Symmetry","Matching","stranger-related","Stranger","Stranger",466.4,0.4664,1
1,NA,"","","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",645.4,0.6454,1
1,NA,"","","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",337.8,0.3378,1
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",528.5,0.5285,0
1,NA,"","","l","Symmetry","Nonmatching","self-related","Self","Self",326,0.326,1
1,NA,"","","l","Symmetry","Matching","stranger-related","Stranger","Stranger",438.7,0.4387,0
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",358.2,0.3582,0
1,NA,"","","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",492.1,0.4921,1
1,NA,"","","l","Symmetry","Matching","self-related","Self","Self",378,0.378,0
1,NA,"","","a","Symmetry","Matching","stranger-related","Stranger","Stranger",325.3,0.3253,1
1,NA,"","","a","Symmetry","Matching","self-related","Self","Self",341.4,0.3414,1
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",372.4,0.3724,0
1,NA,"","","l","Symmetry","Matching","stranger-related","Stranger","Stranger",326.8,0.3268,0
1,NA,"","","a","Symmetry","Matching","self-related","Self","Self",464.3,0.4643,1
1,NA,"","","l","Symmetry","Nonmatching","self-related","Self","Self",471.9,0.4719,1
1,NA,"","","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",397.6,0.3976,1
1,NA,"","","l","Symmetry","Matching","stranger-related","Stranger","Stranger",478.7,0.4787,0
1,NA,"","","a","Symmetry","Nonmatching","self-related","Self","Self",380,0.38,0
