"","Subject","Age","Gender","Handedness","Shape","Label","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Response","RT_ms","RT_sec","ACC"
"1",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",704,0.704,1
"2",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",663,0.663,1
"3",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",688,0.688,1
"4",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",732,0.732,1
"5",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",787,0.787,1
"6",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",1089,1.089,1
"7",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",798,0.798,1
"8",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","n",677,0.677,0
"9",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",707,0.707,1
"10",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","n",1071,1.071,0
"11",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",682,0.682,1
"12",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",857,0.857,1
"13",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",827,0.827,1
"14",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",754,0.754,1
"15",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",1050,1.05,1
"16",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",719,0.719,1
"17",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",928,0.928,1
"18",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",640,0.64,1
"19",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",873,0.873,1
"20",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",844,0.844,1
"21",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",737,0.737,1
"22",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",707,0.707,1
