"Subject","Gender","Shape","Label1","Label2","Label3","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Response","RT_ms","RT_sec","ACC"
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","x",1500,1.5,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",1006,1.006,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1249,1.249,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","x",1499,1.499,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",884,0.884,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",996,0.996,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",1303,1.303,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",1149,1.149,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",984,0.984,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",957,0.957,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",969,0.969,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",1116,1.116,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","x",1499,1.499,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","x",1499,1.499,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",978,0.978,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1029,1.029,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","x",1499,1.499,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",610,0.61,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","z",700,0.7,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",1413,1.413,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1198,1.198,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1425,1.425,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",802,0.802,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",764,0.764,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",753,0.753,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",621,0.621,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",1063,1.063,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",890,0.89,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",672,0.672,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",656,0.656,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",1378,1.378,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",989,0.989,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1017,1.017,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1106,1.106,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",1120,1.12,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1038,1.038,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",711,0.711,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1373,1.373,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1151,1.151,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",724,0.724,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",1212,1.212,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",1117,1.117,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",778,0.778,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",654,0.654,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",999,0.999,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",603,0.603,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",830,0.83,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",1032,1.032,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",1401,1.401,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",569,0.569,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",912,0.912,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",838,0.838,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1103,1.103,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","x",1500,1.5,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","x",1499,1.499,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",653,0.653,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",567,0.567,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",868,0.868,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1325,1.325,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","x",1498,1.498,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",877,0.877,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",644,0.644,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",598,0.598,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",810,0.81,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",645,0.645,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",1088,1.088,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1191,1.191,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",866,0.866,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1057,1.057,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",1042,1.042,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",1035,1.035,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",763,0.763,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",728,0.728,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",640,0.64,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",938,0.938,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","x",1498,1.498,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",795,0.795,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",621,0.621,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",840,0.84,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",697,0.697,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",698,0.698,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",825,0.825,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",450,0.45,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",821,0.821,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",720,0.72,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",695,0.695,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",1206,1.206,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",624,0.624,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",843,0.843,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",629,0.629,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",687,0.687,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",583,0.583,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","z",588,0.588,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",599,0.599,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",587,0.587,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",753,0.753,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",565,0.565,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",504,0.504,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",635,0.635,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",284,0.284,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",532,0.532,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",555,0.555,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",522,0.522,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",551,0.551,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",478,0.478,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",447,0.447,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",417,0.417,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",315,0.315,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",365,0.365,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",947,0.947,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",792,0.792,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",699,0.699,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",475,0.475,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","z",571,0.571,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",824,0.824,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",762,0.762,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",967,0.967,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",787,0.787,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",600,0.6,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",475,0.475,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","x",1500,1.5,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",839,0.839,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",752,0.752,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",806,0.806,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",825,0.825,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",803,0.803,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",623,0.623,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1225,1.225,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",514,0.514,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1025,1.025,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",706,0.706,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",1257,1.257,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",819,0.819,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",685,0.685,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",469,0.469,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",973,0.973,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",705,0.705,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",649,0.649,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",673,0.673,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",898,0.898,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",874,0.874,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",586,0.586,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",702,0.702,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",861,0.861,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",629,0.629,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",544,0.544,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",510,0.51,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",375,0.375,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",613,0.613,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",584,0.584,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",460,0.46,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",493,0.493,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",544,0.544,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","m",367,0.367,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",483,0.483,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",477,0.477,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",438,0.438,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",791,0.791,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",868,0.868,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",460,0.46,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",589,0.589,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",313,0.313,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","z",362,0.362,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",584,0.584,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","z",356,0.356,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",299,0.299,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","z",356,0.356,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",722,0.722,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",528,0.528,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",503,0.503,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",575,0.575,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",804,0.804,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",671,0.671,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",352,0.352,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",757,0.757,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",946,0.946,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",745,0.745,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",622,0.622,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",666,0.666,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",426,0.426,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",1172,1.172,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",888,0.888,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",735,0.735,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",845,0.845,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",606,0.606,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",756,0.756,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",815,0.815,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",1442,1.442,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",841,0.841,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1444,1.444,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",770,0.77,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",823,0.823,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",793,0.793,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",692,0.692,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",781,0.781,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",729,0.729,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",360,0.36,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1205,1.205,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",743,0.743,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",765,0.765,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",1265,1.265,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",754,0.754,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",999,0.999,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",1210,1.21,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",731,0.731,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",608,0.608,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",748,0.748,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",633,0.633,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",460,0.46,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",757,0.757,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",586,0.586,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",615,0.615,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",602,0.602,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",670,0.67,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",1063,1.063,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",719,0.719,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",517,0.517,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",932,0.932,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",1377,1.377,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",620,0.62,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",671,0.671,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",840,0.84,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",481,0.481,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",530,0.53,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",768,0.768,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",733,0.733,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",490,0.49,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",572,0.572,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",761,0.761,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",550,0.55,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",748,0.748,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",448,0.448,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",490,0.49,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",715,0.715,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",945,0.945,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",695,0.695,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",791,0.791,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",1163,1.163,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","z",966,0.966,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",602,0.602,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",651,0.651,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",707,0.707,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",1219,1.219,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",853,0.853,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",973,0.973,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",817,0.817,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",666,0.666,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",610,0.61,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",951,0.951,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","z",1012,1.012,0
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",982,0.982,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","x",1499,1.499,0
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",468,0.468,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",557,0.557,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",636,0.636,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",718,0.718,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",620,0.62,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","z",1022,1.022,0
3001,1,"none","You","Julia","none","None","None","NonPerson","Nonmatching","m",721,0.721,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","m",880,0.88,0
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",784,0.784,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",788,0.788,1
3001,1,"You","You","Julia","none","Self","Self","Self","Nonmatching","m",832,0.832,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Matching","z",817,0.817,1
3001,1,"You","You","Julia","none","Self","Self","Self","Matching","z",748,0.748,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",1057,1.057,1
3001,1,"Julia","You","Julia","none","Friend","Friend","Close","Nonmatching","m",737,0.737,1
3001,1,"none","You","Julia","none","None","None","NonPerson","Matching","m",1126,1.126,0
