"","Subject","Gender","Shape","Label1","Label2","Label3","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Response","RT_ms","RT_sec","ACC"
"1",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","z",730,0.73,1
"2",1002,2,"You","You","none","Masha","Self","Self","Self","Nonmatching","z",705,0.705,1
"3",1002,2,"You","You","none","Masha","Self","Self","Self","Nonmatching","z",497,0.497,1
"4",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Nonmatching","z",520,0.52,1
"5",1002,2,"You","You","none","Masha","Self","Self","Self","Matching","m",360,0.36,1
"6",1002,2,"none","You","none","Masha","None","None","NonPerson","Matching","z",517,0.517,0
"7",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",350,0.35,1
"8",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","m",468,0.468,0
"9",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",700,0.7,1
"10",1002,2,"You","You","none","Masha","Self","Self","Self","Nonmatching","z",573,0.573,1
"11",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Nonmatching","m",449,0.449,0
"12",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",660,0.66,1
"13",1002,2,"You","You","none","Masha","Self","Self","Self","Nonmatching","z",821,0.821,1
"14",1002,2,"You","You","none","Masha","Self","Self","Self","Matching","m",654,0.654,1
"15",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Nonmatching","z",680,0.68,1
"16",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Nonmatching","z",673,0.673,1
"17",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","z",529,0.529,1
"18",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Nonmatching","z",727,0.727,1
"19",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",743,0.743,1
"20",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","z",548,0.548,1
"21",1002,2,"none","You","none","Masha","None","None","NonPerson","Matching","m",610,0.61,1
"22",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Nonmatching","z",758,0.758,1
"23",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","z",811,0.811,1
"24",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",606,0.606,1
"25",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",625,0.625,1
"26",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","z",709,0.709,1
"27",1002,2,"You","You","none","Masha","Self","Self","Self","Matching","m",652,0.652,1
"28",1002,2,"none","You","none","Masha","None","None","NonPerson","Matching","m",813,0.813,1
"29",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","z",617,0.617,1
"30",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Nonmatching","z",650,0.65,1
"31",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",548,0.548,1
"32",1002,2,"You","You","none","Masha","Self","Self","Self","Matching","m",489,0.489,1
"33",1002,2,"none","You","none","Masha","None","None","NonPerson","Nonmatching","z",674,0.674,1
"34",1002,2,"Masha","You","none","Masha","Friend","Friend","Close","Matching","m",563,0.563,1
"35",1002,2,"You","You","none","Masha","Self","Self","Self","Matching","m",410,0.41,1
"36",1002,2,"You","You","none","Masha","Self","Self","Self","Nonmatching","z",661,0.661,1
