"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC"
"1",2501,1,"You","You","Anna","none","Self","Matching","z",531,0.531,1
"2",2501,1,"You","You","Anna","none","Self","Matching","z",376,0.376,1
"3",2501,1,"You","You","Anna","none","Self","Matching","z",541,0.541,1
"4",2501,1,"You","You","Anna","none","Self","Matching","z",575,0.575,1
"5",2501,1,"You","You","Anna","none","Self","Matching","m",518,0.518,0
"6",2501,1,"You","You","Anna","none","Self","Matching","z",939,0.939,1
"7",2501,1,"You","You","Anna","none","Self","Matching","z",563,0.563,1
"8",2501,1,"You","You","Anna","none","Self","Matching","z",677,0.677,1
"9",2501,1,"You","You","Anna","none","Self","Matching","z",495,0.495,1
"10",2501,1,"You","You","Anna","none","Self","Matching","m",389,0.389,0
"11",2501,1,"You","You","Anna","none","Self","Matching","z",581,0.581,1
"12",2501,1,"You","You","Anna","none","Self","Matching","z",857,0.857,1
"13",2501,1,"You","You","Anna","none","Self","Matching","z",529,0.529,1
"14",2501,1,"You","You","Anna","none","Self","Matching","z",433,0.433,1
"15",2501,1,"You","You","Anna","none","Self","Matching","z",594,0.594,1
"16",2501,1,"You","You","Anna","none","Self","Matching","z",559,0.559,1
"17",2501,1,"You","You","Anna","none","Self","Matching","z",509,0.509,1
"18",2501,1,"You","You","Anna","none","Self","Matching","z",794,0.794,1
"19",2501,1,"You","You","Anna","none","Self","Matching","z",662,0.662,1
"20",2501,1,"You","You","Anna","none","Self","Matching","m",739,0.739,0
"21",2501,1,"You","You","Anna","none","Self","Matching","z",490,0.49,1
"22",2501,1,"You","You","Anna","none","Self","Matching","z",544,0.544,1
"23",2501,1,"You","You","Anna","none","Self","Matching","z",686,0.686,1
"24",2501,1,"You","You","Anna","none","Self","Matching","z",694,0.694,1
"25",2501,1,"You","You","Anna","none","Self","Matching","z",850,0.85,1
"26",2501,1,"You","You","Anna","none","Self","Matching","z",676,0.676,1
"27",2501,1,"You","You","Anna","none","Self","Matching","z",521,0.521,1
"28",2501,1,"You","You","Anna","none","Self","Matching","z",409,0.409,1
"29",2501,1,"You","You","Anna","none","Self","Matching","z",551,0.551,1
"30",2501,1,"You","You","Anna","none","Self","Matching","z",694,0.694,1
"31",2501,1,"You","You","Anna","none","Self","Matching","z",482,0.482,1
"32",2501,1,"You","You","Anna","none","Self","Matching","z",555,0.555,1
"33",2501,1,"You","You","Anna","none","Self","Matching","z",613,0.613,1
"34",2501,1,"You","You","Anna","none","Self","Matching","z",558,0.558,1
"35",2501,1,"You","You","Anna","none","Self","Matching","z",562,0.562,1
"36",2501,1,"You","You","Anna","none","Self","Matching","z",464,0.464,1
"37",2501,1,"You","You","Anna","none","Self","Matching","z",424,0.424,1
"38",2501,1,"You","You","Anna","none","Self","Matching","m",857,0.857,0
"39",2501,1,"You","You","Anna","none","Self","Matching","z",972,0.972,1
"40",2501,1,"You","You","Anna","none","Self","Matching","z",401,0.401,1
"41",2501,1,"You","You","Anna","none","Self","Matching","z",539,0.539,1
"42",2501,1,"You","You","Anna","none","Self","Matching","z",507,0.507,1
"43",2501,1,"You","You","Anna","none","Self","Matching","z",1123,1.123,1
"44",2501,1,"You","You","Anna","none","Self","Matching","z",555,0.555,1
"45",2501,1,"You","You","Anna","none","Self","Matching","z",533,0.533,1
"46",2501,1,"You","You","Anna","none","Self","Matching","z",506,0.506,1
"47",2501,1,"You","You","Anna","none","Self","Matching","z",627,0.627,1
"48",2501,1,"You","You","Anna","none","Self","Matching","z",471,0.471,1
"49",2501,1,"You","You","Anna","none","Self","Matching","z",961,0.961,1
"50",2501,1,"You","You","Anna","none","Self","Matching","z",467,0.467,1
"51",2501,1,"You","You","Anna","none","Self","Matching","z",719,0.719,1
"52",2501,1,"You","You","Anna","none","Self","Matching","z",446,0.446,1
"53",2501,1,"You","You","Anna","none","Self","Matching","z",552,0.552,1
"54",2501,1,"You","You","Anna","none","Self","Matching","z",470,0.47,1
"55",2501,1,"You","You","Anna","none","Self","Matching","z",480,0.48,1
"56",2501,1,"You","You","Anna","none","Self","Matching","z",503,0.503,1
"57",2501,1,"You","You","Anna","none","Self","Matching","z",419,0.419,1
"58",2501,1,"You","You","Anna","none","Self","Matching","z",731,0.731,1
"59",2501,1,"You","You","Anna","none","Self","Matching","z",577,0.577,1
"60",2501,1,"You","You","Anna","none","Self","Matching","z",366,0.366,1
"61",2501,1,"Anna","You","Anna","none","Friend","Matching","z",609,0.609,1
"62",2501,1,"Anna","You","Anna","none","Friend","Matching","m",470,0.47,0
"63",2501,1,"Anna","You","Anna","none","Friend","Matching","z",569,0.569,1
"64",2501,1,"Anna","You","Anna","none","Friend","Matching","z",765,0.765,1
"65",2501,1,"Anna","You","Anna","none","Friend","Matching","z",763,0.763,1
"66",2501,1,"Anna","You","Anna","none","Friend","Matching","z",598,0.598,1
"67",2501,1,"Anna","You","Anna","none","Friend","Matching","z",542,0.542,1
"68",2501,1,"Anna","You","Anna","none","Friend","Matching","z",611,0.611,1
"69",2501,1,"Anna","You","Anna","none","Friend","Matching","z",534,0.534,1
"70",2501,1,"Anna","You","Anna","none","Friend","Matching","m",781,0.781,0
"71",2501,1,"Anna","You","Anna","none","Friend","Matching","z",754,0.754,1
"72",2501,1,"Anna","You","Anna","none","Friend","Matching","m",591,0.591,0
"73",2501,1,"Anna","You","Anna","none","Friend","Matching","z",498,0.498,1
"74",2501,1,"Anna","You","Anna","none","Friend","Matching","z",565,0.565,1
"75",2501,1,"Anna","You","Anna","none","Friend","Matching","z",377,0.377,1
"76",2501,1,"Anna","You","Anna","none","Friend","Matching","z",746,0.746,1
"77",2501,1,"Anna","You","Anna","none","Friend","Matching","z",651,0.651,1
"78",2501,1,"Anna","You","Anna","none","Friend","Matching","z",606,0.606,1
"79",2501,1,"Anna","You","Anna","none","Friend","Matching","z",375,0.375,1
"80",2501,1,"Anna","You","Anna","none","Friend","Matching","z",573,0.573,1
"81",2501,1,"Anna","You","Anna","none","Friend","Matching","z",566,0.566,1
"82",2501,1,"Anna","You","Anna","none","Friend","Matching","z",456,0.456,1
"83",2501,1,"Anna","You","Anna","none","Friend","Matching","z",510,0.51,1
"84",2501,1,"Anna","You","Anna","none","Friend","Matching","z",585,0.585,1
"85",2501,1,"Anna","You","Anna","none","Friend","Matching","z",761,0.761,1
"86",2501,1,"Anna","You","Anna","none","Friend","Matching","z",1091,1.091,1
"87",2501,1,"Anna","You","Anna","none","Friend","Matching","z",590,0.59,1
"88",2501,1,"Anna","You","Anna","none","Friend","Matching","m",476,0.476,0
"89",2501,1,"Anna","You","Anna","none","Friend","Matching","z",508,0.508,1
