"","Subject","Matching","Identity","RT_ms","RT_sec","ACC","Face_Gender"
"1",2001,"Matching","Self",677,0.677,1,"1"
"2",2001,"Matching","Self",428,0.428,1,"1"
"3",2001,"Matching","Self",507,0.507,1,"1"
"4",2001,"Matching","Self",627,0.627,1,"1"
"5",2001,"Matching","Self",557,0.557,1,"1"
"6",2001,"Matching","Self",469,0.469,1,"1"
"7",2001,"Matching","Self",495,0.495,1,"1"
"8",2001,"Matching","Self",524,0.524,1,"1"
"9",2001,"Matching","Self",415,0.415,1,"1"
"10",2001,"Matching","Self",469,0.469,1,"1"
"11",2001,"Matching","Self",372,0.372,1,"1"
"12",2001,"Matching","Self",549,0.549,1,"1"
"13",2001,"Matching","Self",445,0.445,1,"1"
"14",2001,"Matching","Self",499,0.499,1,"1"
"15",2001,"Matching","Self",568,0.568,1,"1"
"16",2001,"Matching","Self",536,0.536,1,"1"
"17",2001,"Matching","Self",460,0.46,1,"1"
"18",2001,"Matching","Self",522,0.522,1,"1"
"19",2001,"Matching","Self",485,0.485,1,"1"
"20",2001,"Matching","Self",477,0.477,1,"1"
"21",2001,"Matching","Self",440,0.44,1,"1"
"22",2001,"Matching","Self",346,0.346,1,"1"
"23",2001,"Matching","Self",457,0.457,1,"1"
"24",2001,"Matching","Self",527,0.527,1,"1"
"25",2001,"Matching","Self",342,0.342,1,"1"
"26",2001,"Matching","Self",433,0.433,1,"1"
"27",2001,"Matching","Self",558,0.558,1,"1"
"28",2001,"Matching","Self",548,0.548,1,"1"
"29",2001,"Matching","Self",397,0.397,1,"1"
"30",2001,"Matching","Self",378,0.378,1,"1"
"31",2001,"Matching","Self",632,0.632,1,"1"
"32",2001,"Matching","Self",540,0.54,1,"1"
"33",2001,"Matching","Self",697,0.697,1,"1"
"34",2001,"Matching","Self",455,0.455,1,"1"
"35",2001,"Matching","Self",338,0.338,1,"1"
"36",2001,"Matching","Self",621,0.621,1,"1"
"37",2001,"Matching","Self",499,0.499,1,"1"
"38",2001,"Matching","Self",595,0.595,1,"1"
"39",2001,"Matching","Self",507,0.507,1,"1"
"40",2001,"Matching","Self",483,0.483,1,"1"
"41",2001,"Matching","Self",372,0.372,1,"1"
"42",2001,"Matching","Self",399,0.399,1,"1"
"43",2001,"Matching","Self",590,0.59,1,"1"
"44",2001,"Matching","Self",514,0.514,1,"1"
"45",2001,"Matching","Self",435,0.435,1,"1"
"46",2001,"Matching","Self",431,0.431,1,"1"
"47",2001,"Matching","Self",393,0.393,1,"1"
"48",2001,"Matching","Self",377,0.377,1,"1"
"49",2001,"Matching","Self",363,0.363,1,"1"
"50",2001,"Matching","Self",396,0.396,1,"1"
"51",2001,"Matching","Self",413,0.413,1,"1"
"52",2001,"Matching","Self",517,0.517,1,"1"
"53",2001,"Matching","Self",420,0.42,1,"1"
"54",2001,"Matching","Self",485,0.485,1,"1"
"55",2001,"Matching","Self",511,0.511,1,"1"
"56",2001,"Matching","Self",349,0.349,1,"1"
"57",2001,"Matching","Self",448,0.448,1,"2"
"58",2001,"Matching","Self",538,0.538,1,"2"
"59",2001,"Matching","Self",460,0.46,1,"2"
"60",2001,"Matching","Self",400,0.4,1,"2"
"61",2001,"Matching","Self",349,0.349,1,"2"
"62",2001,"Matching","Self",513,0.513,1,"2"
"63",2001,"Matching","Self",398,0.398,1,"2"
"64",2001,"Matching","Self",640,0.64,1,"2"
"65",2001,"Matching","Self",430,0.43,1,"2"
"66",2001,"Matching","Self",404,0.404,1,"2"
"67",2001,"Matching","Self",433,0.433,1,"2"
"68",2001,"Matching","Self",546,0.546,1,"2"
"69",2001,"Matching","Self",421,0.421,1,"2"
"70",2001,"Matching","Self",337,0.337,1,"2"
"71",2001,"Matching","Self",525,0.525,1,"2"
"72",2001,"Matching","Self",539,0.539,1,"2"
"73",2001,"Matching","Self",495,0.495,1,"2"
"74",2001,"Matching","Self",477,0.477,1,"2"
"75",2001,"Matching","Self",480,0.48,1,"2"
"76",2001,"Matching","Self",402,0.402,1,"2"
"77",2001,"Matching","Self",582,0.582,1,"2"
"78",2001,"Matching","Self",393,0.393,1,"2"
"79",2001,"Matching","Self",977,0.977,1,"2"
"80",2001,"Matching","Self",348,0.348,1,"2"
"81",2001,"Matching","Self",422,0.422,1,"2"
"82",2001,"Matching","Self",434,0.434,1,"2"
"83",2001,"Matching","Self",538,0.538,1,"2"
"84",2001,"Matching","Self",472,0.472,1,"2"
"85",2001,"Matching","Self",370,0.37,1,"2"
"86",2001,"Matching","Self",431,0.431,1,"2"
"87",2001,"Matching","Self",610,0.61,1,"2"
"88",2001,"Matching","Self",616,0.616,1,"2"
"89",2001,"Matching","Self",495,0.495,1,"2"
"90",2001,"Matching","Self",449,0.449,1,"2"
"91",2001,"Matching","Self",392,0.392,1,"2"
"92",2001,"Matching","Self",381,0.381,1,"2"
"93",2001,"Matching","Self",402,0.402,1,"2"
"94",2001,"Matching","Self",556,0.556,1,"2"
"95",2001,"Matching","Self",384,0.384,1,"2"
"96",2001,"Matching","Self",381,0.381,1,"2"
"97",2001,"Matching","Self",350,0.35,1,"2"
"98",2001,"Matching","Self",600,0.6,1,"2"
"99",2001,"Matching","Self",425,0.425,1,"2"
"100",2001,"Matching","Self",403,0.403,1,"2"
"101",2001,"Matching","Self",318,0.318,1,"2"
"102",2001,"Matching","Self",403,0.403,1,"2"
"103",2001,"Matching","Self",469,0.469,1,"2"
"104",2001,"Matching","Self",611,0.611,1,"2"
"105",2001,"Matching","Self",439,0.439,1,"2"
"106",2001,"Matching","Self",368,0.368,1,"2"
"107",2001,"Matching","Self",330,0.33,1,"2"
"108",2001,"Matching","Self",536,0.536,1,"2"
"109",2001,"Matching","Self",322,0.322,1,"2"
"110",2001,"Matching","Self",426,0.426,1,"2"
"111",2001,"Matching","Self",407,0.407,1,"2"
"112",2001,"Matching","Self",385,0.385,1,"2"
"113",2001,"Matching","Friend",427,0.427,1,"1"
