"Subject","Shape","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",NA,NA,NA
2,"Friend","Matching","Friend","Friend","Friend","Close","2",NA,NA,NA
2,"Self","Matching","Self","Self","Self","Self","2",NA,NA,NA
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",NA,NA,NA
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",NA,NA,NA
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",NA,NA,NA
2,"Friend","Matching","Friend","Friend","Friend","Close","2",NA,NA,NA
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",NA,NA,NA
2,"Self","Matching","Self","Self","Self","Self","2",NA,NA,NA
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",NA,NA,NA
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",NA,NA,NA
2,"Self","Nonmatching","Friend","Self","Self","Self","2",NA,NA,NA
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",631,0.631,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",604,0.604,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",0,0,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",569,0.569,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",575,0.575,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",574,0.574,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",416,0.416,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",328,0.328,0
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",568,0.568,1
2,"Self","Matching","Self","Self","Self","Self","2",437,0.437,1
2,"Self","Matching","Self","Self","Self","Self","2",452,0.452,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",480,0.48,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",626,0.626,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",311,0.311,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",574,0.574,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",484,0.484,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",560,0.56,1
