"","Subject","Shape","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
"1",2,"Friend","Matching","Friend","Friend","Close","2",NA,NA,NA
"2",2,"Friend","Matching","Friend","Friend","Close","2",NA,NA,NA
"3",2,"Friend","Matching","Friend","Friend","Close","2",416,0.416,1
"4",2,"Friend","Matching","Friend","Friend","Close","2",328,0.328,0
"5",2,"Friend","Matching","Friend","Friend","Close","2",311,0.311,1
"6",2,"Friend","Matching","Friend","Friend","Close","2",713,0.713,1
"7",2,"Friend","Matching","Friend","Friend","Close","2",530,0.53,1
"8",2,"Friend","Matching","Friend","Friend","Close","2",819,0.819,1
"9",2,"Friend","Matching","Friend","Friend","Close","2",422,0.422,1
"10",2,"Friend","Matching","Friend","Friend","Close","2",499,0.499,1
"11",2,"Friend","Matching","Friend","Friend","Close","2",599,0.599,0
"12",2,"Friend","Matching","Friend","Friend","Close","2",601,0.601,0
"13",2,"Friend","Matching","Friend","Friend","Close","2",497,0.497,1
"14",2,"Friend","Matching","Friend","Friend","Close","2",488,0.488,1
"15",2,"Friend","Matching","Friend","Friend","Close","2",475,0.475,1
"16",2,"Friend","Matching","Friend","Friend","Close","2",626,0.626,1
"17",2,"Friend","Matching","Friend","Friend","Close","2",522,0.522,1
"18",2,"Friend","Matching","Friend","Friend","Close","2",399,0.399,1
"19",2,"Friend","Matching","Friend","Friend","Close","2",454,0.454,1
"20",2,"Friend","Matching","Friend","Friend","Close","2",564,0.564,1
"21",2,"Friend","Matching","Friend","Friend","Close","2",417,0.417,1
"22",2,"Friend","Matching","Friend","Friend","Close","2",656,0.656,1
"23",2,"Friend","Matching","Friend","Friend","Close","2",610,0.61,1
"24",2,"Friend","Matching","Friend","Friend","Close","2",438,0.438,1
"25",2,"Friend","Matching","Friend","Friend","Close","2",542,0.542,1
"26",2,"Friend","Matching","Friend","Friend","Close","2",644,0.644,1
"27",2,"Friend","Matching","Friend","Friend","Close","2",677,0.677,1
"28",2,"Friend","Matching","Friend","Friend","Close","2",461,0.461,1
