"","Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"1",14,25,"male","right",1,1,"Tra.bmp","你","Matching","你","Self","Self",2,914,0.914,1
"2",14,25,"male","right",1,2,"D.bmp","生人","Matching","生人","Stranger","Stranger",1,882,0.882,0
"3",14,25,"male","right",1,3,"D.bmp","生人","Matching","生人","Stranger","Stranger",NA,0,0,0
"4",14,25,"male","right",1,4,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,892,0.892,1
"5",14,25,"male","right",1,5,"Tra.bmp","你","Matching","你","Self","Self",2,685,0.685,1
"6",14,25,"male","right",1,6,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,829,0.829,1
"7",14,25,"male","right",1,7,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",1,950,0.95,1
"8",14,25,"male","right",1,8,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",NA,0,0,0
"9",14,25,"male","right",1,9,"Tra.bmp","你","Matching","你","Self","Self",2,684,0.684,1
"10",14,25,"male","right",1,10,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,892,0.892,1
"11",14,25,"male","right",1,11,"Tra.bmp","你","Matching","你","Self","Self",2,702,0.702,1
"12",14,25,"male","right",1,12,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,863,0.863,1
"13",14,25,"male","right",1,13,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,783,0.783,1
"14",14,25,"male","right",1,14,"Tra.bmp","你","Matching","你","Self","Self",2,671,0.671,1
"15",14,25,"male","right",1,15,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,959,0.959,1
"16",14,25,"male","right",1,16,"Tra.bmp","你","Matching","你","Self","Self",2,583,0.583,1
"17",14,25,"male","right",2,17,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,887,0.887,1
"18",14,25,"male","right",2,18,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,721,0.721,1
"19",14,25,"male","right",2,19,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,706,0.706,1
"20",14,25,"male","right",2,20,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",1,962,0.962,1
"21",14,25,"male","right",2,21,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,794,0.794,1
"22",14,25,"male","right",2,22,"Tra.bmp","你","Matching","你","Self","Self",2,514,0.514,1
"23",14,25,"male","right",2,23,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,858,0.858,1
"24",14,25,"male","right",2,24,"Tra.bmp","你","Matching","你","Self","Self",2,698,0.698,1
"25",14,25,"male","right",2,25,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",1,899,0.899,1
"26",14,25,"male","right",2,26,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,795,0.795,1
"27",14,25,"male","right",2,27,"Tra.bmp","你","Matching","你","Self","Self",2,755,0.755,1
"28",14,25,"male","right",2,28,"Tra.bmp","你","Matching","你","Self","Self",2,570,0.57,1
"29",14,25,"male","right",2,29,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,882,0.882,1
"30",14,25,"male","right",2,30,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,850,0.85,1
"31",14,25,"male","right",2,31,"Tra.bmp","你","Matching","你","Self","Self",2,698,0.698,1
"32",14,25,"male","right",2,32,"Tra.bmp","你","Matching","你","Self","Self",2,962,0.962,1
"33",14,25,"male","right",3,33,"Tra.bmp","你","Matching","你","Self","Self",2,604,0.604,1
"34",14,25,"male","right",3,34,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,749,0.749,1
"35",14,25,"male","right",3,35,"Tra.bmp","你","Matching","你","Self","Self",2,677,0.677,1
"36",14,25,"male","right",3,36,"Tra.bmp","你","Matching","你","Self","Self",2,653,0.653,1
"37",14,25,"male","right",3,37,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,805,0.805,1
"38",14,25,"male","right",3,38,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,1053,1.053,1
"39",14,25,"male","right",3,39,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,517,0.517,1
"40",14,25,"male","right",3,40,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,615,0.615,1
"41",14,25,"male","right",3,41,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",2,592,0.592,0
"42",14,25,"male","right",3,42,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,848,0.848,1
"43",14,25,"male","right",3,43,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,808,0.808,1
"44",14,25,"male","right",3,44,"Tra.bmp","你","Matching","你","Self","Self",2,712,0.712,1
"45",14,25,"male","right",3,45,"Tra.bmp","你","Matching","你","Self","Self",2,496,0.496,1
"46",14,25,"male","right",3,46,"Tra.bmp","你","Matching","你","Self","Self",2,559,0.559,1
"47",14,25,"male","right",3,47,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,832,0.832,1
"48",14,25,"male","right",3,48,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",2,504,0.504,0
"49",14,25,"male","right",4,49,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,842,0.842,1
"50",14,25,"male","right",4,50,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,874,0.874,1
"51",14,25,"male","right",4,51,"Tra.bmp","你","Matching","你","Self","Self",2,594,0.594,1
"52",14,25,"male","right",4,52,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,740,0.74,1
"53",14,25,"male","right",4,53,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,685,0.685,1
"54",14,25,"male","right",4,54,"Tra.bmp","你","Matching","你","Self","Self",2,789,0.789,1
"55",14,25,"male","right",4,55,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",1,661,0.661,1
"56",14,25,"male","right",4,56,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,789,0.789,1
"57",14,25,"male","right",4,57,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",1,773,0.773,1
"58",14,25,"male","right",4,58,"Tra.bmp","你","Matching","你","Self","Self",2,565,0.565,1
"59",14,25,"male","right",4,59,"Tra.bmp","你","Matching","你","Self","Self",2,726,0.726,1
"60",14,25,"male","right",4,60,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,1007,1.007,1
"61",14,25,"male","right",4,61,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,592,0.592,1
"62",14,25,"male","right",4,62,"Tra.bmp","你","Matching","你","Self","Self",2,680,0.68,1
"63",14,25,"male","right",4,63,"Tra.bmp","你","Matching","你","Self","Self",2,577,0.577,1
"64",14,25,"male","right",4,64,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,855,0.855,1
"65",14,25,"male","right",5,65,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,591,0.591,1
"66",14,25,"male","right",5,66,"Tra.bmp","你","Matching","你","Self","Self",2,479,0.479,1
"67",14,25,"male","right",5,67,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,721,0.721,1
"68",14,25,"male","right",5,68,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",1,730,0.73,1
"69",14,25,"male","right",5,69,"Tra.bmp","你","Matching","你","Self","Self",2,546,0.546,1
"70",14,25,"male","right",5,70,"Tra.bmp","你","Matching","你","Self","Self",2,538,0.538,1
"71",14,25,"male","right",5,71,"Tra.bmp","你","Matching","你","Self","Self",2,482,0.482,1
"72",14,25,"male","right",5,72,"D.bmp","生人","Matching","生人","Stranger","Stranger",1,730,0.73,0
"73",14,25,"male","right",5,73,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,946,0.946,1
"74",14,25,"male","right",5,74,"Tra.bmp","生人","Nonmatching","你","Self","Self",1,812,0.812,1
"75",14,25,"male","right",5,75,"D.bmp","你","Nonmatching","生人","Stranger","Stranger",2,655,0.655,0
"76",14,25,"male","right",5,76,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,743,0.743,1
"77",14,25,"male","right",5,77,"Tra.bmp","你","Matching","你","Self","Self",2,607,0.607,1
"78",14,25,"male","right",5,78,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,783,0.783,1
"79",14,25,"male","right",5,79,"Tra.bmp","你","Matching","你","Self","Self",2,639,0.639,1
"80",14,25,"male","right",5,80,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,823,0.823,1
"81",14,25,"male","right",6,81,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,712,0.712,1
"82",14,25,"male","right",6,82,"Tra.bmp","你","Matching","你","Self","Self",2,655,0.655,1
"83",14,25,"male","right",6,83,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,679,0.679,1
"84",14,25,"male","right",6,84,"D.bmp","生人","Matching","生人","Stranger","Stranger",2,615,0.615,1
