"Subject","Identity","d_prime"
1,"P1",3.57332237919236
2,"P1",1.99398443112934
3,"P1",3.15067708366111
4,"P1",2.61577375237745
5,"P1",2.12317279911752
6,"P1",0.630883492436689
7,"P1",1.91479624463868
8,"P1",1.56310524692694
9,"P1",2.65043345507979
10,"P1",2.67595911449806
11,"P1",3.07771053513804
12,"P1",1.90447728875469
13,"P1",2.70574380080888
14,"P1",1.86424488416574
15,"P1",1.88282069280901
16,"P1",3.77552327195749
17,"P1",3.6796912815183
18,"P1",Inf
19,"P1",3.13447423872795
20,"P1",2.27034963192391
21,"P1",1.57812494593486
22,"P1",2.95330874221445
23,"P1",2.02648170227873
24,"P1",2.13159834579029
25,"P1",2.60390682891584
26,"P1",2.74679044948634
27,"P1",2.26578652599093
28,"P1",3.85476112225725
29,"P1",1.77560749837664
30,"P1",1.84026630059125
31,"P1",1.99986681313188
32,"P1",2.24881413381817
33,"P1",2.95772587214185
34,"P1",2.70762843781745
35,"P1",3.38688883751686
36,"P1",0.359916041187117
37,"P1",2.101491046708
38,"P1",2.91875837108922
39,"P1",1.25862644830636
40,"P1",2.49880838802089
41,"P1",2.80423286205218
42,"P1",2.74004115886817
43,"P1",2.45293314097277
44,"P1",2.46520673347408
45,"P1",2.81112169650512
46,"P1",3.73465229155139
1,"P2",4.47300856286587
2,"P2",1.90722279180508
3,"P2",2.59528969363685
4,"P2",2.25526748792775
5,"P2",2.96697745253911
6,"P2",1.38852177548289
7,"P2",1.91720857924218
8,"P2",1.93739741840543
9,"P2",2.80119629561899
10,"P2",2.39232318218139
11,"P2",3.85511044379978
12,"P2",1.95187296022697
13,"P2",2.17406142652739
14,"P2",1.76070696798892
15,"P2",1.70367816040843
16,"P2",3.40161967963826
17,"P2",2.89942272275459
18,"P2",2.23424456531809
19,"P2",2.3334097592799
20,"P2",1.96830753903484
21,"P2",1.78223687377298
22,"P2",2.41543166884202
23,"P2",1.36156359744267
24,"P2",2.75636453959559
25,"P2",2.4247212817944
26,"P2",1.72974791329056
27,"P2",2.91922552836986
28,"P2",3.21962352212255
29,"P2",1.54973039566945
30,"P2",1.74656124977469
31,"P2",2.32119096982606
32,"P2",2.06159454474123
33,"P2",2.56602693844612
34,"P2",2.52589422359426
35,"P2",2.26417689637175
36,"P2",0.388426951826532
37,"P2",1.94605828480831
38,"P2",2.54825629459288
39,"P2",1.32879385298256
40,"P2",2.16531832589896
41,"P2",1.47540657097823
42,"P2",2.77020563901428
43,"P2",3.26599512014504
44,"P2",1.61118544450318
45,"P2",2.31888465940698
46,"P2",Inf
1,"Stranger",3.58621576995642
2,"Stranger",1.95489319196119
3,"Stranger",3.43993951772858
4,"Stranger",2.83180222262824
5,"Stranger",2.22774208129582
6,"Stranger",0.676827803048696
7,"Stranger",1.46243743705792
8,"Stranger",2.08667532746149
9,"Stranger",1.46700545177818
10,"Stranger",1.62370134401263
11,"Stranger",2.63941649476137
12,"Stranger",1.56457277340199
13,"Stranger",1.50402723619918
14,"Stranger",2.00492414428608
15,"Stranger",1.18952238092748
16,"Stranger",2.49268506045327
17,"Stranger",2.73773818756393
18,"Stranger",3.74042832623208
19,"Stranger",1.89339485493291
20,"Stranger",2.16239278964898
21,"Stranger",2.133400596413
22,"Stranger",2.29707755316235
23,"Stranger",1.11313607159537
24,"Stranger",1.62006387435988
25,"Stranger",2.25783709468832
26,"Stranger",3.05533859077848
27,"Stranger",3.43978242991187
28,"Stranger",2.39408100493419
29,"Stranger",1.03443685763737
30,"Stranger",1.15358375137722
31,"Stranger",1.30207059512671
32,"Stranger",2.70011848972449
33,"Stranger",2.84225883088948
34,"Stranger",2.0930671735345
35,"Stranger",2.2852659983695
36,"Stranger",0.503578612869942
37,"Stranger",1.24895044912491
38,"Stranger",2.68314617554872
39,"Stranger",0.290416318267462
40,"Stranger",2.04907785132356
41,"Stranger",1.86816894455968
42,"Stranger",1.97445109814986
43,"Stranger",2.95172914354875
44,"Stranger",0.803390861345123
45,"Stranger",1.20224052490076
46,"Stranger",3.17094304584312
