"Subject","Identity","d_prime"
1,"Self",4.52202503400349
3,"Self",4.78795959963702
8,"Self",4.03883342676998
9,"Self",2.66454569264524
10,"Self",2.07405349453949
11,"Self",3.40959679972958
12,"Self",4.52202503400349
13,"Self",3.9619598700009
14,"Self",4.22789443563442
15,"Self",4.52202503400349
19,"Self",3.02784775405211
20,"Self",4.78795959963702
4403,"Self",3.62913118022901
1,"Friend",3.66782927163183
3,"Friend",3.51103936128562
8,"Friend",3.62913118022901
9,"Friend",3.77697392691915
10,"Friend",1.74435602521678
11,"Friend",2.66454569264524
12,"Friend",3.89506574586253
13,"Friend",2.76598825420128
14,"Friend",3.02784775405211
15,"Friend",4.78795959963702
19,"Friend",4.03883342676998
20,"Friend",4.52202503400349
4403,"Friend",3.33500058185994
1,"Stranger",2.9696664677579
3,"Stranger",4.52202503400349
8,"Stranger",4.25609046836997
9,"Stranger",2.30258778831818
10,"Stranger",2.53751933553781
11,"Stranger",3.16447862367877
12,"Stranger",3.9619598700009
13,"Stranger",4.22789443563442
14,"Stranger",3.23881685082177
15,"Stranger",4.25609046836997
19,"Stranger",3.33500058185994
20,"Stranger",4.52202503400349
4403,"Stranger",3.51103936128562
