"Subject","Identity","d_prime"
1,"Self",2.16063868162991
2,"Self",2.81293515565995
3,"Self",2.63837554385492
5,"Self",2.63659041790304
6,"Self",2.71159303506368
7,"Self",3.2762398816855
8,"Self",Inf
9,"Self",2.35158521021153
10,"Self",2.16063868162991
11,"Self",3.80443498188399
12,"Self",2.81293515565995
13,"Self",4.10749782126364
14,"Self",2.83100541206713
15,"Self",1.97003199412494
16,"Self",2.93919210466218
17,"Self",2.03026797327657
18,"Self",2.47013868243967
19,"Self",3.2762398816855
20,"Self",Inf
21,"Self",3.80443498188399
22,"Self",2.47013868243967
23,"Self",2.16063868162991
24,"Self",2.81293515565995
25,"Self",3.2762398816855
26,"Self",Inf
1,"Familiar",1.46990240727685
2,"Familiar",2.31381390278365
3,"Familiar",1.40520235548154
5,"Familiar",1.45441475101268
6,"Familiar",1.2755494898714
7,"Familiar",1.70890577367846
8,"Familiar",2.43265535878722
9,"Familiar",1.78860063869255
10,"Familiar",1.46990240727685
11,"Familiar",3.2165802008326
12,"Familiar",2.31381390278365
13,"Familiar",2.21261771902871
14,"Familiar",3.034874906794
15,"Familiar",1.1235143141707
16,"Familiar",1.13455674756687
17,"Familiar",1.49946535800477
18,"Familiar",1.7160757309757
19,"Familiar",1.70890577367846
20,"Familiar",2.43265535878722
21,"Familiar",3.2165802008326
22,"Familiar",1.7160757309757
23,"Familiar",1.46990240727685
24,"Familiar",2.31381390278365
25,"Familiar",1.70890577367846
26,"Familiar",2.43265535878722
