"Subject","Identity","d_prime"
1,"Self",2.53334350747665
2,"Self",2.11777094647771
3,"Self",Inf
4,"Self",Inf
5,"Self",1.9348431322034
6,"Self",2.05748387729672
7,"Self",Inf
8,"Self",1.48670755169599
9,"Self",Inf
10,"Self",2.53334350747665
11,"Self",1.34897950039216
12,"Self",Inf
13,"Self",Inf
14,"Self",2.35041569320234
15,"Self",2.53334350747665
16,"Self",Inf
17,"Self",0.104633455614075
18,"Self",2.28018667882034
19,"Self",3.46332879224449
20,"Self",Inf
21,"Self",Inf
22,"Self",0.430727299295457
23,"Self",2.53334350747665
24,"Self",2.54388219762216
25,"Self",3.46332879224449
26,"Self",Inf
27,"Self",Inf
28,"Self",Inf
29,"Self",0.861454598590915
30,"Self",Inf
31,"Self",Inf
32,"Self",-0.423272819578451
33,"Self",2.53334350747665
34,"Self",Inf
36,"Self",2.88201377649825
1,"Mother",2.69908596222395
2,"Mother",1.77963936760161
3,"Mother",Inf
4,"Mother",2.76598825420128
5,"Mother",2.30069876075202
6,"Mother",1.70163349106501
7,"Mother",Inf
8,"Mother",2.54388219762216
9,"Mother",Inf
10,"Mother",0.653155738312173
11,"Mother",0.315061849862
12,"Mother",Inf
13,"Mother",1.36074008419801
14,"Mother",Inf
15,"Mother",2.69908596222395
16,"Mother",3.11465852322288
17,"Mother",-0.209266911228151
18,"Mother",2.30069876075202
19,"Mother",1.64191131629778
20,"Mother",Inf
21,"Mother",2.88201377649825
22,"Mother",0.42085678849585
23,"Mother",2.53334350747665
24,"Mother",1.69887166307411
25,"Mother",2.35041569320234
26,"Mother",1.96256718187592
27,"Mother",2.53334350747665
28,"Mother",Inf
29,"Mother",0.867161646662473
30,"Mother",Inf
31,"Mother",Inf
32,"Mother",-0.641155693543382
33,"Mother",2.11777094647771
34,"Mother",Inf
36,"Mother",3.11465852322288
1,"Acquaintance",1.96256718187592
2,"Acquaintance",2.40615414631833
3,"Acquaintance",3.11465852322288
4,"Acquaintance",3.11465852322288
5,"Acquaintance",2.30069876075202
6,"Acquaintance",1.13085716546429
7,"Acquaintance",3.11465852322288
8,"Acquaintance",2.30069876075202
9,"Acquaintance",Inf
10,"Acquaintance",2.11777094647771
11,"Acquaintance",1.17784996034963
12,"Acquaintance",Inf
13,"Acquaintance",Inf
14,"Acquaintance",2.53334350747665
15,"Acquaintance",1.96256718187592
16,"Acquaintance",3.11465852322288
17,"Acquaintance",1.24294510079537
18,"Acquaintance",Inf
19,"Acquaintance",3.11465852322288
20,"Acquaintance",3.46332879224449
21,"Acquaintance",Inf
22,"Acquaintance",-0.104633455614075
23,"Acquaintance",1.64191131629778
24,"Acquaintance",Inf
25,"Acquaintance",2.53334350747665
26,"Acquaintance",Inf
27,"Acquaintance",2.88201377649825
28,"Acquaintance",Inf
29,"Acquaintance",1.48670755169599
30,"Acquaintance",Inf
31,"Acquaintance",Inf
32,"Acquaintance",-0.318639363964375
33,"Acquaintance",1.94209279037017
34,"Acquaintance",Inf
36,"Acquaintance",3.46332879224449
