"Subject","Identity","d_prime"
1001,"Self",Inf
1002,"Self",2.4531774546465
1003,"Self",4.46873255211234
1004,"Self",Inf
1005,"Self",Inf
1006,"Self",4.06774471937917
1007,"Self",Inf
1008,"Self",4.20033098568894
1009,"Self",Inf
1101,"Self",4.36414896085112
1102,"Self",3.90290858358366
1103,"Self",3.31034682246398
1104,"Self",4.73713411853575
1105,"Self",3.90290858358366
1106,"Self",Inf
1107,"Self",3.73302894679677
1108,"Self",3.56539928552999
1109,"Self",Inf
1001,"Friend",Inf
1002,"Friend",3.013842452345
1003,"Friend",Inf
1004,"Friend",3.56539928552999
1005,"Friend",Inf
1006,"Friend",4.73713411853575
1007,"Friend",4.29885291532545
1008,"Friend",3.62946351616888
1009,"Friend",Inf
1101,"Friend",Inf
1102,"Friend",4.29885291532545
1103,"Friend",3.90290858358366
1104,"Friend",3.86057171211516
1105,"Friend",3.62946351616888
1106,"Friend",Inf
1107,"Friend",3.54145501841026
1108,"Friend",3.54145501841026
1109,"Friend",Inf
1001,"Stranger",Inf
1002,"Stranger",3.39195926866884
1003,"Stranger",Inf
1004,"Stranger",4.20033098568894
1005,"Stranger",Inf
1006,"Stranger",Inf
1007,"Stranger",3.90290858358366
1008,"Stranger",3.23329820446384
1009,"Stranger",Inf
1101,"Stranger",Inf
1102,"Stranger",Inf
1103,"Stranger",Inf
1104,"Stranger",3.79934315295577
1105,"Stranger",3.41391225309187
1106,"Stranger",Inf
1107,"Stranger",3.86057171211516
1108,"Stranger",3.54145501841026
1109,"Stranger",Inf
