Participant,OtherMatch,SelfMatch,OtherMismatch,SelfMismatch,MeMatch,TheyMatch,WeMatch,YouMatch,MeMismatch,TheyMismatch,WeMismatch,YouMismatch,MeLabel:Other,MeLabel:Self,TheyLabel:Other,TheyLabel:Self,WeLabel:Other,WeLabel:Self,YouLabel:Other,YouLabel:Self,SelfBenefitMatch,WeBenefitMatch,GroupShape,IndividualShape,OtherLabel,SelfLabel
1,0.893545007,0.758049479,0.911681404,0.988898877,0.733048954,0.870362256,0.783050004,0.91540303,0.965902966,0.90723408,1.012551813,0.915874596,0.952941994,0.99182491,0.864048464,0.931911574,0.98350199,1.068230641,0.973768262,0.885669205,0.182354076,0.087312252,0.824808038,0.822941808,0.951337385,0.95090002
2,0.970115381,0.96944331,1.036390497,1.091454011,0.963008966,1.024905068,0.975877654,0.915325694,1.104556673,1.088390193,1.078725712,0.985876507,1.122616001,1.066796258,1.061829307,1.099457229,1.083487525,1.069598903,0.962286222,0.996688721,-0.047683272,0.049027414,0.999670369,0.939868555,1.073788397,1.05461195
3,0.661612733,0.62988586,0.678740438,0.698486775,0.628620658,0.652077037,0.631114913,0.672042399,0.709227971,0.690451135,0.687429661,0.666340875,0.708516091,0.710781164,0.69183078,0.689761313,0.68003425,0.705178647,0.670982469,0.663809097,0.043421741,0.020962124,0.641595975,0.649673623,0.689985655,0.686991805
4,0.816580966,0.781189486,0.897535462,0.944055865,0.819957965,0.857456166,0.743595809,0.778110189,0.976351529,0.906832194,0.915797159,0.88720576,0.963932354,1.033479737,0.886288856,0.920527753,0.92045998,0.90388106,0.858497394,0.904093034,-0.041847776,0.113860357,0.799650139,0.79840002,0.920021528,0.923294068
5,0.74582441,0.764351784,0.784935355,0.854270772,0.708277586,0.674458968,0.825682939,0.819288835,0.871116587,0.777127439,0.836929492,0.792309497,0.89219189,0.830722257,0.773762294,0.778962973,0.890323585,0.739040321,0.786293488,0.795317502,0.11101125,-0.15122397,0.746685342,0.762978781,0.852582634,0.786599377
6,0.883230672,0.744618746,0.893558813,0.894133882,0.644939073,0.842645059,0.847230174,0.923816285,0.860646394,0.881601355,0.928606297,0.906240966,0.867529126,0.845629522,0.927942247,0.857423498,0.976692387,0.840448464,0.986830067,0.871202227,0.278877213,-0.004585114,0.845043427,0.775926854,0.931052047,0.857184029
7,1.187647706,0.953258462,1.162528394,1.042253135,0.869682375,1.192741112,1.036834548,1.18290557,1.031826861,1.232480883,1.053038935,1.092575904,1.030713815,1.03349643,1.300161326,1.193806344,1.124673623,0.95155646,1.166799384,1.064742099,0.313223195,0.155906564,1.104729342,1.011611636,1.138846976,1.078904033
8,0.907936206,0.848651584,0.910109021,0.892193389,0.829853407,0.89854542,0.866343985,0.917974631,0.867327585,0.898308669,0.914987043,0.923812656,0.875151283,0.851680189,0.876555246,0.90918538,0.911287418,0.922386295,1.005701632,0.89031262,0.088121224,0.032201435,0.881701593,0.871747104,0.90588364,0.896296295
9,0.926318744,0.711042789,0.921317822,0.81096613,0.653029204,0.938893045,0.770762656,0.912527576,0.771475048,0.918267404,0.851585528,0.924654216,0.76197853,0.790468085,1.059260443,0.853645595,0.882098236,0.785012348,1.173077762,0.841846368,0.259498371,0.168130389,0.85482785,0.774914803,0.902900438,0.828345915
10,0.766560605,0.66734514,0.823986542,0.82239061,0.661751346,0.766840094,0.674057693,0.766299148,0.79461708,0.820732787,0.85016414,0.826944501,0.787132911,0.811830669,0.958497404,0.770636563,0.844856226,0.860779967,0.853523093,0.815388591,0.104547802,0.092782401,0.719662602,0.710124209,0.839588954,0.807497399
