Shape,resp,rt,selfkey,wekey,alonekey,theykey,WeShape,TheyShape,AloneShape,SelfShape,corr,Handedness,First Language,Participant Number,Gender,Age
They,w,7.762130359,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,3.143593096,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,1.781883115,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,5.162077377,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,1.991729054,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,2.547875749,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,2.50544323,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,1.744906657,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,2.871060888,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,3.455909936,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,3.585493748,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,12.22186506,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,1.233155005,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,6.859368257,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,2.773030242,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,5.009928688,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,4.373543159,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,6.002562611,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,4.494168292,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.78244017,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.274600537,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,0.979365668,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,2.408115318,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,2.019593259,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.246409837,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,1.592536883,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.348643466,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,1.786114917,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,3.054148047,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.055736701,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,3.312975752,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,1.912525765,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.960121013,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.045669439,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,1.815688188,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,1.466527541,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,0.571246402,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,1.952092865,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,1.421527673,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,1.456240379,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,1.297677858,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,2.697171258,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,q,1.480603546,o,p,q,w,Triangle,Diamond,Star,Circle,0,r,h,1,Female,24
Self,o,3.912767774,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.016342521,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,2.699072983,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.514575223,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,2.185350122,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,2.525484186,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,2.260365825,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,1.941787148,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,3.843991799,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
Self,o,1.286170781,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,4.302272082,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,4.49389391,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
You,q,0.870162336,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,2.7349073,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,5.405069873,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,p,2.272654595,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
They,w,1.761487633,o,p,q,w,Triangle,Diamond,Star,Circle,1,r,h,1,Female,24
We,w,8.892671547,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,6.405797479,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,4.36973497,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,4.654213662,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,3.983966998,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.916245914,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,2.635048755,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,3.197187641,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,3.688703309,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.744940214,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,2.695050026,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,1.479264798,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.384094043,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,2.780108118,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.912950564,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.656386611,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,1.009856836,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,1.733280747,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,1.64339787,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,0.965353619,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,1.35424718,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,2.623695648,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.058506974,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,1.379906457,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,1.400661597,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.260332267,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.54146468,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,0.97966887,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,1.096365798,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,0.776405341,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.141166689,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.267290126,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,0.860049673,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.09341076,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,0.725529745,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,0.772267893,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,2.048937549,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,0.650494698,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,1.323499001,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.026592177,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,0.613294391,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,0.744701758,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.158765841,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,0.612155408,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,1.031585933,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,0.681643198,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.11383901,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,0.936524932,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,1.31057777,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,0.613970674,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.144708786,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,0.582753479,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,1.018906316,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
You,q,1.325605625,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,1.348408564,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
They,p,0.569773423,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,o,1.134453602,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,0.98859478,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,0.5926569,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
We,w,0.580648829,o,w,q,p,Diamond,Triangle,Star,Circle,1,r,h,2,Female,21
Self,q,10.44395319,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,p,10.6951657,q,p,w,o,Triangle,Diamond,Star,Circle,0,r,h,3,Female,19
We,p,2.08729184,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,3.791916818,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,5.12412933,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,3.555094172,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,o,3.920696039,q,p,w,o,Triangle,Diamond,Star,Circle,0,r,h,3,Female,19
Self,q,2.735547657,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,7.037794078,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,2.256180607,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,1.345663952,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,5.815814522,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,2.858843971,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,9.588339427,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,2.192863852,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,1.892966064,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,4.661189682,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,3.894739876,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,2.230970606,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,2.777141237,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,1.270067901,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,2.094691474,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,1.270830249,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,1.327596969,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,2.326598533,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,1.637171171,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,4.207341757,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,0.818874575,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,0.573614775,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,0.898342771,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,1.449765749,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,0.907002984,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,p,0.70665975,q,p,w,o,Triangle,Diamond,Star,Circle,0,r,h,3,Female,19
You,w,2.897821247,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,4.089533088,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,0.961735327,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,1.287146713,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,1.391252063,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,0.739330184,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,0.689369722,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,1.009484544,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,0.900903408,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,1.64427313,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,0.966431014,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,0.891149614,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,0.883237931,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,0.763282764,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,2.968590145,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,1.357505814,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,1.362988721,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,6.264449185,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
We,p,0.905381563,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,0.624816075,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,1.235492188,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,1.213586223,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,0.713021864,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
They,o,0.536449605,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,0.81450262,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
You,w,0.617209963,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,q,2.187941948,q,p,w,o,Triangle,Diamond,Star,Circle,1,r,h,3,Female,19
Self,o,4.718098143,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
We,p,5.805395356,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,q,4.433190707,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,2.955442179,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
Self,o,4.096979576,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
We,p,4.440653924,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
We,p,4.226996442,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,q,3.061848291,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,2.535409616,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,2.221545104,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
Self,o,3.616355357,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,1.691269015,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,q,2.867413015,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
Self,o,1.88422065,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
We,p,1.804399287,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,2.015828937,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,1.610627267,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,p,1.382155079,o,p,w,q,Circle,Triangle,Diamond,Star,0,r,h,4,Female,21
Self,o,2.282312839,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
We,p,2.058434098,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
Self,o,1.347820491,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,q,2.137250312,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
We,p,1.615428377,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,p,1.514207116,o,p,w,q,Circle,Triangle,Diamond,Star,0,r,h,4,Female,21
We,p,2.041012556,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,1.219149484,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
You,w,2.445891678,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,q,1.032024244,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
Self,o,1.466161276,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
We,p,0.698897652,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
They,q,1.258271758,o,p,w,q,Circle,Triangle,Diamond,Star,1,r,h,4,Female,21
