Shape,Label,Condition,ShapeLoc,resp,rt,WeShape,TheyShape,AloneShape,SelfShape,corr,trialinBlock,Block,Handedness,First Language,Participant Number,Gender,Age,Training/Experiment,Outlier,Self/Other,Identity Label,Shapetype,Pronountype
We,We,Match,Bottom,None,None,Diamond,Circle,Star,Triangle,3,1,0,r,h,1,Female,31,TRAINING,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
We,Self,Mismatch,Top,None,None,Diamond,Circle,Star,Triangle,3,2,0,r,h,1,Female,31,TRAINING,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
We,You,Mismatch,Top,None,None,Diamond,Circle,Star,Triangle,3,3,0,r,h,1,Female,31,TRAINING,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
They,Self,Mismatch,Top,None,None,Diamond,Circle,Star,Triangle,3,4,0,r,h,1,Female,31,TRAINING,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
You,They,Mismatch,Top,None,None,Diamond,Circle,Star,Triangle,3,5,0,r,h,1,Female,31,TRAINING,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
Self,You,Mismatch,Top,None,None,Diamond,Circle,Star,Triangle,3,6,0,r,h,1,Female,31,TRAINING,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
You,Self,Mismatch,Bottom,None,None,Diamond,Circle,Star,Triangle,3,7,0,r,h,1,Female,31,TRAINING,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
They,We,Mismatch,Bottom,n,0.55024574,Diamond,Circle,Star,Triangle,1,8,0,r,h,1,Female,31,TRAINING,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
We,We,Match,Top,n,0.516859912,Diamond,Circle,Star,Triangle,0,9,0,r,h,1,Female,31,TRAINING,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
Self,We,Mismatch,Bottom,None,None,Diamond,Circle,Star,Triangle,3,10,0,r,h,1,Female,31,TRAINING,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
Self,They,Mismatch,Top,n,0.416867453,Diamond,Circle,Star,Triangle,1,11,0,r,h,1,Female,31,TRAINING,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
They,They,Match,Bottom,n,0.433523453,Diamond,Circle,Star,Triangle,0,12,0,r,h,1,Female,31,TRAINING,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
They,They,Match,Top,n,0.283538515,Diamond,Circle,Star,Triangle,0,13,0,r,h,1,Female,31,TRAINING,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
