Participant,OtherMatch,SelfMatch,OtherMismatch,SelfMismatch,MeMatch,TheyMatch,WeMatch,YouMatch,MeMismatch,TheyMismatch,WeMismatch,YouMismatch,MeLabel:Other,MeLabel:Self,TheyLabel:Other,TheyLabel:Self,WeLabel:Other,WeLabel:Self,YouLabel:Other,YouLabel:Self,SelfBenefitMatch,WeBenefitMatch,GroupShapeMatch,IndividualShapeMatch,OtherLabelMismatch,SelfLabelMismatch
1,1.283024801,0.848157055,0.985217213,1.036311425,0.644622984,1.324213002,1.116822028,1.244004401,1.03401138,0.945718127,1.039037404,1.027537661,1.125543094,0.859269017,1.031838193,0.902658095,1.108982078,0.920131459,1.013119867,1.034367142,0.599381417,0.207390974,1.203636854,0.863627733,1.086413351,0.939323523
2,0.956934215,0.861517873,0.993942438,1.052718143,0.688136039,1.075681103,1.050661692,0.838187328,1.049651915,1.053798536,1.055880191,0.939216863,1.017520552,1.135335549,1.196813847,0.988791576,1.169184922,0.839571158,1.012657354,0.900900086,0.150051289,0.02501941,1.06297894,0.75874841,1.090946318,0.952729528
3,0.969421177,0.731342179,0.888199695,0.890803589,0.707801524,0.975460776,0.755575206,0.963381578,0.865831262,0.985242786,0.917387035,0.807792563,0.849389105,0.894605036,1.250159941,0.884321965,0.991843459,0.782011717,0.880455397,0.774488764,0.255580054,0.21988557,0.856792373,0.823611236,0.956005488,0.830821778
4,0.899430262,0.844622181,1.010069615,1.013194655,0.832507979,1.008237331,0.856736384,0.805735286,0.998213751,1.073207218,1.030173014,0.948735943,0.959203346,1.091838722,1.158497144,1.026685441,1.041456055,1.003845916,0.971372671,0.938360776,-0.026772693,0.151500947,0.930119655,0.818539617,1.021742979,1.000934443
5,0.981583894,0.834946663,1.072109269,1.084552327,0.794923457,0.976946687,0.876147021,0.985518494,1.084963838,1.06682444,1.084069865,1.077394099,1.11538134,1.021363606,1.108484458,1.045994431,1.07682337,1.100173188,1.09350898,1.069336658,0.190595037,0.100799666,0.921669451,0.887418107,1.098574168,1.057386336
6,0.755923944,0.798463801,0.698538871,0.792128492,0.770033675,0.828634505,0.830602205,0.699631897,0.782389399,0.673614582,0.803365906,0.726041535,0.81600205,0.715164098,0.672917269,0.673979841,0.836130235,0.714434157,0.70202609,0.736848485,-0.070401778,-0.0019677,0.829597422,0.731744989,0.778421021,0.707641835
7,0.757679662,0.79944289,0.826199235,0.942673571,0.663136304,0.741370635,0.948140984,0.77445466,0.906352284,0.769683557,0.98006313,0.894407813,0.870460268,0.975145314,0.844093333,0.735579076,1.008495351,0.927937393,0.910749836,0.884421021,0.111318356,-0.206770348,0.840260802,0.71801155,0.918071026,0.854704071
8,0.799305009,0.792151332,0.859130941,0.902635435,0.715956304,0.880021971,0.87296424,0.725314462,0.860016743,0.894519298,0.944036451,0.823742584,0.860051629,0.859952784,0.950229731,0.865452986,1.0053001,0.826614456,0.84241601,0.813999926,0.009358157,0.00705773,0.876493106,0.720701285,0.92108387,0.840946055
9,0.971975796,0.872474123,1.012255365,1.026296011,0.869477542,1.038616996,0.875954023,0.912228512,1.056217811,1.043388341,1.003596715,0.979046858,1.093205171,1.01183298,1.038049653,1.046184797,0.989629516,1.030134392,1.070146307,0.933497134,0.04275097,0.162662974,0.950151169,0.888551052,1.03925831,1.000975363
10,0.77529232,0.764895792,0.838295309,0.938485724,0.776138866,0.832262731,0.753973948,0.732564513,0.97857681,0.829464305,0.90062192,0.847126313,0.963914061,1.009235285,0.853204474,0.81759422,0.932798087,0.836269585,0.897116324,0.822131307,-0.043574353,0.078288783,0.78806745,0.753729198,0.924792845,0.85389231
