Participant,Association,SelfStrongMatch,StrangerStrongMatch,SelfWeakMatch,StrangerWeakMatch,SelfStrongMismatch,StrangerStrongMismatch,SelfWeakMismatch,StrangerWeakMismatch,StrongMatchPrio,WeakMatchPrio,StrongMismatchPrio,WeakMismatchPrio
1,Light,0.473251522,0.606720436,0.52424829,0.624188378,0.617371296,0.653165537,0.607693162,0.645155428,0.133468914,0.099940087,0.035794242,0.037462266
3,Light,0.668972408,0.707741177,0.657674541,0.733198474,0.641163371,0.598253448,0.629800229,0.626079457,0.038768769,0.075523933,-0.042909923,-0.003720772
5,Light,0.648407175,0.708678404,0.636360498,0.725756286,0.782771257,0.718076628,0.707577716,0.754417437,0.060271229,0.089395788,-0.064694629,0.04683972
7,Light,0.740977138,0.819816316,0.709035821,0.798814738,0.803035135,0.79256143,0.78401944,0.786338905,0.078839179,0.089778916,-0.010473705,0.002319465
9,Light,0.703783403,0.796787248,0.748626534,0.783452291,0.757206569,0.804229938,0.784621534,0.798178248,0.093003846,0.034825757,0.047023369,0.013556714
11,Light,0.52699276,0.605615089,0.523703139,0.607095979,0.608844214,0.604444543,0.606403256,0.613541598,0.078622329,0.083392841,-0.004399671,0.007138342
13,Light,0.519548363,0.541226253,0.506728096,0.621441719,0.606006639,0.575470247,0.581957362,0.546532886,0.02167789,0.114713623,-0.030536392,-0.035424475
15,Light,0.630002097,0.792080641,0.664811575,0.831956891,0.812462665,0.838016952,0.837119172,0.853888914,0.162078544,0.167145316,0.025554288,0.016769743
17,Light,0.640396004,0.651085693,0.630547742,0.697231278,0.692387168,0.708171106,0.692942067,0.662287989,0.010689689,0.066683536,0.015783937,-0.030654078
19,Light,0.614465436,0.749290326,0.627661011,0.727260328,0.736168544,0.77475113,0.765218657,0.770606306,0.134824891,0.099599317,0.038582586,0.005387649
21,Light,0.3851958,0.526347257,0.434522477,0.459133111,0.517122268,0.498368203,0.501861744,0.54530899,0.141151457,0.024610634,-0.018754066,0.043447246
23,Light,0.662771688,0.793403349,0.645952067,0.787159538,0.778274828,0.794697888,0.75356936,0.797610745,0.130631661,0.141207471,0.01642306,0.044041385
29,Light,0.719606947,0.868194736,0.760522571,0.94492063,0.898700593,0.891786465,0.876466957,0.939266526,0.148587789,0.184398059,-0.006914128,0.062799569
31,Light,0.581375651,0.624732817,0.559237367,0.641042985,0.641115842,0.641449299,0.627869236,0.639720833,0.043357165,0.081805618,0.000333457,0.011851597
33,Light,0.524232588,0.565026264,0.51164917,0.555144971,0.58804796,0.580760124,0.600976165,0.602759415,0.040793676,0.043495802,-0.007287837,0.001783249
35,Light,0.822828559,0.799248007,0.759350647,0.847109988,0.694939135,0.616858361,0.733310146,0.781922879,-0.023580552,0.087759341,-0.078080774,0.048612733
37,Light,0.569259387,0.638134253,0.57710112,0.668310407,0.662055505,0.651418607,0.675975624,0.6462777,0.068874866,0.091209287,-0.010636899,-0.029697924
39,Light,0.64066552,0.695539447,0.632633862,0.738031235,0.752291428,0.747954137,0.737100913,0.719955022,0.054873927,0.105397373,-0.004337291,-0.017145891
41,Light,0.635108688,0.762657881,0.641641711,0.776849696,0.765665941,0.801869137,0.765895787,0.770255606,0.127549192,0.135207985,0.036203196,0.004359819
43,Light,0.684591972,0.739513222,0.662974408,0.781151472,0.767253168,0.808841573,0.772925605,0.762990399,0.05492125,0.118177064,0.041588405,-0.009935206
45,Light,0.500595209,0.525963759,0.519098147,0.532455778,0.567765176,0.599894365,0.606495699,0.625631005,0.025368551,0.013357632,0.032129188,0.019135306
47,Light,0.586837461,0.698066119,0.58526911,0.752253718,0.704854678,0.706288622,0.687314463,0.743641993,0.111228657,0.166984607,0.001433944,0.056327531
49,Light,0.777929244,0.822404017,0.771858484,0.769721426,0.632961486,0.670804564,0.646135805,0.720452953,0.044474773,-0.002137059,0.037843078,0.074317148
51,Light,0.583558871,0.690590847,0.605082709,0.722593757,0.674636775,0.672984922,0.679916133,0.688401083,0.107031977,0.117511048,-0.001651853,0.00848495
55,Light,0.603158688,0.779087726,0.616872769,0.855546987,0.770065706,0.741941958,0.773293106,0.746029237,0.175929038,0.238674218,-0.028123749,-0.027263869
4,Dark,0.554013109,0.674123319,0.573147569,0.705775347,0.653206885,0.605465008,0.691043356,0.642475412,0.120110209,0.132627778,-0.047741877,-0.048567945
6,Dark,0.709445238,0.685069884,0.704886764,0.698251482,0.741489761,0.717605281,0.773089654,0.709569717,-0.024375354,-0.006635282,-0.02388448,-0.063519937
8,Dark,0.731675213,0.996286352,0.806145243,0.972112388,0.920559923,0.85349047,0.959072119,0.895990698,0.264611139,0.165967145,-0.067069453,-0.063081421
10,Dark,0.691682406,0.692336976,0.737874163,0.678701153,0.808039247,0.745219339,0.81202192,0.748159164,0.00065457,-0.059173011,-0.062819908,-0.063862756
12,Dark,0.665661023,0.708071515,0.76725621,0.764643617,0.754483674,0.688149064,0.752406062,0.685176922,0.042410492,-0.002612593,-0.06633461,-0.06722914
16,Dark,0.674872414,0.749461279,0.750363124,0.690155516,0.889740752,0.821547784,0.872304113,0.801129211,0.074588865,-0.060207609,-0.068192968,-0.071174902
18,Dark,0.647617685,0.652192242,0.691418705,0.713780033,0.660906642,0.584264714,0.673115645,0.600420217,0.004574557,0.022361328,-0.076641928,-0.072695429
20,Dark,0.730713247,0.848209116,0.784734417,0.858768071,0.831708333,0.798038061,0.879495606,0.825954849,0.117495869,0.074033654,-0.033670272,-0.053540757
22,Dark,0.710022049,0.627857715,0.757951504,0.647580314,0.748335957,0.563827929,0.732389318,0.588182084,-0.082164334,-0.110371191,-0.184508028,-0.144207234
24,Dark,0.69601574,0.688962066,0.733907269,0.726050665,0.830561405,0.801332927,0.81141508,0.741748552,-0.007053674,-0.007856604,-0.029228478,-0.069666529
26,Dark,0.587781422,0.599963938,0.627553147,0.625251681,0.638387839,0.613576054,0.654130587,0.603261197,0.012182516,-0.002301465,-0.024811785,-0.05086939
28,Dark,0.72033169,0.749442927,0.779774256,0.767227322,0.812146818,0.781024412,0.796133329,0.746295711,0.029111236,-0.012546934,-0.031122406,-0.049837618
32,Dark,0.940537704,1.055779743,1.03607756,1.049137592,1.038496278,1.043656133,1.157267627,1.039029979,0.115242039,0.013060032,0.005159855,-0.118237648
34,Dark,0.723896488,0.784800196,0.818908472,0.752382605,0.822652223,0.753626007,0.867682683,0.75743496,0.060903707,-0.066525867,-0.069026217,-0.110247724
36,Dark,0.59255643,0.752631623,0.641659072,0.760536811,0.805755854,0.710885456,0.817443115,0.771214053,0.160075193,0.118877739,-0.094870398,-0.046229062
38,Dark,0.712034758,0.736588798,0.757076389,0.735442007,0.764289623,0.761834511,0.782580576,0.758380346,0.02455404,-0.021634381,-0.002455112,-0.02420023
