participant,expName,sex,age (years),dominant hand,file_stim,etnia,etichetta,match,blocco,condizione,risposta.rt,risposta.corr,id_self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,775.8183796,0,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,651.7080553,0,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,613.884069,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,600.8603536,0,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,367.7314725,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,1084.858485,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,1145.972805,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,826.1017557,0,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,922.5504044,0,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,927.5295604,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,1108.211217,0,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,901.1691548,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,845.3629836,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,1162.550906,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,NA,2,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,NA,2,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,555.6764156,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,859.042909,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,NA,2,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,968.0053275,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,725.1405753,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,1017.741991,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,876.1013281,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,1003.07077,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,1175.389126,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,666.3823631,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,467.2587253,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,356.2753201,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,835.3191819,0,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,1058.193898,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,1044.687198,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,NA,2,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,963.8937358,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,985.0835018,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,1121.163672,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,941.5905662,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,998.3421639,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,621.4822363,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,NA,2,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,NA,2,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,618.9057752,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,837.9209191,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,900.5401693,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,1037.505999,0,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,1068.307534,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,893.0225503,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,631.1878897,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,942.6821582,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,911.3853648,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,733.9446619,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,664.7960767,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,617.6468432,0,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,NA,2,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,1095.047681,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,625.7735044,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,674.3942108,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,921.0589062,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,694.0470822,0,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,817.0820549,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,819.85447,0,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,654.392764,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,1097.372675,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Other,si,esperimento,asiatico,700.1425587,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,916.7590924,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,724.0264285,1,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,736.2422105,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,NA,2,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,725.9097677,0,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,514.7597883,1,other
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Other,no,esperimento,asiatico,857.4765436,1,self
10,self_w_b,male,22,right,asian/a_m.jpg,asiatico,Self,si,esperimento,asiatico,572.1745435,0,self
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,847.3923337,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,1172.173662,1,other
10,self_w_b,male,22,right,white/w_m.jpg,bianco,Self,no,esperimento,asiatico,606.883591,1,other
